osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist,casino_nearestnode
824253389,4,,,POINT (-76.9932802 -11.9719208),4749882821,0.013222416820680555,6290621269
4334525393,3,,,POINT (-77.03371780000001 -12.0891463),436280301,0.0042649097889328426,108171106
1273764819,4,,,POINT (-76.9241332 -12.2464922),481692453,0.03603281920695742,4234707459
4226751444,3,,,POINT (-77.0234286 -12.1958443),435838405,0.05491922846679264,263622404
4226751443,3,,,POINT (-77.0229968 -12.1956554),435838405,0.054719957183476615,263622404
4332723158,4,,,POINT (-77.0560536 -12.055912),435563989,0.007568651723978353,2053915143
4226751446,3,,,POINT (-77.0242722 -12.1962396),435838405,0.055344282055542905,263622404
4226751447,4,,,POINT (-77.0246963 -12.1964441),435838405,0.055568404926123006,263622404
824253398,3,,,POINT (-76.99224049999999 -11.9715524),4749882821,0.014094365237569009,6290621269
4226751455,4,,,POINT (-77.02729960000001 -12.1976774),435838405,0.05698818470471394,263622404
4226751456,3,,,POINT (-77.0278603 -12.1981971),435838405,0.05756102187266213,263622404
1273535456,4,,,POINT (-77.1050032 -11.838683),435198459,0.039400787806001716,2460656270
4226751459,3,,,POINT (-77.02775699999999 -12.1984134),435838405,0.05776557391048481,263622404
824253414,4,,,POINT (-76.9950599 -11.9739851),4749882821,0.0125040394273147,6290621269
817699820,4,,,POINT (-76.9983939 -11.9857742),437370736,0.008609784069216071,824087191
824253421,4,,,POINT (-76.9965461 -11.9720291),4749882821,0.01025490325843325,6290621269
3757448177,4,,,POINT (-76.9448964 -12.2280364),481692453,0.017956417302777757,4234707459
3757448178,4,,,POINT (-76.9450351 -12.2281155),481692453,0.01809420020599152,4234707459
4374928369,3,,,POINT (-76.9044332 -12.0209181),438031676,0.049748287781024886,1273875162
3757448182,4,,,POINT (-76.94644959999999 -12.2256808),481692453,0.01687424960866934,4234707459
263396343,4,traffic_signals,,POINT (-77.0512858 -12.0721788),436320564,0.0017380773322700374,263400735
1481055224,5,,,POINT (-77.00236839999999 -12.0628594),4412523312,0.011793929151061313,416635664
3757448183,4,,,POINT (-76.9478581 -12.223284),481692453,0.01608148367631459,4234707459
1481055223,3,,,POINT (-76.9902266 -12.0643746),3293687684,0.01195901930761867,4357962766
817699831,3,,,POINT (-76.99693139999999 -11.9879128),437370736,0.01055161131315532,824087191
3757448190,4,,,POINT (-76.9493725 -12.2207736),481692453,0.015775642781992054,4234707459
3757448191,4,,,POINT (-76.9494601 -12.2206138),481692453,0.015766899784384194,4234707459
1273732096,4,,,POINT (-77.17087480000001 -11.7720415),435198459,0.13309102789830654,2460656270
824253438,3,,,POINT (-76.9941504 -11.9735722),4749882821,0.013090857415003695,6290621269
1746075852,3,,,POINT (-76.9529812 -12.0264471),438031676,0.010148254532060058,1273875162
1775377412,4,,,POINT (-76.9003263 -12.0393078),438031676,0.05142448868653885,1273875162
817699845,4,,,POINT (-76.9960114 -11.9835996),437370736,0.01092617679608498,824087191
3757448199,4,traffic_signals,,POINT (-76.9523834 -12.2157944),481692453,0.01675247443341382,4234707459
3757448204,4,,,POINT (-76.9539949 -12.2130992),481692453,0.01803975301833849,4234707459
5413182485,3,crossing,,POINT (-76.9778803 -12.1311243),437346725,0.005317577914969427,496750637
824253461,4,,,POINT (-76.99664869999999 -11.9721189),4749882821,0.010203783370886751,6290621269
4502592543,4,,,POINT (-76.9667875 -12.2035924),481692453,0.032070662771669284,4234707459
2469993506,3,,,POINT (-77.06210710000001 -12.008499),438038238,0.010324221147019714,3501069195
4502592547,3,,,POINT (-76.96674470000001 -12.2033678),481692453,0.03209242561417098,4234707459
6302571555,3,,,POINT (-76.9620953 -12.0602921),563470043,0.006418625701181693,5711838605
824253479,4,,,POINT (-76.9965421 -11.9722191),4749882821,0.010344434215552792,6290621269
1804901417,3,,,POINT (-76.9969329 -12.0106731),437360405,0.009507223045774706,823974191
1804901437,3,,,POINT (-76.9969064 -12.0109619),437360405,0.009642816884418495,823974191
273423424,3,,,POINT (-77.06704689999999 -11.9713957),4366593002,0.017642497211001234,2732363830
1804901444,4,,,POINT (-76.99640119999999 -12.0122477),437360405,0.010662145240724813,823974191
1273830470,4,,,POINT (-76.96196209999999 -12.1345755),437376427,0.02125340352687351,3238752139
471047252,3,,,POINT (-76.9727738 -12.0581266),560845933,0.009130740474616136,4356601163
6277569620,3,,,POINT (-77.08023710000001 -11.8632326),435198459,0.004586441181351607,2460656270
1804901478,3,,,POINT (-76.9961758 -12.012687),437360405,0.011074131545879402,823974191
273423474,3,,,POINT (-77.0670717 -11.9712345),4366593002,0.017572447929642267,2732363830
6016375927,4,traffic_signals,,POINT (-77.125271 -11.9805161),4366593002,0.043735330603184325,2732363830
2832348509,4,,,POINT (-77.05043019999999 -11.940567),4346485296,0.004748903049126179,1272935458
4365491326,3,,,POINT (-76.99825490000001 -11.9886485),437370736,0.009607741694940455,824087191
2832348510,4,,,POINT (-77.05035789999999 -11.9406546),4346485296,0.004663395983614881,1272935458
108240021,3,,,POINT (-77.0430877 -12.1189514),183111783,0.006599817783306045,138852136
4356119706,3,,,POINT (-76.9489634 -12.0358898),438031676,0.0027815039516873434,1273875162
2974719142,4,,,POINT (-76.9030075 -12.0125104),438031676,0.05426341004610473,1273875162
2974719148,3,,,POINT (-76.9212486 -12.0031483),438031676,0.045153171929077064,1273875162
632069293,3,,,POINT (-77.1423322 -12.0562371),435879639,0.04644209193489484,4337745396
2974719152,4,,,POINT (-76.9162044 -11.9988087),438031676,0.051764815089424134,1273875162
4343012535,3,,,POINT (-77.05885360000001 -12.102244),4343579376,0.005815795706526108,262729478
2469993656,3,,,POINT (-77.0620618 -12.0087353),438038238,0.010420357531427726,3501069195
821402817,4,,,POINT (-77.0005134 -12.0248672),437360405,0.018493176357141997,823974191
9029262529,3,,,POINT (-76.8183049 -12.0162913),438031676,0.13489376737801206,1273875162
