osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
331607180,3,,,POINT (-76.9361523 -12.0429766),438031676,0.01681515212327974
2469883021,4,,,POINT (-77.1062709 -11.9640587),4366593002,0.02245401603366195
331607181,4,,,POINT (-76.93634969999999 -12.0431144),438031676,0.016687151071434623
1305701519,3,,,POINT (-77.0849144 -11.9531671),4366593002,0.013128741912689755
1746791560,4,,,POINT (-76.9748117 -12.0413846),437866700,0.009080428818213148
7152266380,3,,,POINT (-76.86596249999999 -12.1647009),481692453,0.08474252141692541
1758293134,4,,,POINT (-77.1357905 -11.8396016),435198459,0.06486301224757826
5532019859,3,,,POINT (-76.8756894 -12.0033741),438031676,0.08289637592913175
1156770964,4,,,POINT (-77.03789930000001 -11.9031782),4336173733,0.004921291686129773
1305701525,3,,,POINT (-77.0819594 -11.9620069),4366593002,0.004683939881124453
1758293138,3,,,POINT (-77.1368374 -11.8398925),435198459,0.0657060383701493
1758293142,4,,,POINT (-77.1358137 -11.8399526),435198459,0.0647429216541338
1381395600,3,,,POINT (-77.0904405 -11.9488679),4366593002,0.018571106906159977
331607196,4,,,POINT (-76.9875821 -12.0640367),3293687684,0.012288892071297573
1746791581,3,,,POINT (-76.9755009 -12.0439372),437866700,0.010823241500704702
1746791582,3,,,POINT (-76.972143 -12.0441282),437866700,0.008290511336013337
1381395614,3,,,POINT (-77.0907847 -11.949159),4366593002,0.018424162295475704
1758293152,4,,,POINT (-77.1358396 -11.8403245),435198459,0.06461873742510633
1305701539,3,,,POINT (-77.0850691 -11.9762017),4366593002,0.010008817106931505
4368723108,3,,,POINT (-77.0078913 -12.059324),4412523312,0.007827686793051186
263122086,4,traffic_signals,,POINT (-77.0462488 -12.0851707),436901625,0.008004940656884113
1305701543,3,,,POINT (-77.0523 -11.9265107),436480411,0.009295780796336854
2144234661,3,,,POINT (-77.0094185 -12.0673622),4412523312,0.0057072069710225656
2144234659,3,,,POINT (-77.009328 -12.0680724),4412523312,0.006210749540923468
1359113386,4,,,POINT (-77.0827118 -11.9828668),438853789,0.012978121580674006
2469883051,3,,,POINT (-77.1075654 -11.9652785),4366593002,0.023660803880045076
263122092,4,,,POINT (-77.0416163 -12.0845409),436901625,0.004457515114533037
263122091,4,,,POINT (-77.04242170000001 -12.0846478),436901625,0.004939105006883256
263122094,4,traffic_signals,,POINT (-77.03991329999999 -12.0843009),436901625,0.0038132970450274702
263122095,4,,,POINT (-77.0390161 -12.0841758),4346394298,0.0032286356638670365
