osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist
1746796546,4,,,POINT (-76.97923710000001 -12.0449597),6064995185,0.012619381385788912
4284776453,4,,,POINT (-77.0198858 -12.2007022),512156980,0.007746930421302403
4200497160,3,,,POINT (-77.094624 -12.0622377),3962797297,0.002324577073365683
5497389066,3,,,POINT (-76.8093762 -12.0237946),4378103036,0.016502547037658015
1746796556,4,,,POINT (-76.97493590000001 -12.0452296),6064995185,0.009141649659115406
4335599630,3,,,POINT (-77.0275785 -12.119051),406013453,0.00038888273895061284
3738206223,4,,,POINT (-76.9170251 -11.9755075),7866344385,0.02269066808800747
1482227728,3,,,POINT (-76.9879186 -12.0666517),438440287,0.004887095846443248
5986648082,3,,,POINT (-76.8963775 -12.2283038),5016817424,0.014115165329889344
1273757715,4,,,POINT (-76.9124822 -12.2086264),4812594982,0.006230403473295243
1482227733,4,,,POINT (-76.9893649 -12.0620764),438440287,0.005636721877318723
1482227734,4,,,POINT (-76.9938308 -12.0622365),4862786622,0.009380170209542963
1674117145,3,,,POINT (-76.9500695 -12.2020712),3748015510,0.010795122047477795
821755929,4,,,POINT (-77.0062954 -12.0178307),438634266,0.004711196902753786
1674117147,3,,,POINT (-76.9505516 -12.2012952),5025093630,0.010557640185667318
1482227739,4,,,POINT (-76.995155 -12.0638085),4862900922,0.007438560867538439
1674117149,3,,,POINT (-76.949607 -12.2028501),3748015510,0.009940664494891735
1746796572,3,,,POINT (-76.9774705 -12.0464091),6064995185,0.011864017656755288
1746796575,4,,,POINT (-76.9793056 -12.0465856),563421052,0.013366995010290022
3993075744,3,motorway_junction,,POINT (-76.9750526 -12.0547755),563421052,0.00530789531928814
1482227746,4,,,POINT (-76.993627 -12.0601419),438440287,0.010297661400150537
1482227752,4,,,POINT (-76.993681 -12.0606892),438440287,0.010170170109294038
1746796586,4,,,POINT (-76.9809176 -12.0465864),563421052,0.014544664912957634
1482227757,3,,,POINT (-76.99286909999999 -12.0640071),4862786622,0.007608500828021257
1482227759,4,,,POINT (-76.9935728 -12.0595921),438440287,0.010453380931162768
1482227761,3,,,POINT (-76.98944849999999 -12.0640892),438440287,0.005475291663664961
1746796594,3,,,POINT (-76.98007 -12.0468321),563421052,0.013747571857302424
4724817987,3,,,POINT (-76.9767379 -12.1300228),6933311385,0.0038849881055186834
197656644,3,,,POINT (-77.0359239 -12.1267246),435323741,0.003239484478976919
197656646,4,,,POINT (-77.03590269999999 -12.1260125),435323741,0.003103811242677499
197656647,4,,,POINT (-77.035886 -12.1249702),435323741,0.003208170209574391
197656648,4,,,POINT (-77.03588310000001 -12.1243763),435323741,0.0034176585053103834
847511626,3,,,POINT (-77.0949877 -12.0309177),7335358985,0.00027874181602275544
1273528397,3,,,POINT (-76.87292840000001 -12.0991282),7027424773,0.012275248595441534
1273528398,4,,,POINT (-76.90954120000001 -12.1962499),4812594982,0.013609634678788528
847511631,3,,,POINT (-77.09600759999999 -12.0329692),7335358985,0.0024595827003716254
1273462861,4,,,POINT (-76.99100230000001 -12.2011099),5800088411,0.0196167301895562
1938227287,3,,,POINT (-76.9868484 -12.0192056),4916727221,0.004748264407130229
6415319128,1,,,POINT (-76.8194919 -12.333688),437318885,0.0736909624147589
427589721,4,,,POINT (-77.1125693 -11.996814),6077884588,0.0345764903772847
847511646,4,,,POINT (-77.08634360000001 -12.0309514),2696510044,0.0004115969995014012
391020638,4,,,POINT (-77.0131319 -12.1398036),4412525789,0.004180159098647944
6415319136,3,,,POINT (-76.8188809 -12.3349038),437318885,0.07500748952014007
391020639,4,,,POINT (-77.013805 -12.1392387),4412525789,0.004390777863888271
4785274979,3,,,POINT (-76.870014 -12.1021417),7027424773,0.01646728062948006
4785274985,3,,,POINT (-76.8715806 -12.0995186),7027424773,0.013518169646810446
1746075767,4,,,POINT (-76.9453322 -12.0252412),4949862124,0.016116495351036552
1951268989,4,,,POINT (-77.0108256 -11.9937099),6173704586,0.004755563769945382
1273692286,3,,,POINT (-76.9729071 -12.1936219),5029258645,0.00944767275152735
4356276356,3,,,POINT (-76.9777239 -12.0465183),6064995185,0.012132871510071787
4785275019,3,,,POINT (-76.8733982 -12.1057199),7027424773,0.01735650011523175
3335028877,4,,,POINT (-77.0538719 -12.0751143),4875091203,0.000504832893144788
3501097102,3,,,POINT (-77.0591577 -11.9924677),5862046598,0.0015750307298603374
4785275024,4,,,POINT (-76.87226769999999 -12.1049003),7027424773,0.017220802218830916
1273626773,4,,,POINT (-76.96684070000001 -12.1391048),5010414115,0.007573829034907067
2846425237,3,,,POINT (-77.1087844 -12.0601805),2725999757,0.011821119460102085
3738206362,4,,,POINT (-76.9169218 -11.9766777),7866344385,0.0228887552481651
639107227,4,,,POINT (-77.0677008 -12.078234),435683768,0.002581094915419504
1746075803,4,,,POINT (-76.9476275 -12.0255973),4949862124,0.01568426420142216
1369043001,3,,,POINT (-77.01403380000001 -12.0506524),3234756224,0.010578339030764706
133922977,4,,,POINT (-77.0323439 -12.1257412),435323741,0.00047324721601792354
627835042,4,,,POINT (-77.1215736 -12.0716412),435840721,0.022898021542676342
627835043,4,,,POINT (-77.1223047 -12.0729262),435840721,0.023612873279029657
133922980,4,,,POINT (-77.03173769999999 -12.1259895),435323741,0.0010733184728108137
4927553711,3,,,POINT (-77.0256431 -12.075558),438007221,0.0019442755770765884
5583110321,3,,,POINT (-77.0607483 -12.0042417),4358104447,0.001868547952284061
1273790642,4,,,POINT (-76.9269166 -12.2000189),4399169379,0.0046039097167515225
