name,geometry,geometry_layer,geometry_proj4
"Portón de Jicamarca, Mar Del Norte Este, San Juan de Lurigancho",POINT Z (-76.9688972 -11.9332476 0),Vuelta SN,+proj=longlat +datum=WGS84 +no_defs
La Capilla,POINT Z (-76.96940200900374 -11.93461238353576 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Montenegro,POINT Z (-76.97146051691713 -11.93658185052876 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Motupe,POINT Z (-76.97667291607976 -11.93867844479739 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
8 De Mariscal,POINT Z (-76.98049079873904 -11.94087960941105 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Mariategui,POINT Z (-76.98202681067025 -11.94309580348431 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
La Cinco,POINT Z (-76.98495179309273 -11.94736944425718 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
La Cuatro,POINT Z (-76.9871761545113 -11.95060571132873 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Bayóvar,POINT Z (-76.98726927540403 -11.95920344740177 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Seoane,POINT Z (-76.9858281834773 -11.95593910202161 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
La Quince,POINT Z (-76.98967503065128 -11.96263603801631 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
San Martín,POINT Z (-76.99638795603502 -11.97179515340445 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
La Ocho,POINT Z (-77.00156383362599 -11.9756533257986 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Sedapal,POINT Z (-77.00477065269708 -11.97930655379316 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
San Carlos,POINT Z (-77.00673269689722 -11.98451678260352 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Basadre,POINT Z (-77.01051024392076 -11.98912549175152 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Los Postes,POINT Z (-77.01015274594108 -11.99615227142003 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
La Hacienda,POINT Z (-77.00628149059135 -12.00584257123157 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Celima,POINT Z (-77.00225181818818 -12.01282282566381 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Pirámide del Sol,POINT Z (-77.00200781447842 -12.01648114111975 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Túpac Amaru,POINT Z (-77.00768421452683 -12.02307134174339 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Lima,POINT Z (-77.0099420489787 -12.0254821917405 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Concejo,POINT Z (-77.01187894867878 -12.02909697636098 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Mercado Las Flores,POINT Z (-77.01736764209865 -12.03989430136119 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Acho,POINT Z (-77.02172675684744 -12.04207558079531 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Ancash,POINT Z (-77.02608118552872 -12.04628535199903 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Ucayali,POINT Z (-77.02775176722396 -12.04946716795757 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Cuzco,POINT Z (-77.02877951833902 -12.05144672420468 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Nicolas de Pierola,POINT Z (-77.03009559966445 -12.0540024720623 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Grau,POINT Z (-77.03003061520373 -12.05864942172059 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
28 De Julio,POINT Z (-77.02939407599749 -12.06301135286613 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Unanue,POINT Z (-77.02884543730868 -12.06706463565905 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Catolica,POINT Z (-77.02842007308593 -12.07005789521367 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Mexico,POINT Z (-77.02765106591265 -12.07599509432228 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Pardo de Zela,POINT Z (-77.02834303430477 -12.08243559107404 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Tomas Guido,POINT Z (-77.0287224530732 -12.0862250240851 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Javier Prado,POINT Z (-77.02998068481058 -12.09085492280103 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Santa Rosa,POINT Z (-76.99360844740043 -11.9679825906939 0),Ida (#4),+proj=longlat +datum=WGS84 +no_defs
Torre Ugarte,POINT Z (-77.03264340563049 -12.08909424430636 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Risso,POINT Z (-77.03307329752847 -12.08570187728291 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Candamo,POINT Z (-77.03352130279615 -12.08245934547546 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Segura,POINT Z (-77.03394415534289 -12.07967801780145 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Estacion Mexico,POINT Z (-77.02933420358696 -12.07730682349049 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Mexico,POINT Z (-77.02691399257925 -12.07595004200168 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Catolica,POINT Z (-77.02820603713648 -12.0704427514043 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Unanue,POINT Z (-77.02863842760729 -12.06739933077486 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Bauzate y Meza,POINT Z (-77.02902292461278 -12.06472833175774 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Grau,POINT Z (-77.02971547073999 -12.0594778655557 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Junin,POINT Z (-77.02662129181596 -12.04799641524565 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
N. de Piérola,POINT Z (-77.03028091097275 -12.05541979104727 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Cuzco,POINT Z (-77.02884343641077 -12.0520702186808 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Ucayali,POINT Z (-77.02770881181814 -12.05005299046916 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Acho,POINT Z (-77.02201540970024 -12.0425070460581 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Mercado de Flores,POINT Z (-77.01756852852132 -12.04033101252745 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Concejo,POINT Z (-77.01166293455813 -12.02923303034185 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Bayóvar,POINT Z (-76.98739176534357 -11.95983100103276 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Seoane,POINT Z (-76.98576486384805 -11.95561971962599 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Quince,POINT Z (-76.98972714569194 -11.96315498018435 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
San Martín,POINT Z (-76.99678720216939 -11.97247292731472 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Ocho,POINT Z (-77.00182653297793 -11.97612122437024 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Sedapal,POINT Z (-77.00486147386098 -11.9798575968464 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
San Carlos,POINT Z (-77.00677663591321 -11.98542880457055 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Basadre,POINT Z (-77.01073498021415 -11.99020731181587 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Los Postes,POINT Z (-77.00939013258179 -11.99754251432004 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Hacienda,POINT Z (-77.00566650474309 -12.00626142737522 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Celima,POINT Z (-77.00177444746657 -12.01349037041195 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Ascarruz,POINT Z (-77.00176086067211 -12.01560627007576 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Pirámide del Sol,POINT Z (-77.00266321059125 -12.01827585137048 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Túpac Amaru,POINT Z (-77.00793588708355 -12.02362049180796 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Cuatro,POINT Z (-76.98717314008418 -11.95098975923634 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Cinco,POINT Z (-76.98506257053575 -11.94797691626953 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Mariategui,POINT Z (-76.98214176223773 -11.9437813258912 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
8 De Mariscal,POINT Z (-76.98049544627864 -11.94139028068863 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Motupe,POINT Z (-76.97714980625632 -11.93911046920175 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Montenegro,POINT Z (-76.97137982273264 -11.93701216020596 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
La Capilla,POINT Z (-76.96970804083476 -11.93465069419823 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Santa Rosa,POINT Z (-76.99404919513336 -11.96907039016006 0),Vuelta (#4),+proj=longlat +datum=WGS84 +no_defs
Servicio 409 (Ida),"LINESTRING Z (-76.96935803862982 -11.93467986018233 0, -76.96982963152017 -11.93435448988407 0, -76.97063 -11.93551 0, -76.97225 -11.93785 0, -76.97257999999999 -11.93833 0, -76.97278 -11.93861 0, -76.97286 -11.93869 0, -76.97292 -11.93872 0, -76.973 -11.93875 0, -76.9731 -11.93875 0, -76.97328 -11.93871 0, -76.97393 -11.93848 0, -76.97445 -11.9383 0, -76.97454999999999 -11.93827 0, -76.97467 -11.93825 0, -76.97477000000001 -11.93825 0, -76.97496 -11.93828 0, -76.97532 -11.93837 0, -76.97649 -11.9387 0, -76.97732999999999 -11.93894 0, -76.97851 -11.93926 0, -76.9789 -11.93939 0, -76.97919 -11.93955 0, -76.97931 -11.93961 0, -76.97955 -11.9398 0, -76.97971 -11.93994 0, -76.97978000000001 -11.94002 0, -76.97986 -11.94011 0, -76.97993 -11.94021 0, -76.98002 -11.94033 0, -76.98033 -11.94076 0, -76.98050000000001 -11.941 0, -76.98086000000001 -11.94152 0, -76.98143 -11.94234 0, -76.9821 -11.94332 0, -76.98211000000001 -11.94333 0, -76.98215999999999 -11.94341 0, -76.983 -11.94463 0, -76.9834 -11.94519 0, -76.98358 -11.94545 0, -76.98434 -11.94655 0, -76.98502000000001 -11.94753 0, -76.98513 -11.94746 0, -76.98519 -11.94755 0, -76.98659000000001 -11.94957 0, -76.98742 -11.9508 0, -76.98763 -11.95089 0, -76.98791 -11.95113 0, -76.98832 -11.95155 0, -76.98855 -11.95185 0, -76.98872 -11.95205 0, -76.98896000000001 -11.95234 0, -76.98918 -11.95259 0, -76.98939 -11.95284 0, -76.98961 -11.95308 0, -76.98983 -11.95335 0, -76.99002 -11.95355 0, -76.99007 -11.95362 0, -76.99027 -11.95385 0, -76.99051 -11.95414 0, -76.99071000000001 -11.95437 0, -76.99093999999999 -11.95464 0, -76.99114 -11.95489 0, -76.99155 -11.95534 0, -76.99168 -11.95543 0, -76.99173 -11.95547 0, -76.99178999999999 -11.95551 0, -76.99186 -11.95555 0, -76.99193 -11.95559 0, -76.99205000000001 -11.95564 0, -76.9924 -11.9557 0, -76.99257 -11.95573 0, -76.9931 -11.95579 0, -76.99334 -11.95582 0, -76.99343 -11.95583 0, -76.99379 -11.95589 0, -76.99405 -11.95592 0, -76.99441 -11.95596 0, -76.99466 -11.956 0, -76.99497 -11.95605 0, -76.99508 -11.95606 0, -76.99531 -11.95609 0, -76.99543 -11.95611 0, -76.99572000000001 -11.95615 0, -76.99602 -11.95618 0, -76.99635000000001 -11.95623 0, -76.99668 -11.95627 0, -76.99746 -11.95637 0, -76.99771 -11.9564 0, -76.99823641764176 -11.95648475361946 0, -76.99806529072374 -11.95684872701202 0, -76.99819443571666 -11.95726077337277 0, -76.99845999999999 -11.95788 0, -76.99845999999999 -11.95789 0, -76.99854999999999 -11.95806 0, -76.99858 -11.95812 0, -76.9986 -11.95817 0, -76.99863000000001 -11.95824 0, -76.99867 -11.95832 0, -76.99869 -11.95838 0, -76.99872000000001 -11.95845 0, -76.99875 -11.95851 0, -76.99879 -11.9586 0, -76.99884 -11.95873 0, -76.99890000000001 -11.95885 0, -76.99896 -11.95899 0, -76.999 -11.95911 0, -76.99919 -11.95947 0, -76.9992 -11.9595 0, -76.99925 -11.95965 0, -76.99938 -11.95996 0, -76.99952 -11.96025 0, -76.99955 -11.96034 0, -76.99965 -11.96055 0, -76.99970999999999 -11.96068 0, -76.99979 -11.96086 0, -76.99988 -11.96109 0, -76.99993000000001 -11.96119 0, -77.00001 -11.9614 0, -77.00006 -11.96151 0, -77.00011000000001 -11.96162 0, -77.00015999999999 -11.96175 0, -77.00024000000001 -11.96191 0, -77.00033999999999 -11.96209 0, -77.00044 -11.96222 0, -77.00064999999999 -11.96258 0, -77.00082 -11.96283 0, -77.00086 -11.96292 0, -77.00089 -11.96297 0, -77.00107 -11.96324 0, -77.00131 -11.96361 0, -77.00154000000001 -11.96397 0, -77.00176 -11.9643 0, -77.00191 -11.96453 0, -77.00193 -11.96457 0, -77.00201 -11.96472 0, -77.00205 -11.96479 0, -77.00229 -11.96527 0, -77.00252 -11.96575 0, -77.00257000000001 -11.96584 0, -77.00261999999999 -11.96593 0, -77.00268 -11.96603 0, -77.00272 -11.9661 0, -77.00275999999999 -11.96615 0, -77.00283 -11.96625 0, -77.00294 -11.96637 0, -77.00315999999999 -11.96666 0, -77.00349 -11.96711 0, -77.00353 -11.96717 0, -77.00364 -11.96732 0, -77.00379 -11.96754 0, -77.00427000000001 -11.96809 0, -77.00433 -11.96814 0, -77.00439 -11.96818 0, -77.00439 -11.96819 0, -77.00445000000001 -11.96824 0, -77.00449999999999 -11.96829 0, -77.00454000000001 -11.96835 0, -77.0048 -11.96869 0, -77.00507 -11.96906 0, -77.00512000000001 -11.96912 0, -77.00519 -11.96921 0, -77.00566000000001 -11.96992 0, -77.00587 -11.97025 0, -77.00592 -11.97031 0, -77.00609 -11.97058 0, -77.0067 -11.9715 0, -77.00691999999999 -11.972 0, -77.00699 -11.9722 0, -77.00721 -11.97265 0, -77.00771 -11.97343 0, -77.00771 -11.97344 0, -77.00857000000001 -11.97478 0, -77.00888999999999 -11.9753 0, -77.0089 -11.97531 0, -77.00946999999999 -11.97618 0, -77.00984 -11.97677 0, -77.00989 -11.97686 0, -77.01022 -11.97738 0, -77.01023000000001 -11.97739 0, -77.01061 -11.97801 0, -77.01102 -11.97862 0, -77.01132 -11.97912 0, -77.0115 -11.97938 0, -77.01208 -11.98031 0, -77.01211000000001 -11.98036 0, -77.01221 -11.9805 0, -77.0123 -11.98064 0, -77.0124 -11.9808 0, -77.01273999999999 -11.98133 0, -77.01300999999999 -11.98176 0, -77.01300999999999 -11.98177 0, -77.01321 -11.98218 0, -77.01324 -11.98232 0, -77.0133 -11.98247 0, -77.01339 -11.98258 0, -77.01352 -11.98277 0, -77.01365 -11.98293 0, -77.01378 -11.9831 0, -77.01407 -11.98353 0, -77.0142 -11.98371 0, -77.01439999999999 -11.98397 0, -77.01447 -11.98403 0, -77.01532 -11.98478 0, -77.0154 -11.98485 0, -77.01544 -11.98489 0, -77.01546999999999 -11.98494 0, -77.0155 -11.98501 0, -77.01553 -11.98512 0, -77.01568 -11.98569 0, -77.01576 -11.986 0, -77.01579 -11.98615 0, -77.0158 -11.98623 0, -77.0158 -11.98634 0, -77.0158 -11.98642 0, -77.01578000000001 -11.98659 0, -77.01577 -11.98674 0, -77.01575 -11.98683 0, -77.01575 -11.98701 0, -77.01573 -11.9872 0, -77.01561 -11.98822 0, -77.01559 -11.98856 0, -77.01555 -11.98883 0, -77.01552 -11.9891 0, -77.01549 -11.98928 0, -77.01546 -11.98951 0, -77.01541 -11.98997 0, -77.01537 -11.99017 0, -77.0153 -11.99066 0, -77.01512 -11.99183 0, -77.01511000000001 -11.99187 0, -77.01512 -11.9919 0, -77.01513 -11.99195 0, -77.01521 -11.99229 0, -77.0153 -11.99263 0, -77.01533000000001 -11.99279 0, -77.01533999999999 -11.9929 0, -77.01533000000001 -11.99302 0, -77.01521 -11.9956 0, -77.01518 -11.99573 0, -77.01518 -11.99582 0, -77.01518 -11.99586 0, -77.01537 -11.99626 0, -77.01537999999999 -11.9963 0, -77.01552 -11.99661 0, -77.01560000000001 -11.99676 0, -77.01527 -11.9973 0, -77.01497999999999 -11.99782 0, -77.01472 -11.99823 0, -77.01452999999999 -11.99866 0, -77.01447 -11.99883 0, -77.01432 -11.99921 0, -77.01412999999999 -11.99961 0, -77.01383 -12.00031 0, -77.01345999999999 -12.00119 0, -77.01289 -12.00256 0, -77.01251000000001 -12.00337 0, -77.01232 -12.00392 0, -77.01228 -12.00403 0, -77.01222 -12.0042 0, -77.01213 -12.00449 0, -77.01168 -12.00589 0, -77.01154 -12.0063 0, -77.01130000000001 -12.00701 0, -77.01123 -12.00722 0, -77.01117000000001 -12.00737 0, -77.01107 -12.00767 0, -77.01103999999999 -12.00779 0, -77.01102 -12.00799 0, -77.01106 -12.0084 0, -77.01116 -12.0092 0, -77.01125999999999 -12.01008 0, -77.01146 -12.01174 0, -77.01151 -12.01218 0, -77.01151 -12.01221 0, -77.01154 -12.01233 0, -77.0116 -12.01276 0, -77.0116 -12.01279 0, -77.01170999999999 -12.01367 0, -77.01174 -12.01389 0, -77.01181 -12.01443 0, -77.01182 -12.01447 0, -77.01193000000001 -12.01537 0, -77.01197000000001 -12.01577 0, -77.01199 -12.01589 0, -77.01204 -12.01636 0, -77.01211000000001 -12.0169 0, -77.01215000000001 -12.01719 0, -77.01222 -12.01773 0, -77.01224999999999 -12.01797 0, -77.01233000000001 -12.01877 0, -77.01237999999999 -12.01918 0, -77.01241 -12.0194 0, -77.01251000000001 -12.02032 0, -77.01253 -12.02053 0, -77.01254 -12.02065 0, -77.01262 -12.02119 0, -77.01273 -12.02205 0, -77.01278000000001 -12.02248 0, -77.01278000000001 -12.02252 0, -77.01279 -12.02256 0, -77.01279 -12.02261 0, -77.01279 -12.02267 0, -77.01277 -12.02278 0, -77.01276 -12.02282 0, -77.01273 -12.02296 0, -77.01272 -12.02302 0, -77.0127 -12.02308 0, -77.01258 -12.02341 0, -77.01237 -12.02381 0, -77.01224000000001 -12.02407 0, -77.01221 -12.02415 0, -77.01218 -12.02424 0, -77.01215999999999 -12.02429 0, -77.01215000000001 -12.02435 0, -77.01214 -12.0244 0, -77.01213 -12.02446 0, -77.01208 -12.02469 0, -77.01205 -12.02491 0, -77.01201 -12.02517 0, -77.01197999999999 -12.0252 0, -77.01194 -12.02523 0, -77.01187 -12.02525 0, -77.01143 -12.02521 0, -77.01094999999999 -12.02516 0, -77.01088 -12.02516 0, -77.01082 -12.02518 0, -77.01076999999999 -12.02521 0, -77.01069 -12.02527 0, -77.01062 -12.02534 0, -77.01054999999999 -12.02543 0, -77.01049 -12.02552 0, -77.01048 -12.02557 0, -77.01047 -12.02562 0, -77.01048 -12.02571 0, -77.01049 -12.02581 0, -77.01053 -12.02596 0, -77.01056 -12.02605 0, -77.01072490110562 -12.02644116350646 0, -77.01078066361525 -12.02664109977348 0, -77.01088 -12.02693 0, -77.01111 -12.02745 0, -77.01117000000001 -12.02761 0, -77.0116 -12.02848 0, -77.01169 -12.02881 0, -77.01191 -12.02946 0, -77.01197999999999 -12.02972 0, -77.01228999999999 -12.03097 0, -77.0123 -12.03113 0, -77.01228999999999 -12.03133 0, -77.01227 -12.03145 0, -77.01226 -12.03183 0, -77.01227 -12.03202 0, -77.01235 -12.03219 0, -77.01249 -12.03255 0, -77.01251999999999 -12.03267 0, -77.01254 -12.0328 0, -77.01255999999999 -12.03292 0, -77.01259 -12.03308 0, -77.01259 -12.0331 0, -77.01262 -12.03329 0, -77.01264 -12.03354 0, -77.01268357642803 -12.03402462825263 0, -77.01273175265162 -12.03452262287399 0, -77.01278705467249 -12.03500951378086 0, -77.01286773784977 -12.03539316616745 0, -77.0129764425059 -12.03562117237831 0, -77.01325872749882 -12.03682806193573 0, -77.01336586095736 -12.03718143017744 0, -77.01375577083672 -12.03743807492838 0, -77.01414930267011 -12.03757760462467 0, -77.01479503056355 -12.03804165533587 0, -77.01551976897447 -12.03859559577599 0, -77.01649670457478 -12.03929348636889 0, -77.01725344777027 -12.03987039355172 0, -77.01770244870288 -12.04021366909731 0, -77.01777882776209 -12.0402704765612 0, -77.01786 -12.04032 0, -77.01799 -12.04037 0, -77.01813 -12.04041 0, -77.01831 -12.04045 0, -77.01872 -12.04055 0, -77.01899 -12.04064 0, -77.01917 -12.0407 0, -77.01936000000001 -12.04077 0, -77.01971 -12.04092 0, -77.02030999999999 -12.04121 0, -77.02064 -12.04137 0, -77.02092 -12.04149 0, -77.02115000000001 -12.04159 0, -77.02131 -12.04164 0, -77.02151000000001 -12.04169 0, -77.02163 -12.04178 0, -77.02191999999999 -12.04192 0, -77.02204 -12.042 0, -77.02213 -12.04208 0, -77.02218000000001 -12.04211 0, -77.02231999999999 -12.04222 0, -77.02239 -12.04227 0, -77.02246 -12.04231 0, -77.02251 -12.04235 0, -77.02257 -12.04237 0, -77.02272000000001 -12.04246 0, -77.02282 -12.0425 0, -77.02288 -12.04253 0, -77.02294000000001 -12.04254 0, -77.02302 -12.04256 0, -77.02315 -12.04258 0, -77.02327 -12.04258 0, -77.02337 -12.04258 0, -77.02352999999999 -12.04256 0, -77.02374 -12.04255 0, -77.02383 -12.04253 0, -77.02388000000001 -12.04254 0, -77.02391 -12.04256 0, -77.02394 -12.04258 0, -77.024 -12.04262 0, -77.02403 -12.04265 0, -77.02406999999999 -12.0427 0, -77.02410999999999 -12.04276 0, -77.02424000000001 -12.04298 0, -77.0244 -12.0433 0, -77.02446 -12.04343 0, -77.02451000000001 -12.04353 0, -77.02455999999999 -12.04361 0, -77.02473999999999 -12.04394 0, -77.02484 -12.04415 0, -77.02495 -12.04436 0, -77.02512 -12.04471 0, -77.02518000000001 -12.04481 0, -77.02529 -12.04496 0, -77.02537 -12.04508 0, -77.02615 -12.04661 0, -77.02669 -12.04769 0, -77.02723 -12.04872 0, -77.02776 -12.04975 0, -77.02831999999999 -12.05078 0, -77.0288 -12.05174 0, -77.02939000000001 -12.05283 0, -77.02981 -12.05359 0, -77.03025 -12.05446 0, -77.0303 -12.05455 0, -77.03039 -12.05472 0, -77.03045 -12.05495 0, -77.03045 -12.05504 0, -77.03043 -12.05523 0, -77.03036 -12.05576 0, -77.03023 -12.05668 0, -77.03016 -12.05723 0, -77.03009 -12.05781 0, -77.02995 -12.05893 0, -77.02994 -12.05905 0, -77.02992999999999 -12.05912 0, -77.02991 -12.05924 0, -77.02970999999999 -12.06051 0, -77.02965 -12.0609 0, -77.02952999999999 -12.06182 0, -77.02947 -12.06239 0, -77.02937 -12.06315 0, -77.02929 -12.06378 0, -77.0292 -12.06456 0, -77.02903999999999 -12.06562 0, -77.029 -12.06589 0, -77.02882 -12.0672 0, -77.02876999999999 -12.06756 0, -77.02865 -12.06849 0, -77.02857 -12.06915 0, -77.0284 -12.07018 0, -77.0284 -12.07023 0, -77.02833 -12.0707 0, -77.02827000000001 -12.07124 0, -77.02821 -12.07164 0, -77.02813 -12.07229 0, -77.02798 -12.07332 0, -77.02795 -12.07358 0, -77.02786 -12.07433 0, -77.0278 -12.07482 0, -77.02773000000001 -12.07534 0, -77.02761 -12.07606 0, -77.02759 -12.07613 0, -77.02758 -12.0762 0, -77.02764000000001 -12.07622 0, -77.02766 -12.07623 0, -77.02773000000001 -12.07626 0, -77.02791000000001 -12.07634 0, -77.02874 -12.07664 0, -77.0288 -12.07666 0, -77.02884 -12.07667 0, -77.02888 -12.07668 0, -77.02891 -12.07669 0, -77.02896 -12.07671 0, -77.02901 -12.07672 0, -77.02903999999999 -12.07673 0, -77.02905 -12.07673 0, -77.02907999999999 -12.07674 0, -77.02916999999999 -12.07677 0, -77.02930000000001 -12.07688 0, -77.02931 -12.07695 0, -77.02932 -12.077 0, -77.02932 -12.07707 0, -77.02928 -12.07719 0, -77.02903000000001 -12.07778 0, -77.02898999999999 -12.07783 0, -77.02896 -12.0779 0, -77.02894000000001 -12.07797 0, -77.02893 -12.07804 0, -77.02891 -12.07818 0, -77.02889 -12.07833 0, -77.02885000000001 -12.0786 0, -77.02884 -12.07874 0, -77.0288 -12.07887 0, -77.02866 -12.07988 0, -77.02856 -12.08054 0, -77.02842 -12.08157 0, -77.02828 -12.08262 0, -77.02827000000001 -12.08269 0, -77.02819 -12.08331 0, -77.02813 -12.08373 0, -77.02813 -12.0838 0, -77.02813999999999 -12.08387 0, -77.02816 -12.08393 0, -77.02818000000001 -12.084 0, -77.0282 -12.08406 0, -77.02822999999999 -12.08413 0, -77.02827000000001 -12.08419 0, -77.0283 -12.08425 0, -77.02833 -12.08431 0, -77.02837 -12.0844 0, -77.02839 -12.08446 0, -77.0284 -12.08453 0, -77.02842 -12.08476 0, -77.02843 -12.08488 0, -77.02849999999999 -12.08552 0, -77.02852 -12.08566 0, -77.02880999999999 -12.08664 0, -77.02888 -12.08697 0, -77.029 -12.08734 0, -77.02916 -12.08796 0, -77.02929 -12.08851 0, -77.03034087476929 -12.09196200890005 0, -77.02699452699298 -12.09152450639261 0, -77.02637096889197 -12.09582328283366 0)",Rutas (#5),+proj=longlat +datum=WGS84 +no_defs
