name,geometry,geometry_layer,geometry_proj4
Palao,POINT Z (-77.05947500000001 -12.018869 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Habich,POINT Z (-77.057222 -12.029494 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Control,POINT Z (-77.053178 -12.033328 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
1° De Mayo,POINT Z (-76.95710800000001 -12.198642 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Modelo,POINT Z (-76.95874999999999 -12.195972 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Alipio Ponce,POINT Z (-76.978869 -12.171281 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Amauta,POINT Z (-76.98175000000001 -12.1617 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Perales,POINT Z (-76.980433 -12.047753 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Evitamiento - Javier Prado,POINT Z (-76.980497 -12.083556 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Santa Rosa,POINT Z (-76.97117799999999 -12.064575 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Puente Santa Anita,POINT Z (-76.972706 -12.059433 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Puente Azul,POINT Z (-76.97729699999999 -12.050542 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Atarjea,POINT Z (-76.987031 -12.041469 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Puente Nuevo,POINT Z (-76.999014 -12.029389 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Senati,POINT Z (-77.062597 -11.998753 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Mega Plaza,POINT Z (-77.063008 -11.994953 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Santos Chocano,POINT Z (-77.06851899999999 -11.990575 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Los Alisos,POINT Z (-77.078333 -11.983617 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Universitaria,POINT Z (-77.077181 -11.979289 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Huandoy,POINT Z (-77.082808 -11.976608 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Canta Callao,POINT Z (-77.08715599999999 -11.974414 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Atocongo,POINT Z (-76.98288599999999 -12.149758 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Tinoco,POINT Z (-76.98215 -12.145567 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Benavides,POINT Z (-76.97815300000001 -12.131481 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Primavera,POINT Z (-76.977964 -12.111186 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Hipodromo,POINT Z (-76.980847 -12.093269 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Palmeras,POINT Z (-77.071206 -11.990983 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Universitaria,POINT Z (-77.07916400000001 -11.991392 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
America,POINT Z (-76.97495600000001 -12.183764 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
200 Millas,POINT Z (-76.93523827092834 -12.23340973639569 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
José Olaya,POINT Z (-76.938931 -12.228876 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Jose Carlos Mariategui,POINT Z (-76.94049099999999 -12.226334 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
