osmid,street_count,highway,ref,geometry,marketplace_osmid,marketplace_dist
386845243,3,,,POINT (-77.0301601 -12.1208241),289487120,0.005104190522889995
4332964417,3,,,POINT (-77.05561419999999 -12.052785),623949369,0.0014250844736240545
4332964418,3,,,POINT (-77.05521229999999 -12.0521431),623949369,0.0012509097266961095
4332964424,3,,,POINT (-77.0550296 -12.0517882),623949369,0.001365353242615201
4332964425,3,,,POINT (-77.054963 -12.0518226),623949369,0.0012976942618395599
416139855,3,,,POINT (-77.010895 -12.0751852),832020961,0.002638324998107758
392153681,4,,,POINT (-77.015394 -12.0863267),438009538,0.01022104146537244
7061064275,3,,,POINT (-76.8201845 -12.3343351),171652088,0.041551085644635236
263637592,4,,,POINT (-77.0188228 -12.1304594),464662737,0.004744941319457405
6610897497,3,,,POINT (-76.9847286 -12.1609149),419992758,0.0034639268058496374
416139880,3,,,POINT (-77.0108395 -12.0757034),832020961,0.0023988240789472094
4332735080,3,,,POINT (-77.0530612 -12.0635994),435373492,0.00016737638380655954
3742059117,3,,,POINT (-76.80803899999999 -12.1237664),622544541,0.009748090255389447
1707756142,3,motorway_junction,1B,POINT (-76.9744985 -12.0747453),519734585,0.01113064714876796
4361767539,3,,,POINT (-76.9487761 -12.1781315),438427072,0.0028467972235609973
4361767540,3,,,POINT (-76.94828099999999 -12.177885),458523273,0.002702143752531693
1368672888,4,,,POINT (-76.9994355 -12.0465857),443670860,0.00855578157405572
1368672892,4,,,POINT (-76.9994777 -12.0466437),443670860,0.008484885984523748
6302812799,3,,,POINT (-77.11525519999999 -12.0510291),446404460,0.030453091641016197
1273121415,3,,,POINT (-77.0526291 -11.9568717),115715284,0.00464105435960387
1617054356,4,,,POINT (-77.1331936 -11.9404969),549026497,0.03746161081493725
1617054359,3,,,POINT (-77.1314509 -11.9406208),549026497,0.035767685450001495
4080487074,3,,,POINT (-77.0844293 -11.9911523),795773506,0.0032597589295158716
1273842339,4,,,POINT (-76.96096489999999 -12.1971744),372138435,0.0018159389044013563
4080487075,3,,,POINT (-77.08418829999999 -11.9911683),795773506,0.003186106373811446
1706511014,3,,,POINT (-76.84439329999999 -12.3015267),296567582,0.034808751111876285
395037351,4,,,POINT (-77.107359 -12.0442394),446404460,0.020372052033742642
4080192169,4,,,POINT (-77.1053208 -11.9891241),438648719,0.0015691989340672896
1273842347,4,,,POINT (-76.9219387 -12.1962292),372226564,0.0024622698397268414
1273744044,4,,,POINT (-76.9870571 -12.1987225),372289913,0.005396125396780488
1273121455,3,,,POINT (-77.049541 -11.9500223),474404857,0.0023847879105714496
1706511027,3,,,POINT (-76.84487249999999 -12.3023747),296567582,0.03503683537975426
1830374069,3,crossing,,POINT (-77.0341763 -12.0520613),463344757,0.002069783808012937
1830374071,4,,,POINT (-77.033062 -12.0527031),463344757,0.0013641831544004676
1830374072,4,traffic_signals,,POINT (-77.03214989999999 -12.0532988),463344757,0.001494875208346405
3788360379,4,,,POINT (-76.97705259999999 -12.1314119),607812696,0.009293880841932533
1830374075,4,,,POINT (-77.0303104 -12.0545038),435481443,0.0016177319857056472
1405078205,3,,,POINT (-76.961151 -12.1927256),371830802,0.0012107518350382086
632179390,4,,,POINT (-77.1642363 -12.0720636),446736754,0.06846635369477622
3788360383,3,,,POINT (-76.9774697 -12.1300885),607812696,0.010679823755966999
306072255,4,traffic_signals,,POINT (-77.0992442 -12.0402076),446404460,0.011342330736270273
1617054395,3,,,POINT (-77.1341987 -11.9423886),605381902,0.037046264589960375
306760386,3,,,POINT (-77.1478683 -12.0612312),628151964,0.055521545456688456
