osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist,courthouse_nearestnode
1870310428,4,,,POINT (-77.0578057 -11.9852697),301604752,0.0039331141001715895,842490892
1870310429,4,,,POINT (-77.05777740000001 -11.985373),301604752,0.003852546346646978,842490892
4971473950,3,,,POINT (-76.9161007 -12.0380642),438029702,0.024707520212878285,1577492164
819211295,4,traffic_signals,,POINT (-77.04873859999999 -12.0643753),4338622519,0.01532009791417766,108154712
819211293,4,,,POINT (-77.04972309999999 -12.0635186),4338622519,0.01587499648252021,108154712
3386354726,4,,,POINT (-77.0570846 -11.9877587),301604752,0.0026317735362906013,842490892
440216614,3,,,POINT (-76.8404602 -12.0982897),438029702,0.11929031772006668,1577492164
1745660970,3,,,POINT (-76.6886229 -11.9329825),487183431,0.09287065326861038,1524458694
1813130283,4,,,POINT (-77.0389157 -11.892387),679438717,0.021356120198879454,4335734843
1767549997,4,,,POINT (-77.13874250000001 -11.8516954),679438717,0.12143054070515398,4335734843
1745660973,4,,,POINT (-76.68920369999999 -11.9329189),487183431,0.09238630075215702,1524458694
5491305518,3,,,POINT (-76.94142479999999 -12.1326533),408686631,0.029447622448620387,1715696609
819211313,4,,,POINT (-77.0479411 -12.0634415),4338622519,0.014202425990310288,108154712
1273932850,3,,,POINT (-77.0787244 -12.0626181),465071802,0.03413187250984215,6302726030
5491305517,3,,,POINT (-76.9416906 -12.1323716),408686631,0.02958825820046009,1715696609
197667893,4,,,POINT (-77.0381089 -12.1190931),5527853721,0.011647665035105718,259996518
1870310453,3,,,POINT (-77.0569641 -11.9903255),301604752,0.002940135520825947,842490892
6481882167,4,,,POINT (-76.9577413 -12.0071483),438029702,0.0311724795868583,1577492164
7084321854,3,,,POINT (-76.9918691 -12.1817591),6695199631,0.04383033273180123,1405153097
1767550014,3,,,POINT (-77.13368130000001 -11.8518097),679438717,0.11649605705716007,4335734843
440216639,3,,,POINT (-76.83871790000001 -12.0994815),438029702,0.1214008062844388,1577492164
6481882176,3,,,POINT (-76.9576091 -12.0071707),438029702,0.03108001249583485,1577492164
