osmid,street_count,highway,ref,geometry,hospital_osmid,hospital_dist
1746796546,4,,,POINT (-76.97923710000001 -12.0449597),468556938,0.00681083905607572
4284776453,4,,,POINT (-77.0198858 -12.2007022),442795790,0.01863058296558577
4200497160,3,,,POINT (-77.094624 -12.0622377),780622087,0.003405431854510241
5497389066,3,,,POINT (-76.8093762 -12.0237946),320125239,0.013721197296949489
1746796556,4,,,POINT (-76.97493590000001 -12.0452296),456121389,0.007246349432380717
4335599630,3,,,POINT (-77.0275785 -12.119051),431592740,0.00575910851499292
3738206223,4,,,POINT (-76.9170251 -11.9755075),513169741,0.026004940955825506
1482227728,3,,,POINT (-76.9879186 -12.0666517),4576632912,0.01067833677783043
5986648082,3,,,POINT (-76.8963775 -12.2283038),445599680,0.026403620727035917
1273757715,4,,,POINT (-76.9124822 -12.2086264),126861263,0.019715107079194848
1482227733,4,,,POINT (-76.9893649 -12.0620764),4576632912,0.010550309073588886
1482227734,4,,,POINT (-76.9938308 -12.0622365),4576632912,0.006877992923901169
1674117145,3,,,POINT (-76.9500695 -12.2020712),370242982,0.0052265535476610685
821755929,4,,,POINT (-77.0062954 -12.0178307),4503252089,0.00727274832568331
1674117147,3,,,POINT (-76.9505516 -12.2012952),370242982,0.005169166084170021
1482227739,4,,,POINT (-76.995155 -12.0638085),4576632912,0.00482832624843976
1674117149,3,,,POINT (-76.949607 -12.2028501),370242982,0.005453821647056297
1746796572,3,,,POINT (-76.9774705 -12.0464091),468556938,0.009095327280678413
1746796575,4,,,POINT (-76.9793056 -12.0465856),468556938,0.007926366183385398
3993075744,3,motorway_junction,,POINT (-76.9750526 -12.0547755),456121389,0.014908580672411116
1482227746,4,,,POINT (-76.993627 -12.0601419),4576632912,0.008631613247209641
1482227752,4,,,POINT (-76.993681 -12.0606892),4576632912,0.008156958411339529
1746796586,4,,,POINT (-76.9809176 -12.0465864),468556938,0.007003990653732832
1482227757,3,,,POINT (-76.99286909999999 -12.0640071),4576632912,0.006549497486789343
1482227759,4,,,POINT (-76.9935728 -12.0595921),4576632912,0.009116935583363696
1482227761,3,,,POINT (-76.98944849999999 -12.0640892),4576632912,0.009652094993048607
1746796594,3,,,POINT (-76.98007 -12.0468321),468556938,0.007661895213202044
4724817987,3,,,POINT (-76.9767379 -12.1300228),3946355480,0.011529630817769969
197656644,3,,,POINT (-77.0359239 -12.1267246),431592740,0.015502182004592054
197656646,4,,,POINT (-77.03590269999999 -12.1260125),431592740,0.014879619838320477
197656647,4,,,POINT (-77.035886 -12.1249702),431592740,0.013991781203245115
197656648,4,,,POINT (-77.03588310000001 -12.1243763),431592740,0.013499579735042623
847511626,3,,,POINT (-77.0949877 -12.0309177),1904507931,0.004765844380357292
1273528397,3,,,POINT (-76.87292840000001 -12.0991282),454698428,0.0773255158484494
1273528398,4,,,POINT (-76.90954120000001 -12.1962499),126861263,0.027056109365685144
847511631,3,,,POINT (-77.09600759999999 -12.0329692),1904507931,0.006234681206170037
1273462861,4,,,POINT (-76.99100230000001 -12.2011099),419918941,0.015279270589523086
