osmid,street_count,highway,ref,geometry,university_osmid,university_dist
1381395997,4,,,POINT (-77.0967325 -11.9534718),438893627,0.026529732696963734
1369042468,3,,,POINT (-77.0076286 -12.0426581),406615116,0.016449544619263987
263384613,4,,,POINT (-77.0588657 -12.0920762),436918516,0.0031287807756396834
263384616,4,,,POINT (-77.0583371 -12.0910717),436918516,0.004099256069421385
1381396012,4,,,POINT (-77.0854514 -11.9535721),438893627,0.015264417708891686
1403252270,3,,,POINT (-76.83216 -12.1453892),623543488,0.09713178950995001
263613998,4,traffic_signals,,POINT (-77.0252315 -12.122077),436300781,0.004975246793415996
1381396014,4,,,POINT (-77.091898 -11.9535832),438893627,0.021702834233240403
632155694,4,,,POINT (-77.15885059999999 -12.0689121),418674556,0.06564567837413271
1758293556,3,,,POINT (-77.13546669999999 -11.8484348),621763280,0.11541766520303692
1369042486,3,,,POINT (-77.0078812 -12.0427413),6585870,0.01644180339731498
1403252282,3,,,POINT (-76.8280654 -12.1425313),623543488,0.09871402682106642
1403252285,3,,,POINT (-76.8572779 -12.1650058),445592477,0.07187042633050432
1273982525,4,,,POINT (-76.9265053 -12.2022305),126861408,0.012644671549965665
1403252287,3,,,POINT (-76.8353986 -12.1462023),623543488,0.09511700367626409
1273589312,3,,,POINT (-76.9425682 -12.1982346),126861408,0.01825968372339265
1758293569,4,,,POINT (-77.1361299 -11.8488274),621763280,0.11556996264098628
5396196929,3,,,POINT (-76.998334 -12.1714753),437330220,0.02635404684876715
5396196925,3,,,POINT (-76.9967206 -12.1689816),437330220,0.029246444247458713
1384279618,3,,,POINT (-77.0970372 -11.9575973),438893627,0.02727738880217115
5396196933,3,,,POINT (-77.0005 -12.1732871),437330220,0.02397870578693997
1369042506,3,,,POINT (-77.00823459999999 -12.0428577),6585870,0.016071019925750604
1241378378,4,,,POINT (-77.0410004 -11.8938613),621763280,0.044175967143234664
1273622092,3,,,POINT (-76.9431118 -12.1907051),126861408,0.02509925658005841
1271066190,3,,,POINT (-77.0557641 -11.9289424),621763280,0.006124977819179303
1273818705,4,,,POINT (-76.983959 -12.0674687),126865901,0.014602682154963818
1403252306,3,,,POINT (-76.8405463 -12.1488069),445592477,0.09131907414659117
1381396050,3,,,POINT (-77.0857774 -11.9538962),438893627,0.015612774793932548
8855875158,3,,,POINT (-76.9805233 -12.0775308),126865901,0.008259916792141313
1305701977,4,,,POINT (-77.0820636 -11.9558478),438893627,0.012277013757756437
1305701979,4,traffic_signals,,POINT (-77.0846792 -11.9549193),438893627,0.014643315152299424
1369042523,3,,,POINT (-77.0085995 -12.0429777),6585870,0.015688278134937308
1241378395,4,,,POINT (-77.0394649 -11.893014),621763280,0.04557450248483021
1384279645,4,,,POINT (-77.0975631 -11.9580048),438893627,0.027870386581101747
1384279647,4,,,POINT (-77.0888825 -11.9580328),438893627,0.01943290065704654
1273753188,4,,,POINT (-76.98234170000001 -12.0112812),437352802,0.020744624031035754
1381396072,3,,,POINT (-77.09755269999999 -11.9541869),438893627,0.027380909423637693
1381396073,3,,,POINT (-77.0906773 -11.9541866),438893627,0.020520362057451523
1042083440,4,,,POINT (-76.9870574 -12.0641011),126865901,0.017489299882014343
4343393904,4,,,POINT (-77.07677390000001 -12.0797044),4456823291,0.007132571767600365
1271066225,4,,,POINT (-77.03026730000001 -11.9149698),621763280,0.03427748997440579
1384279669,3,,,POINT (-77.0979289 -11.958317),438893627,0.028290522514054058
1305702007,3,,,POINT (-77.0600283 -11.9412947),621763280,0.007036294738605105
1384279672,4,,,POINT (-77.0892764 -11.9583692),438893627,0.019905960331447627
1834708603,4,traffic_signals,,POINT (-77.03556159999999 -12.0777257),4359109891,0.0032052750552784815
1273589372,4,,,POINT (-77.0641274 -12.076619),436267029,0.008382413142294926
6295187069,3,,,POINT (-77.03795940000001 -12.0383718),172600384,0.009178756706155996
1273654909,3,,,POINT (-76.96209880000001 -12.1978335),154973504,0.009464795167347663
1241378430,3,,,POINT (-77.04096869999999 -11.8952147),621763280,0.04294935270931394
1273982593,3,,,POINT (-77.0118198 -12.0540763),500543577,0.008199704234559188
1042083462,4,,,POINT (-76.98730380000001 -12.0641381),126865901,0.01744465434823261
1271066246,4,,,POINT (-77.0424641 -11.9247637),621763280,0.018711287674452622
1381396105,3,,,POINT (-77.0891307 -11.954599),438893627,0.01901688761559933
3063475857,3,,,POINT (-77.0336576 -12.0879767),4729605590,0.0032764469597403732
1359113875,3,,,POINT (-77.1040127 -11.9894338),816689154,0.0389255063639045
6023540371,3,,,POINT (-77.06805869999999 -11.8573551),621763280,0.07766682135008321
