u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,bridge,ref,tunnel,junction,access
263935452,263935458,0,437650649,True,2,secondary,60,196.846,"LINESTRING (-77.0101142 -12.10162, -77.0100781 -12.1015505, -77.0100509 -12.101502, -77.0098943 -12.101326, -77.00967919999999 -12.1011153, -77.0093928 -12.1008651, -77.00921390000001 -12.1007343, -77.00888930000001 -12.1004072, -77.0088492 -12.1003668)",Avenida Del Parque Sur,,,,,
263935452,4808012769,0,488514176,True,,residential,,57.213,"LINESTRING (-77.0101142 -12.10162, -77.0101818 -12.1015491, -77.01019650000001 -12.1015355, -77.01025679999999 -12.1014798, -77.01035210000001 -12.1013874, -77.0104041 -12.1013455, -77.0104449 -12.1013171, -77.0104575 -12.1013084, -77.0105078 -12.1012826)",Jirón Copernico,,,,,
263935458,263935459,0,"[958487032, 958487035]",True,,secondary,60,17.598,"LINESTRING (-77.0088492 -12.1003668, -77.0088032 -12.1003068, -77.0087522 -12.1002401)",Avenida Del Parque Sur,,,,,
263935458,391037802,0,1183592685,True,2,secondary,40,110.0,"LINESTRING (-77.0088492 -12.1003668, -77.0087936 -12.1004083, -77.0086271 -12.1005112, -77.0083767 -12.1006239, -77.0081067 -12.1007082, -77.00792559999999 -12.1007485)",Avenida San Borja Sur,,,,,
263935459,316625042,0,339497470,True,2,secondary,60,60.46,"LINESTRING (-77.0087522 -12.1002401, -77.00882540000001 -12.1001806, -77.0089375 -12.1000731, -77.00915449999999 -12.0998651)",Avenida San Borja Sur,,,,,
315561470,315562531,0,279876630,True,5,motorway,90,119.165,"LINESTRING (-76.98356080000001 -12.0850917, -76.98246519999999 -12.0850642)",Avenida Javier Prado Este,,,,,
315561470,315562713,0,28707042,True,1,motorway_link,75,188.743,"LINESTRING (-76.98356080000001 -12.0850917, -76.9834824 -12.0851101, -76.9834355 -12.0851245, -76.9833611 -12.0851544, -76.9833089 -12.0851792, -76.9832626 -12.0852113, -76.9832212 -12.0852462, -76.98319050000001 -12.0852788, -76.9831626 -12.0853163, -76.9831439 -12.0853464, -76.98312850000001 -12.0853857, -76.9831168 -12.0854397, -76.9831145 -12.0854775, -76.9831155 -12.0855188, -76.9831215 -12.0855563, -76.9831281 -12.085593, -76.9831399 -12.085629, -76.9831587 -12.085665, -76.9831847 -12.0857041, -76.9832096 -12.0857319, -76.983245 -12.0857618, -76.9832754 -12.0857836, -76.9833107 -12.0858012, -76.98335179999999 -12.0858151, -76.98338800000001 -12.0858224, -76.983422 -12.0858274, -76.9834623 -12.0858274, -76.9834967 -12.0858237, -76.9835357 -12.0858135, -76.98356769999999 -12.0858015, -76.9836083 -12.085782, -76.98363759999999 -12.0857646, -76.9836676 -12.0857424, -76.9836998 -12.0857135, -76.9837385 -12.0856727, -76.983769 -12.0856347, -76.9837935 -12.0855953, -76.98381500000001 -12.0855586, -76.98384249999999 -12.0855081)",,,,,,
315561653,315562531,0,28706995,True,1,motorway_link,60,241.82200000000003,"LINESTRING (-76.98228279999999 -12.0852899, -76.9823317 -12.085411, -76.9823471 -12.0854622, -76.9823619 -12.0855284, -76.9823773 -12.0856084, -76.98239479999999 -12.0856825, -76.9824182 -12.0857468, -76.9824297 -12.0857734, -76.98244440000001 -12.0857986, -76.98246880000001 -12.0858295, -76.98249800000001 -12.0858563, -76.98252290000001 -12.0858765, -76.98254970000001 -12.0858943, -76.9825893 -12.0859144, -76.9826315 -12.085929, -76.9826822 -12.0859398, -76.9827341 -12.0859415, -76.9827822 -12.0859349, -76.9828286 -12.0859205, -76.982871 -12.0859034, -76.98290969999999 -12.0858792, -76.9829403 -12.0858522, -76.9829661 -12.0858208, -76.9829869 -12.0857876, -76.9830029 -12.085752, -76.9830152 -12.0857095, -76.9830207 -12.0856657, -76.98302150000001 -12.0856232, -76.9830183 -12.0855808, -76.98300999999999 -12.085534, -76.9829969 -12.0854882, -76.98297959999999 -12.0854451, -76.982958 -12.085404, -76.982935 -12.0853689, -76.9829088 -12.085336, -76.9828486 -12.0852687, -76.98277229999999 -12.0852032, -76.9827133 -12.0851652, -76.9826496 -12.0851291, -76.9825901 -12.0851023, -76.9825285 -12.0850806, -76.98246519999999 -12.0850642)",,,,,,
315561653,315561713,0,106995957,True,2,motorway,80,436.30499999999995,"LINESTRING (-76.98228279999999 -12.0852899, -76.9823 -12.0854151, -76.9823064 -12.0854913, -76.9823097 -12.0855677, -76.98231 -12.0856413, -76.9823075 -12.0857148, -76.9823018 -12.0857913, -76.98229310000001 -12.0858676, -76.9822817 -12.0859426, -76.9822669 -12.0860171, -76.9822434 -12.0861104, -76.9822145 -12.0862023, -76.982146 -12.0864103, -76.9817791 -12.0875106, -76.9814932 -12.0883624, -76.9814362 -12.0885345, -76.9813903 -12.08871, -76.9813271 -12.0890703)",Carretera Panamericana Sur,,PE-1S,,,
315561701,315562605,0,439937934,True,3,primary,60,17.116,"LINESTRING (-76.98422669999999 -12.0841305, -76.9841918 -12.0842806)",Avenida Circunvalación,,,,,
