source;target;wazeinfo0800_km;wazeinfo1400_km;wazeinfo0800_minutes;wazeinfo1400_minutes
859740419;1273465314;0.132;0.132;0.29999999999999993;0.26666666666666666
859740419;4232296002;0.05900000000000001;0.05900000000000001;0.18333333333333326;0.15
371264276;1273465314;0.46400000000000013;0.46400000000000013;1.5333333333333334;1.6833333333333336
371264276;4232296002;0.3910000000000001;0.3910000000000001;1.4166666666666667;1.5666666666666669
347935337;108064648;1.2339999999999958;1.2339999999999958;2.1833333333333327;2.1999999999999993
347935337;108171102;1.2219999999999966;1.2219999999999966;2.1833333333333327;2.1999999999999993
347935337;263399619;1.2429999999999957;1.2429999999999957;2.1833333333333327;2.1999999999999993
347935337;263388312;1.265999999999996;1.265999999999996;2.1833333333333327;2.1999999999999993
347935337;1273866934;1.1439999999999984;1.1439999999999984;2.0999999999999996;2.1166666666666663
347935337;262577893;1.1739999999999977;1.1739999999999977;2.166666666666666;2.1833333333333327
347935337;4334601940;1.1839999999999977;1.1839999999999977;2.166666666666666;2.1833333333333327
347935337;817654982;1.2539999999999951;1.2539999999999951;2.1833333333333327;2.1999999999999993
347935337;4344675721;0.9210000000000003;0.9210000000000003;1.8166666666666664;1.8333333333333333
347935337;108171080;1.241999999999995;1.241999999999995;2.1833333333333327;2.1999999999999993
347935337;263390253;1.240999999999996;1.240999999999996;2.1833333333333327;2.1999999999999993
347935337;5087503999;1.2409999999999957;1.2409999999999957;2.1833333333333327;2.1999999999999993
347935337;263390314;1.2679999999999958;1.2679999999999958;2.1833333333333327;2.1999999999999993
347935337;262909609;1.1839999999999975;1.1839999999999975;2.166666666666666;2.1833333333333327
347935337;257943345;1.2019999999999968;1.2019999999999968;2.166666666666666;2.1833333333333327
347935337;263406378;1.2329999999999957;1.2329999999999957;2.1833333333333327;2.1999999999999993
347935337;263399305;1.2409999999999957;1.2409999999999957;2.1833333333333327;2.1999999999999993
347935337;263640435;0.9870000000000003;0.9870000000000003;1.95;1.95
347935337;263110815;1.2289999999999963;1.2289999999999963;2.1833333333333327;2.1999999999999993
347935337;263121280;1.216999999999997;1.216999999999997;2.1833333333333327;2.1999999999999993
347935337;108237806;1.1749999999999978;1.1749999999999978;2.166666666666666;2.1833333333333327
347935337;2547275317;1.2429999999999957;1.2429999999999957;2.1833333333333327;2.1999999999999993
347935337;140342734;1.22;1.22;2.166666666666666;2.1833333333333327
1768676148;1768675085;0.27;0.27;0.7833333333333333;0.9333333333333336
1768675249;1768675085;0.11600000000000002;0.11600000000000002;0.35;0.3
1768676679;1768675085;0.3940000000000001;0.3940000000000001;0.8500000000000002;0.8166666666666669
1768676824;1768675085;0.8410000000000002;0.8410000000000002;1.9166666666666665;2.066666666666666
8209509737;1768675085;1.021;1.021;4.4833333333333325;3.016666666666667
8141135820;1768675085;0.5670000000000001;0.5670000000000001;1.9999999999999998;2.2166666666666663
1768676538;1768675085;0.6580000000000003;0.6580000000000003;1.3166666666666667;2.3666666666666667
9049328669;1768675085;0.513;0.513;1.9333333333333331;1.4333333333333331
8128586348;1768675085;0.8740000000000001;0.8740000000000001;3.416666666666666;3.033333333333333
8129083210;1768675085;0.6810000000000002;1.3999999999999988;2.4499999999999997;4.316666666666666
8128970983;1768675085;0.495;0.495;1.1333333333333335;1.2666666666666666
6437210288;4332972980;0.30300000000000005;0.30300000000000005;1.1666666666666667;1.116666666666667
1272935559;4332972980;0.18500000000000003;0.18500000000000003;0.39999999999999997;0.3833333333333333
1296960958;4332972980;0.21800000000000003;0.21800000000000003;0.5666666666666667;0.5833333333333334
1382565332;4332972980;0.31200000000000006;0.31200000000000006;0.8666666666666668;0.8500000000000001
5116223896;5497480932;4.347999999999996;4.347999999999996;12.533333333333335;11.116666666666667
1756483662;5497480932;4.2819999999999965;4.2819999999999965;12.283333333333335;10.816666666666666
1756483751;5497480932;4.1679999999999975;4.1679999999999975;11.883333333333335;10.450000000000001
5462843312;4332972980;0.664;0.664;2.016666666666666;1.9666666666666663
