source;target;wazeinfo0800_km;wazeinfo1400_km;wazeinfo0800_minutes;wazeinfo1400_minutes
1826469795;495335838;1.3639999999999997;1.3639999999999997;2.8333333333333335;2.9
1826469795;1826469887;0.14200000000000002;0.14200000000000002;0.6166666666666667;0.5666666666666667
1826469795;1273856455;0.9510000000000002;0.9510000000000002;2.683333333333333;2.8166666666666664
1826469795;4971035687;0.8730000000000002;0.8730000000000002;2.4;2.616666666666666
1826469795;4893076808;0.7610000000000001;0.7610000000000001;2.15;2.1666666666666665
1826469868;495335838;1.3459999999999996;1.3459999999999996;2.5500000000000007;2.766666666666667
1826469868;1826469887;0.124;0.124;0.33333333333333337;0.4333333333333333
1826469868;1273856455;0.9330000000000002;0.9330000000000002;2.4;2.683333333333333
1826469868;4971035687;0.8550000000000002;0.8550000000000002;2.1166666666666667;2.483333333333333
1826469868;4893076808;0.7430000000000001;0.7430000000000001;1.8666666666666667;2.033333333333333
1817713787;495335838;1.1740000000000004;1.1740000000000004;1.7000000000000002;1.8
1817713787;1826469887;0.53;0.53;1.7833333333333332;2.0500000000000003
1817713787;1273856455;0.6890000000000001;0.6890000000000001;1.4833333333333332;1.6499999999999997
1817713787;4971035687;0.6110000000000001;0.6110000000000001;1.2;1.5166666666666666
1817713787;4893076808;0.49900000000000005;0.49900000000000005;0.9500000000000001;1.0
4971035699;495335838;0.8840000000000001;0.8940000000000001;1.4000000000000006;1.3500000000000003
4971035699;1273856455;0.3380000000000001;0.3480000000000001;0.8833333333333335;1.0
4971035699;4971035687;0.26000000000000006;0.2700000000000001;0.6000000000000002;0.8833333333333334
4971035699;4893076808;0.14800000000000002;0.15800000000000003;0.35;0.35
1832653117;495335838;1.0090000000000003;1.0090000000000003;1.5833333333333335;1.5500000000000005
1832653117;1826469887;0.6950000000000001;0.6950000000000001;1.3333333333333333;1.2166666666666666
1832653117;1273856455;0.5960000000000001;0.5960000000000001;1.4333333333333331;1.4666666666666666
1832653117;4971035687;0.5180000000000001;0.5180000000000001;1.15;1.2666666666666666
1832653117;4893076808;0.4060000000000001;0.4060000000000001;0.9;0.8166666666666668
4893062516;495335838;0.8070000000000002;0.8070000000000002;1.1;1.1
4893062516;1273856455;0.31000000000000005;0.31000000000000005;0.8833333333333335;0.95
4893062516;4971035687;0.23200000000000004;0.23200000000000004;0.6000000000000002;0.8166666666666667
4893062516;4893076808;0.12000000000000002;0.12000000000000002;0.35;0.3
1826470059;495335838;1.1800000000000004;1.1800000000000004;2.8000000000000003;2.5500000000000003
1826470059;1826469887;0.39599999999999996;0.39599999999999996;1.75;1.4333333333333331
1826470059;1273856455;0.7670000000000002;0.7670000000000002;2.6499999999999995;2.466666666666667
1826470059;4971035687;0.6890000000000003;0.6890000000000003;2.3666666666666663;2.2666666666666666
1826470059;4893076808;0.5770000000000002;0.5770000000000002;2.1166666666666663;1.8166666666666664
1932467327;1932467999;0.41300000000000003;0.41300000000000003;1.25;1.5000000000000002
1832652892;495335838;1.8749999999999984;1.8749999999999984;3.7333333333333334;3.9833333333333343
1832652892;1826469887;0.653;0.653;1.5166666666666664;1.6500000000000001
1832652892;1273856455;1.4619999999999993;1.4619999999999993;3.5833333333333326;3.9000000000000004
1832652892;4971035687;1.3839999999999995;1.3839999999999995;3.2999999999999994;3.7
1832652892;4893076808;1.2719999999999994;1.2719999999999994;3.0499999999999994;3.2500000000000004
1832673836;495244831;1.2859999999999998;1.2859999999999998;3.7833333333333337;6.2333333333333325
1832673836;495335838;4.875999999999993;4.875999999999993;9.100000000000001;11.566666666666672
1832673836;1826469887;3.6539999999999977;3.6539999999999977;6.883333333333331;9.233333333333333
