source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes;tiempoponderado30kmh
31035113;bank;0.185;0.31666666666666665;0.185;0.31666666666666665;0.37
31035113;courthouse;0.058;0.1;0.058;0.1;0.116
31035113;hospital;0.001;0.0;0.001;0.0;0.002
31035113;police;0.227;1.5833333333333333;0.227;0.7166666666666667;0.454
31035113;school;0.001;0.0;0.001;0.0;0.002
31035113;university;0.003;0.0;0.003;0.0;0.006
31035116;bank;0.185;0.31666666666666665;0.185;0.31666666666666665;0.37
31035116;courthouse;0.058;0.1;0.058;0.1;0.116
31035116;hospital;0.001;0.0;0.001;0.0;0.002
31035116;police;0.227;1.5833333333333333;0.227;0.7166666666666667;0.454
31035116;school;0.001;0.0;0.001;0.0;0.002
31035116;university;0.003;0.0;0.003;0.0;0.006
31035121;bank;0.105;0.4833333333333333;0.105;0.43333333333333335;0.21
31035121;courthouse;0.19699999999999998;0.5333333333333333;0.19699999999999998;1.2166666666666668;0.39399999999999996
31035121;hospital;0.105;0.43333333333333335;0.105;0.43333333333333335;0.21
31035121;police;0.37200000000000005;1.9833333333333327;0.37200000000000005;1.5166666666666666;0.7440000000000001
31035121;school;0.024;0.05;0.024;0.05;0.048
31035121;university;0.108;0.43333333333333335;0.108;0.43333333333333335;0.21600000000000005
31035123;bank;0.13;0.43333333333333335;0.13;0.3833333333333333;0.26
31035123;courthouse;0.222;0.5833333333333334;0.222;1.1666666666666667;0.444
31035123;hospital;0.13;0.43333333333333335;0.13;0.3833333333333333;0.26
31035123;police;0.397;1.933333333333333;0.397;1.4666666666666666;0.794
31035123;school;0.049;0.1;0.049;0.1;0.098
31035123;university;0.133;0.43333333333333335;0.133;0.3833333333333333;0.266
31035125;bank;0.004;0.0;0.004;0.0;0.008
31035125;courthouse;0.30600000000000005;1.0166666666666668;0.30600000000000005;1.0;0.6120000000000001
31035125;hospital;0.004;0.0;0.004;0.0;0.008
31035125;police;0.441;1.4999999999999998;0.441;1.6166666666666667;0.882
31035125;school;0.006999999999999999;0.0;0.006999999999999999;0.0;0.013999999999999999
31035125;university;0.006999999999999999;0.0;0.006999999999999999;0.0;0.013999999999999999
31035127;bank;0.048;0.21666666666666667;0.048;0.15000000000000002;0.096
31035127;courthouse;0.35000000000000003;1.2333333333333336;0.35000000000000003;1.1500000000000004;0.7000000000000001
31035127;hospital;0.048;0.21666666666666667;0.048;0.15000000000000002;0.096
31035127;police;0.485;1.7166666666666666;0.485;1.7666666666666668;0.97
31035127;school;0.051;0.21666666666666667;0.051;0.15000000000000002;0.102
31035127;university;0.051;0.21666666666666667;0.051;0.15000000000000002;0.102
31035129;bank;0.015;0.13333333333333333;0.015;0.1;0.03
31035129;courthouse;1.0629999999999995;3.5166666666666666;1.0629999999999995;3.0;2.1259999999999994
31035129;hospital;1.0119999999999998;3.4166666666666665;1.0119999999999998;2.9;2.024
31035129;police;0.07400000000000001;0.5;0.07400000000000001;0.15;0.14800000000000002
31035129;school;0.075;0.5;0.075;0.15;0.15
31035129;university;1.0090000000000001;3.4166666666666665;1.0090000000000001;2.9;2.0180000000000002
31035131;bank;0.0;0.0;0.0;0.0;0.0
31035131;courthouse;1.0779999999999998;3.45;1.0779999999999998;3.1;2.156
31035131;hospital;1.0270000000000001;3.35;1.0270000000000001;3.0;2.0540000000000003
31035131;police;0.08900000000000001;0.43333333333333335;0.08900000000000001;0.25;0.17800000000000002
31035131;school;0.09;0.43333333333333335;0.09;0.25;0.18
31035131;university;1.024;3.35;1.024;3.0;2.048
31035133;bank;0.015;0.016666666666666666;0.015;0.03333333333333333;0.03
31035133;courthouse;1.1679999999999997;3.6166666666666663;1.1679999999999997;3.266666666666667;2.3359999999999994
31035133;hospital;1.1169999999999998;3.5166666666666666;1.1169999999999998;3.166666666666667;2.2339999999999995
31035133;police;0.179;0.6000000000000001;0.179;0.4166666666666667;0.358
31035133;school;0.18;0.6000000000000001;0.18;0.4166666666666667;0.36
31035133;university;1.114;3.5166666666666666;1.114;3.166666666666667;2.228
31035134;bank;0.001;0.0;0.001;0.0;0.002
31035134;courthouse;1.182;3.633333333333333;1.182;3.3000000000000003;2.364
31035134;hospital;1.131;3.533333333333333;1.131;3.2;2.262
31035134;police;0.193;0.6166666666666667;0.193;0.4500000000000001;0.386
31035134;school;0.19399999999999998;0.6166666666666667;0.19399999999999998;0.4500000000000001;0.38799999999999996
31035134;university;1.128;3.533333333333333;1.128;3.2;2.256
31035141;bank;0.07200000000000001;0.55;0.07200000000000001;0.5;0.14400000000000002
31035141;courthouse;0.23;0.6;0.23;1.2833333333333334;0.46
31035141;hospital;0.07200000000000001;0.5;0.07200000000000001;0.5;0.14400000000000002
31035141;police;0.405;2.05;0.405;1.5833333333333333;0.81
31035141;school;0.057;0.11666666666666667;0.057;0.11666666666666667;0.114
31035141;university;0.07500000000000001;0.5;0.07500000000000001;0.5;0.15000000000000002
31035142;bank;0.105;0.4833333333333333;0.105;0.43333333333333335;0.21
31035142;courthouse;0.19699999999999998;0.5333333333333333;0.19699999999999998;1.2166666666666668;0.39399999999999996
31035142;hospital;0.105;0.43333333333333335;0.105;0.43333333333333335;0.21
31035142;police;0.37200000000000005;1.9833333333333327;0.37200000000000005;1.5166666666666666;0.7440000000000001
31035142;school;0.024;0.05;0.024;0.05;0.048
31035142;university;0.108;0.43333333333333335;0.108;0.43333333333333335;0.21600000000000005
31035148;bank;0.028000000000000004;0.05;0.028000000000000004;0.05;0.056000000000000015
31035148;courthouse;0.281;1.6833333333333331;0.281;0.8166666666666667;0.5619999999999999
