source;target;tiempoponderado30kmh
4335599630;259996518;1.028
1674117145;4519916254;0.02
1674117147;4519916254;0.02
1674117149;4519916254;0.02
1951268989;4315098988;4.134
3501097102;842490892;0.018000000000000002
627835042;301457363;0.28600000000000003
627835043;301457363;0.29000000000000004
263389391;257946636;9.611999999999993
263389391;4334512405;9.183999999999994
263389391;885797822;5.129999999999998
263389391;257946702;9.469999999999994
263389391;108154712;11.535999999999996
263389391;888357854;9.437999999999994
263389391;108064627;0.45400000000000007
263389392;257946636;9.603999999999994
263389392;4334512405;9.175999999999995
263389392;885797822;5.121999999999998
263389392;257946702;9.461999999999994
263389392;108154712;11.527999999999997
263389392;888357854;9.429999999999994
263389392;108064627;0.44600000000000006
263389393;257946636;9.601999999999993
263389393;4334512405;9.173999999999994
263389393;885797822;5.119999999999998
263389393;257946702;9.459999999999994
263389393;108154712;11.525999999999996
263389393;888357854;9.427999999999994
263389393;108064627;0.44400000000000006
263389394;257946636;9.599999999999993
263389394;4334512405;9.171999999999993
263389394;885797822;5.1179999999999986
263389394;257946702;9.457999999999993
263389394;108154712;11.523999999999996
263389394;888357854;9.425999999999993
263389394;108064627;0.44200000000000006
263389397;257946636;9.869999999999992
263389397;4334512405;9.441999999999993
263389397;885797822;5.387999999999998
263389397;257946702;9.727999999999993
263389397;108154712;11.793999999999995
263389397;888357854;9.695999999999993
263389397;108064627;0.7120000000000001
263389398;257946636;9.875999999999992
263389398;4334512405;9.447999999999993
263389398;885797822;5.393999999999998
263389398;257946702;9.733999999999993
263389398;108154712;11.799999999999995
263389398;888357854;9.701999999999993
263389398;108064627;0.718
263389399;257946636;10.091999999999993
263389399;4334512405;9.663999999999994
263389399;885797822;5.609999999999998
263389399;257946702;9.949999999999994
263389399;108154712;12.015999999999996
263389399;888357854;9.917999999999994
263389399;108064627;0.9340000000000002
263389400;257946636;9.875999999999992
263389400;4334512405;9.447999999999993
263389400;885797822;5.393999999999998
263389400;257946702;9.733999999999993
263389400;108154712;11.799999999999995
263389400;888357854;9.701999999999993
263389400;108064627;0.718
263389401;257946636;10.145999999999992
263389401;4334512405;9.717999999999993
263389401;885797822;5.663999999999998
263389401;257946702;10.003999999999992
263389401;108154712;12.069999999999995
263389401;888357854;9.971999999999992
263389401;108064627;0.9880000000000002
3725525255;306533716;0.384
563839256;257946636;0.002
563839256;4334512405;0.42600000000000005
563839256;885797822;4.583999999999996
563839256;257946702;0.14
563839256;108154712;2.9940000000000007
563839256;888357854;0.17200000000000004
563839256;108064627;9.167999999999997
4343202119;259996518;0.044
4343202121;259996518;0.044
6047105415;842490892;0.03
631734720;306533716;0.41800000000000004
560562642;624658948;0.11
560562643;624658948;0.004
263389687;257946636;9.565999999999994
263389687;4334512405;9.137999999999995
263389687;885797822;5.083999999999998
263389687;257946702;9.423999999999994
263389687;108154712;11.489999999999997
263389687;888357854;9.391999999999994
