osmid,y,x,ref,highway,street_count,geometry
1903604989,-12.0829527,-76.9971226,,,3,POINT (-76.9971226 -12.0829527)
1903604991,-12.0832886,-76.99648,,,3,POINT (-76.99648000000001 -12.0832886)
1903604993,-12.0834829,-76.9938075,,,3,POINT (-76.9938075 -12.0834829)
1903604994,-12.0836535,-76.995068,,,3,POINT (-76.995068 -12.0836535)
1903604997,-12.0839572,-76.9937384,,,3,POINT (-76.9937384 -12.0839572)
1903604999,-12.084134,-76.9950012,,,4,POINT (-76.9950012 -12.084134)
1903605001,-12.0842486,-76.9958202,,,3,POINT (-76.9958202 -12.0842486)
1903605003,-12.0843278,-76.9963054,,,3,POINT (-76.9963054 -12.0843278)
1903605007,-12.0848356,-76.9962212,,,3,POINT (-76.99622119999999 -12.0848356)
1903617124,-12.0844243,-77.0027054,,,3,POINT (-77.0027054 -12.0844243)
1903617126,-12.0844801,-77.0031217,,,3,POINT (-77.00312169999999 -12.0844801)
1903617139,-12.0850212,-77.00223,,,3,POINT (-77.00223 -12.0850212)
1903617143,-12.0850748,-77.0026275,,,3,POINT (-77.0026275 -12.0850748)
1903617147,-12.0851298,-77.0030351,,,3,POINT (-77.00303510000001 -12.0851298)
2329670857,-12.1119763,-77.0062896,,,3,POINT (-77.0062896 -12.1119763)
2329670874,-12.1118309,-77.0063018,,,3,POINT (-77.0063018 -12.1118309)
2329670877,-12.109192,-77.0065068,,,4,POINT (-77.0065068 -12.109192)
2383679233,-12.0865083,-76.9958596,,,3,POINT (-76.9958596 -12.0865083)
2383679236,-12.0849423,-76.9969649,,,3,POINT (-76.99696489999999 -12.0849423)
2383679238,-12.0850746,-76.9969449,,,3,POINT (-76.9969449 -12.0850746)
2383679240,-12.0854916,-76.9959815,,,3,POINT (-76.9959815 -12.0854916)
2840596713,-12.0849263,-76.9832692,1A,motorway_junction,3,POINT (-76.9832692 -12.0849263)
2840658985,-12.0827633,-76.9976309,,,3,POINT (-76.9976309 -12.0827633)
2972496838,-12.1029222,-76.9831376,,,3,POINT (-76.98313760000001 -12.1029222)
2990124458,-12.0865309,-76.9967353,,,4,POINT (-76.9967353 -12.0865309)
2990124459,-12.0865164,-76.996616,,,4,POINT (-76.996616 -12.0865164)
2990124465,-12.0866727,-76.9927573,,,3,POINT (-76.99275729999999 -12.0866727)
2990124469,-12.0871794,-76.9955318,,,3,POINT (-76.99553179999999 -12.0871794)
2990150872,-12.0852697,-76.9865089,,,3,POINT (-76.9865089 -12.0852697)
2990150875,-12.0850109,-76.9851081,3,motorway_junction,3,POINT (-76.98510810000001 -12.0850109)
