index1;u;v;wazeinfo
204770;1379779988;1379779999;(1.3, 0.159)
204775;1379779999;1381254665;(0.13333333333333333, 0.056)
151997;915282622;915282167;(0.15, 0.139)
281494;5390483189;2146336262;(1.65, 0.081)
281507;5390542039;10038261440;(0.0, 0.0)
75792;5557850042;1754225230;(0.016666666666666666, 0.005)
107;495244959;1827698981;(0.0, 0.002)
151998;915282622;915282266;(0.0, 0.0)
204776;1379779999;1379779988;(0.016666666666666666, 0.004)
204779;1379780000;1379780057;(-1, -1)
204787;1379780013;1381254670;(0.21666666666666667, 0.05)
204788;1379780013;1381254667;(0.43333333333333335, 0.049)
346001;1817562487;1817562469;(0.0, 0.002)
281515;5390542067;1273844868;(0.25, 0.053)
281516;5390542067;5390542068;(0.0, 0.002)
75797;5557850044;5557850043;(0.15, 0.045)
346002;1817562487;5794547929;(1.3833333333333333, 0.22)
75798;5557850045;1754225268;(0.13333333333333333, 0.074)
346006;1817562497;1817562486;(0.0, 0.0)
75802;5557850046;1754225274;(0.4, 0.167)
204789;1379780013;1381254671;(1.85, 0.53)
113;495246174;495246258;(0.21666666666666667, 0.076)
114;495246174;495246915;(0.0, 0.001)
152002;915282629;915282173;(0.0, 0.001)
75818;5557850068;5557850063;(0.0, 0.0)
281529;5390568492;1757235593;(0.016666666666666666, 0.004)
152009;915282632;915282325;(0.0, 0.0)
281550;5390568505;4172421581;(0.23333333333333334, 0.052)
152016;915282636;915282291;(0.0, 0.0)
346008;1817562497;1817562467;(0.0, 0.0)
152017;915282636;915282561;(-1, -1)
281552;5390568505;5390568504;(0.2833333333333333, 0.053)
346009;1817562499;1817562469;(0.0, 0.0)
281554;5390568506;4322038589;(-1, -1)
152023;915282650;915282554;(0.16666666666666666, 0.053)
346011;1817562499;5794547931;(-1, -1)
281559;5390568507;1273624818;(-1, -1)
281561;5390568508;4172421524;(0.0, 0.0)
204797;1379780028;4365056230;(0.0, 0.0)
204810;1379780035;1379748996;(0.26666666666666666, 0.051)
204813;1379780041;1379780033;(-1, -1)
152024;915282652;915282458;(0.0, 0.001)
204814;1379780042;1379780034;(0.0, 0.0)
152025;915282652;4332964415;(0.11666666666666667, 0.065)
281562;5390568508;471062564;(0.0, 0.004)
75822;5557850071;5557850044;(0.0, 0.004)
152030;915282664;915282136;(0.3333333333333333, 0.165)
116;495246258;495249232;(0.18333333333333332, 0.049)
204817;1379780042;1379780071;(0.15, 0.041)
75824;5557850072;5557850045;(0.0, 0.003)
204821;1379780051;1379780062;(0.7333333333333333, 0.221)
75830;5557850092;5557850093;(-1, -1)
204823;1379780051;1381254646;(2.7666666666666666, 0.203)
75843;5557860723;8142330492;(0.0, 0.003)
75844;5557860723;9134648592;(0.016666666666666666, 0.007)
