osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
3401153585,-12.1036159,-77.0130693,,3,,POINT (-77.0130693 -12.1036159),1863374668,419482878,809.248,,,,,,,446742869,262728029,5292.844999999998,4154264090,108019293,1175.007,181366213,419482873,981.8299999999999,7561175257,4334601930,2297.301
3401153591,-12.095465,-77.0117261,,3,,POINT (-77.0117261 -12.095465),1863374668,419482878,1431.562,,,,,,,446742869,262728029,5989.7390000000005,437508566,4022477636,1303.6699999999998,439031082,1273679822,512.7810000000001,7561175257,4334601930,3078.0609999999992
3401153595,-12.0954649,-77.0121258,,3,,POINT (-77.01212580000001 -12.0954649),1863374668,419482878,1427.2229999999997,,,,,,,446742869,262728029,5985.400000000001,437508566,4022477636,1247.0690000000002,439031082,1273679822,508.44200000000006,7561175257,4334601930,3073.7219999999993
3401227674,-12.1029313,-77.0148363,,4,,POINT (-77.0148363 -12.1029313),1863374668,419482878,599.529,,,,,,,446742869,262728029,5083.125999999998,4154264090,108019293,965.2879999999999,181366213,419482873,772.111,7561175257,4334601930,2087.582
3401227675,-12.1032649,-77.0150406,,4,,POINT (-77.01504060000001 -12.1032649),1863374668,419482878,678.075,,,,,,,446742869,262728029,5161.671999999999,4154264090,108019293,1043.834,181366213,419482873,850.6569999999999,7561175257,4334601930,2166.128
3401227678,-12.1025,-77.0155586,,4,,POINT (-77.01555860000001 -12.1025),1863374668,419482878,507.51200000000006,,,,,,,446742869,262728029,4991.108999999999,4154264090,108019293,873.2709999999998,181366213,419482873,680.0939999999999,7561175257,4334601930,1995.5649999999998
3401227679,-12.1027518,-77.0156959,,4,,POINT (-77.0156959 -12.1027518),4332471863,263943302,874.5859999999999,,,,,,,446742869,262728029,5022.838999999998,4154264090,108019293,905.0009999999999,181366213,419482873,711.824,7561175257,4334601930,2027.2949999999998
3725508786,-12.0964295,-77.0357305,traffic_signals,5,,POINT (-77.0357305 -12.0964295),435352372,134252760,344.46799999999996,,,,,,,446742869,262728029,2797.496,435551147,262909609,622.5160000000001,401490482,262732035,410.945,435547883,262909609,622.5160000000001
3725508800,-12.0983427,-77.0127757,,3,,POINT (-77.01277570000001 -12.0983427),1863374668,419482878,994.2730000000001,,,,,,,446742869,262728029,5636.315999999999,437508566,4022477636,2001.3660000000002,181366213,419482873,1062.243,7561175257,4334601930,2640.772
3725508802,-12.0985674,-77.0128086,,3,,POINT (-77.0128086 -12.0985674),1863374668,419482878,969.0319999999999,,,,,,,446742869,262728029,5611.074999999999,437508566,4022477636,1976.1250000000002,181366213,419482873,1037.002,7561175257,4334601930,2615.531
