osmid,y,x,ref,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
412528259,-12.1022702,-77.0091658,,,3,POINT (-77.00916580000001 -12.1022702),1983115417,419483012,1031.3709999999999,,,,151303103,5599156588,3684.085,809963632,6128998296,2486.669,4510821067,419483012,1031.3709999999999,454531159,412528267,362.068,437375014,392152684,2761.542000000001
412528264,-12.1019555,-77.0081788,,,4,POINT (-77.0081788 -12.1019555),1983115417,419483012,1157.501,,,,151303103,5599156588,3562.767,809963632,6128998296,2366.503,4510821067,419483012,1157.501,454531159,412528267,275.849,437375014,392152684,2635.4120000000007
412528265,-12.1022387,-77.0068806,,,3,POINT (-77.0068806 -12.1022387),1983115417,419483012,1198.859,,,,151303103,5599156588,3457.0460000000003,809963632,6128998296,2260.7820000000006,4510821067,419483012,1198.859,454531159,412528267,131.234,438435174,4361787348,3028.924
412528266,-12.1034189,-77.0083236,,,3,POINT (-77.0083236 -12.1034189),1983115417,419483012,1235.964,,,,151303103,5599156588,3726.2560000000003,809963632,6128998296,2529.992,4510821067,419483012,1235.964,454531159,412528267,157.475,438435174,4361787348,3055.165
412528267,-12.1034189,-77.0068752,,,3,POINT (-77.0068752 -12.1034189),437376015,791160263,593.702,,,,151303103,5599156588,3588.2799999999997,809963632,6128998296,2392.0160000000005,4510821067,419483012,1330.0929999999998,454531159,412528267,0.0,438435174,4361787348,2897.69
412528269,-12.102862,-77.0068763,,,3,POINT (-77.0068763 -12.102862),437376015,791160263,655.6270000000001,,,,151303103,5599156588,3526.3549999999996,809963632,6128998296,2330.0910000000003,4510821067,419483012,1268.168,454531159,412528267,61.925000000000004,438435174,4361787348,2959.6150000000002
412528270,-12.1015936,-77.0068699,,,3,POINT (-77.0068699 -12.1015936),1983115417,419483012,1127.118,,,,151303103,5599156588,3385.3050000000003,809963632,6128998296,2189.0410000000006,4510821067,419483012,1127.118,454531159,412528267,202.97500000000002,437375014,392152684,2457.950000000001
412528271,-12.1027321,-77.0082623,,,3,POINT (-77.0082623 -12.1027321),1983115417,419483012,1244.331,,,,151303103,5599156588,3649.5969999999998,809963632,6128998296,2453.333,4510821067,419483012,1244.331,454531159,412528267,213.30700000000002,438435174,4361787348,3110.997
412528280,-12.1025744,-77.0044773,,,3,POINT (-77.0044773 -12.1025744),437376015,791160263,409.87699999999995,,,,151303103,5599156588,3337.285,809963632,6128998296,2292.4080000000004,161399768,417252109,955.5549999999998,5597279288,791159835,67.663,438435174,4361787348,2685.365
412528281,-12.1019975,-77.0044666,,,4,POINT (-77.0044666 -12.1019975),437376015,791160263,459.74800000000005,,,,151303103,5599156588,3273.126,809963632,6128998296,2228.2490000000003,161399768,417252109,1001.643,5597279288,791159835,131.822,438435174,4361787348,2722.1040000000003
