osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182472502,-12.0756833,-76.9636475,traffic_signals,4,,POINT (-76.96364749999999 -12.0756833),438656732,471054867,176.442,3949420739,1024451887,668.227,835415398,1574755800,2813.447,628139566,7664133100,1563.6119999999999,4818236224,1024445515,940.558,5597233172,1024451887,668.227,331618378,1024451918,482.78499999999997
315563622,-12.083407,-76.9708446,,3,,POINT (-76.97084460000001 -12.083407),4354333708,5745710578,,3949420739,1024451887,,835415398,1574755800,,628139566,7664133100,,4818236224,1024445515,,437504895,5481855555,,266359497,5481855555,
315563774,-12.0830157,-76.9703451,,3,,POINT (-76.9703451 -12.0830157),4354333708,5745710578,1258.264,3949420739,1024451887,1988.378,835415398,1574755800,5035.237000000001,628139566,7664133100,3835.9220000000005,4818236224,1024445515,1756.5500000000002,437504895,5481855555,339.31899999999996,266359497,5481855555,339.31899999999996
315563775,-12.0831956,-76.9704507,,3,,POINT (-76.9704507 -12.0831956),4354333708,5745710578,1235.0349999999999,3949420739,1024451887,1965.149,835415398,1574755800,5012.008000000001,628139566,7664133100,3812.693000000001,4818236224,1024445515,1733.3210000000001,437504895,5481855555,316.09000000000003,266359497,5481855555,316.09000000000003
315563783,-12.0829151,-76.9698392,,3,,POINT (-76.9698392 -12.0829151),4354333708,5745710578,509.71000000000004,3949420739,1024451887,1705.6319999999998,835415398,1574755800,4766.221000000002,628139566,7664133100,3553.1760000000004,4818236224,1024445515,1487.534,437504895,5481855555,398.959,266359497,5481855555,398.959
315563784,-12.0828859,-76.9699371,,3,,POINT (-76.9699371 -12.0828859),4354333708,5745710578,498.581,3949420739,1024451887,1694.5029999999997,835415398,1574755800,4755.092000000001,628139566,7664133100,3542.0470000000005,4818236224,1024445515,1476.405,437504895,5481855555,387.83,266359497,5481855555,387.83
392155859,-12.0775593,-76.9646246,traffic_signals,4,,POINT (-76.96462459999999 -12.0775593),5059428883,4354333739,63.195,3949420739,1024451887,902.5120000000001,835415398,1574755800,3047.731999999999,628139566,7664133100,1797.8970000000002,4818236224,1024445515,1174.8430000000003,5597233172,1024451887,902.5120000000001,331618378,1024451918,717.07
392156320,-12.0918733,-76.9544783,,4,,POINT (-76.95447830000001 -12.0918733),439038141,411673086,280.918,3949420739,1024451887,4066.5009999999993,835415398,1574755800,4569.133,617902202,6838497431,2116.683,319106551,5055109759,2930.0339999999997,5597128590,430552967,616.8710000000001,403117999,430022923,895.4530000000001
392156323,-12.0919887,-76.9544625,,3,,POINT (-76.95446250000001 -12.0919887),439038141,411673086,267.972,3949420739,1024451887,4053.5549999999985,835415398,1574755800,4556.186999999999,617902202,6838497431,2103.737,319106551,5055109759,2917.087999999999,5597128590,430552967,603.9250000000001,403117999,430022923,882.5070000000001
392156325,-12.0917688,-76.953133,,4,,POINT (-76.95313299999999 -12.0917688),439038141,411673086,121.164,3949420739,1024451887,3906.7469999999994,835415398,1574755800,4409.379,617902202,6838497431,1965.2790000000002,319106551,5055109759,2770.2799999999997,5597128590,430552967,465.46700000000004,403117999,430022923,766.429
393867432,-12.0833259,-76.9705958,,3,,POINT (-76.9705958 -12.0833259),4354333708,5745710578,1213.51,3949420739,1024451887,1943.624,835415398,1574755800,4990.483000000001,628139566,7664133100,3791.1680000000006,4818236224,1024445515,1711.796,437504895,5481855555,294.565,266359497,5481855555,294.565
393867573,-12.0801863,-76.9707345,,4,,POINT (-76.97073450000001 -12.0801863),4354333708,5745710578,675.4240000000001,3949420739,1024451887,1405.538,835415398,1574755800,4452.397000000001,628139566,7664133100,3253.0820000000003,4818236224,1024445515,1173.71,158611713,5712158363,945.9340000000001,266359497,5481855555,462.247
393867577,-12.0778903,-76.9710756,,3,,POINT (-76.97107560000001 -12.0778903),4354333725,5712158355,808.8879999999999,3949420739,1024451887,1145.857,835415398,1574755800,4192.716,628139566,7664133100,2993.4010000000007,4818236224,1024445515,914.029,158611713,5712158363,686.2529999999999,266359497,5481855555,720.614
393867584,-12.0744473,-76.9724805,,3,,POINT (-76.9724805 -12.0744473),5059428883,4354333739,1648.324,3949420739,1024451887,1567.178,835415398,1574755800,4075.946000000001,628139566,7664133100,3414.7220000000007,4818236224,1024445515,1318.7020000000002,449002448,5712092605,290.084,331618378,1024451918,1869.3490000000002
393867586,-12.0730912,-76.9736162,,4,,POINT (-76.9736162 -12.0730912),5059428883,4354333739,1843.24,3949420739,1024451887,1762.094,835415398,1574755800,3784.840000000001,628139566,7664133100,3496.691,4818236224,1024445515,1513.6180000000002,440545594,5927578240,222.317,440545637,2173164017,1412.3979999999997
393867967,-12.0729745,-76.9735666,,4,,POINT (-76.9735666 -12.0729745),5059428883,4354333739,1857.2930000000001,3949420739,1024451887,1776.1470000000002,835415398,1574755800,3770.7870000000003,628139566,7664133100,3510.7440000000006,4818236224,1024445515,1527.6710000000003,440545594,5927578240,236.37,440545637,2173164017,1426.4509999999998
393867968,-12.073562,-76.9730567,,4,,POINT (-76.9730567 -12.073562),5059428883,4354333739,1776.845,3949420739,1024451887,1695.699,835415398,1574755800,3767.471000000001,628139566,7664133100,3401.978,4818236224,1024445515,1447.2230000000002,449002448,5712092605,44.241,440545637,2173164017,1317.6849999999997
393867970,-12.0750029,-76.9718587,,4,,POINT (-76.9718587 -12.0750029),5059428883,4354333739,1578.5320000000002,3949420739,1024451887,1497.3860000000002,835415398,1574755800,3973.966000000001,628139566,7664133100,3344.9300000000003,4818236224,1024445515,1248.91,449002448,5712092605,188.10399999999998,331618378,1024451918,1799.557
393867973,-12.0757398,-76.9714076,,3,,POINT (-76.97140760000001 -12.0757398),4354333725,5712158355,1009.71,3949420739,1024451887,1085.9470000000001,835415398,1574755800,3953.552000000001,628139566,7664133100,2933.491,4818236224,1024445515,674.865,158611713,5712158363,429.388,331618378,1024451918,1225.5120000000002
393867976,-12.0778665,-76.9709412,,4,,POINT (-76.9709412 -12.0778665),4354333725,5712158355,794.037,3949420739,1024451887,1131.006,835415398,1574755800,4177.865000000001,628139566,7664133100,2978.55,4818236224,1024445515,899.1779999999999,158611713,5712158363,671.402,266359497,5481855555,735.4649999999999
393867980,-12.0801802,-76.9706032,,3,,POINT (-76.9706032 -12.0801802),4354333708,5745710578,689.7170000000001,3949420739,1024451887,1391.2450000000001,835415398,1574755800,4438.104000000001,628139566,7664133100,3238.7890000000007,4818236224,1024445515,1159.417,158611713,5712158363,931.641,266359497,5481855555,476.54
393867981,-12.0808283,-76.9705814,,3,,POINT (-76.9705814 -12.0808283),4354333708,5745710578,722.1700000000001,3949420739,1024451887,1463.3500000000001,835415398,1574755800,4510.209000000001,628139566,7664133100,3310.8940000000002,4818236224,1024445515,1231.522,437504895,5481855555,548.645,266359497,5481855555,548.645
393867984,-12.0818593,-76.970417,,3,,POINT (-76.970417 -12.0818593),4354333708,5745710578,369.86199999999997,3949420739,1024451887,1565.7839999999997,835415398,1574755800,4626.3730000000005,628139566,7664133100,3413.3280000000004,4818236224,1024445515,1347.686,437504895,5481855555,664.809,266359497,5481855555,664.809
411672096,-12.0757402,-76.9580762,,4,,POINT (-76.95807619999999 -12.0757402),437646439,7566579308,1746.177,3949420739,1024451887,1344.1870000000001,835415398,1574755800,3489.4069999999992,628139566,7664133100,2239.572,319106551,5055109759,1942.4850000000001,160555361,1024472537,1041.919,2169475486,5055109759,1942.4850000000001
411672103,-12.0742299,-76.9564833,,3,,POINT (-76.9564833 -12.0742299),437646439,7566579308,373.641,3949420739,1024451887,1598.767,835415398,1574755800,2417.101,628139566,7664133100,653.492,319106551,5055109759,734.406,5597201319,1574755842,777.771,2169475486,5055109759,734.406
411672111,-12.0736084,-76.9554423,,3,,POINT (-76.9554423 -12.0736084),437646439,7566579308,51.493,3949420739,1024451887,1548.725,835415398,1574755800,2094.953,628139566,7664133100,544.888,319106551,5055109759,412.258,5597201319,1574755842,455.623,2169475486,5055109759,412.258
411672114,-12.0739575,-76.9552381,,3,,POINT (-76.9552381 -12.0739575),437646439,7566579308,100.126,3949420739,1024451887,1597.3579999999997,835415398,1574755800,2143.5860000000002,628139566,7664133100,593.521,319106551,5055109759,460.891,5597201319,1574755842,504.256,2169475486,5055109759,460.891
411672131,-12.0735029,-76.9505143,,3,,POINT (-76.95051429999999 -12.0735029),437646439,7566579308,603.8560000000001,3949420739,1024451887,2095.834,835415398,1574755800,1669.0259999999996,628139566,7664133100,1097.2510000000002,319106551,5055109759,551.319,160698066,5926760249,1094.5040000000001,357299856,5926760253,147.57399999999998
411672133,-12.0732011,-76.9487703,traffic_signals,3,,POINT (-76.94877030000001 -12.0732011),437646439,7566579308,824.3890000000001,3949420739,1024451887,2316.367,835415398,1574755800,1476.4439999999997,628139566,7664133100,1005.803,319106551,5055109759,771.852,160698066,5926760249,1315.0370000000003,160698070,411672134,14.939
