osmid,street_count,highway,ref,geometry,NN,NN_dist
1273456320,3,,,POINT (-76.9602819 -12.1691692),1727287671,0.001097769748175636
1273456828,3,,,POINT (-76.95902599999999 -12.1474557),1273970962,0.006140010649012896
1273456868,4,,,POINT (-76.9754882 -12.1867135),1273470478,0.0016021596580847843
1273456942,3,,,POINT (-76.9616109 -12.1401573),1752642295,0.0008349484415237386
1273457350,3,,,POINT (-76.9703248 -12.1588997),2762154065,0.0029376121357367934
1273458143,1,,,POINT (-76.9589763 -12.171197),1273643163,0.0009129775955647803
1273459794,3,,,POINT (-76.96876109999999 -12.1367762),1273684563,0.0016197490330278513
1273460638,4,,,POINT (-76.96232000000001 -12.1348954),1273460638,0.0
1273460747,3,,,POINT (-76.961935 -12.1710829),1727287681,0.00039796202079852737
1273462340,4,,,POINT (-76.9601871 -12.1311696),1273871104,0.0011338321083832269
1273463179,3,,,POINT (-76.9592948 -12.1316734),1273697554,0.00040854916472125673
1273464238,4,,,POINT (-76.9768122 -12.1854557),1273464238,0.0
1273464406,3,,,POINT (-76.9567247 -12.1415172),1573127449,0.005512874288426228
1273465123,3,,,POINT (-76.9778388 -12.1837383),1273464238,0.0020008424025913657
1273465324,4,,,POINT (-76.962621 -12.1428336),5718753359,0.001556633784806964
1273465787,3,,,POINT (-76.9585064 -12.1710126),1273933755,0.0004954236167206901
1273465882,3,,,POINT (-76.9607168 -12.1634002),3664624076,0.0005845540180314103
1273465940,3,,,POINT (-76.9699854 -12.1409193),1412831945,0.0005278923564485985
1273465955,4,,,POINT (-76.9596255 -12.1446743),5718753359,0.005067002466941405
1273466775,4,,,POINT (-76.9618869 -12.1454632),1752613906,0.0033308661246001614
1273466799,3,,,POINT (-76.97105999999999 -12.1467012),1273466799,0.0
1273467446,3,,,POINT (-76.9652384 -12.1785415),3758460225,0.0008290848991434145
1273467772,3,,,POINT (-76.9652646 -12.1506272),1273863533,0.0012281268216312166
1273467993,3,,,POINT (-76.967736 -12.1339525),1273467993,0.0
1273468315,3,,,POINT (-76.9628392 -12.1823766),1723437044,0.001396462548727526
1273470478,3,,,POINT (-76.97591559999999 -12.1851694),1273470478,0.0
1273470990,3,,,POINT (-76.9752369 -12.1622973),1273876064,0.001895314076875636
1273471547,3,,,POINT (-76.9792729 -12.1862188),1805764030,0.0012286394141486324
1273472361,3,,,POINT (-76.95264950000001 -12.1326845),1752671997,0.0011366513625577586
1273473934,1,,,POINT (-76.98427650000001 -12.1677163),4198077991,0.0011609046903172545
1273473981,3,,,POINT (-76.9587913 -12.1582045),1712297563,0.000704395457110927
1273474461,3,,,POINT (-76.9552496 -12.1771245),1727291758,0.0027024027383018936
1273476225,3,,,POINT (-76.97720390000001 -12.1823664),1753932078,0.001995084444326497
1273477490,3,,,POINT (-76.9676867 -12.1333322),5720920290,0.0004842991017948882
1273478700,3,,,POINT (-76.9530334 -12.1337486),5437684542,0.0020316314257372713
1273479579,3,,,POINT (-76.95611580000001 -12.1730581),1273564195,0.0008909678557524181
1273479998,3,,,POINT (-76.97046570000001 -12.1446831),1412832083,0.0006455318582385213
1273481865,3,,,POINT (-76.9650966 -12.1327728),4282130626,0.0010326254403135145
1273482916,3,,,POINT (-76.9752232 -12.1844531),1273482916,0.0
1273484919,3,,,POINT (-76.9675369 -12.1544716),6986230245,0.0013392620094651506
1273485129,4,,,POINT (-76.9573663 -12.1803368),1753062894,0.0004781596804437685
1273486328,4,,,POINT (-76.9561381 -12.1365024),1752642162,0.0011069252639689467
1273487019,3,,,POINT (-76.9702327 -12.1533631),8742738140,0.0012820319223786068
1273487554,4,,,POINT (-76.98156640000001 -12.1800337),1273487554,0.0
1273487811,3,,,POINT (-76.9621515 -12.1498612),1273863533,0.004432882407641633
1273487950,3,,,POINT (-76.95939370000001 -12.1335189),4203543822,0.0006497020009202836
1273488366,4,,,POINT (-76.96397109999999 -12.187325),1273488366,0.0
1273488560,3,,,POINT (-76.9664124 -12.1393294),1273626773,0.0004836176692473714
1273488773,3,,,POINT (-76.9754042 -12.1930687),1809564483,0.0025268078142156396
1273489373,3,,,POINT (-76.95755029999999 -12.1714711),5720995828,3.534586255108826e-05
1273489412,4,,,POINT (-76.9678546 -12.1714932),1273489412,0.0
1273490343,3,,,POINT (-76.9638676 -12.1600355),6986230249,0.0026337692324866495
