osmid,highway,street_count,ref,geometry,NN,NN_dist
316757605,,3,,POINT (-77.0068029 -12.1503562),316757731,9.704519565590173e-05
316757731,,4,,POINT (-77.0067493 -12.1502753),316757731,0.0
316757738,,4,,POINT (-77.00452629999999 -12.1459685),316757738,0.0
369140126,,3,,POINT (-76.98227660000001 -12.1260411),671080685,0.001260240294550338
369140127,,4,,POINT (-76.981829 -12.1255865),671080685,0.0015481299816225713
369140128,,4,,POINT (-76.9794715 -12.1230782),4721301760,0.0024982394961306996
369140130,,3,,POINT (-76.9794151 -12.1210973),4721301760,0.003642758126749366
369140131,,4,,POINT (-76.97943480000001 -12.1204936),3953009246,0.0032642686776720568
369140132,,4,,POINT (-76.97949 -12.11916),3953009246,0.0024593222643642006
369140133,,3,,POINT (-76.97949 -12.11888),3953009246,0.0023415810897760548
369140135,,4,,POINT (-76.9800537 -12.117206),3953009246,0.00285367790228655
369140136,,4,,POINT (-76.98075249999999 -12.1165723),3953009357,0.003299793317770594
369140137,,3,,POINT (-76.9812206 -12.1162048),3953009357,0.0036729144231862475
369140138,,3,,POINT (-76.98185359999999 -12.115822),3953009357,0.004262685022377516
369140593,,3,,POINT (-76.9886171 -12.1184442),392151295,0.002238422294830333
369140595,,4,,POINT (-76.9867271 -12.1209994),386854209,0.0006840548516014245
369140597,,4,,POINT (-76.98547480000001 -12.1222134),386852147,0.0007792395331339935
369140599,,4,,POINT (-76.98397490000001 -12.1235971),386855611,0.0007415153808251174
369140603,,3,,POINT (-76.9814823 -12.1259115),671080685,0.0012187166405679519
371265036,,4,,POINT (-77.012421 -12.1404094),391020638,0.0009340088061686763
371265037,,3,,POINT (-77.01217440000001 -12.1401835),391020638,0.001030111770632632
371265078,,3,,POINT (-77.0108819 -12.1374739),391020638,0.003238827270790992
371265083,,3,,POINT (-77.01021110000001 -12.1361697),1599026335,0.00399420393070599
386136082,traffic_signals,4,,POINT (-77.0094879 -12.1304182),263617514,0.002722258542089866
386136086,,3,,POINT (-77.00928759999999 -12.1320884),263617514,0.0043442870093940876
