osmid,street_count,ref,highway,geometry,NN,NN_dist
1273622819,3,,,POINT (-76.9856825 -12.0457919),1746828647,0.002193242658708768
1273628297,3,,,POINT (-76.99488839999999 -12.0353425),4557933183,0.0029099938488019723
1273632566,3,,,POINT (-76.98993969999999 -12.0399628),2174808927,0.00018810688450578405
1273632957,3,,,POINT (-76.9960957 -12.0357712),4557933183,0.0016503217443955298
1273641662,3,,,POINT (-76.9984151 -12.0415362),9501896715,0.0014268757829592968
1273643773,3,,,POINT (-76.9993473 -12.0284003),1273523149,0.00041000128049082225
1273651895,3,,,POINT (-76.98779930000001 -12.0433032),1273954245,0.0012801025349583924
1273652534,4,,,POINT (-76.9947705 -12.0400257),1273747193,0.00018101607663482443
1273656863,3,,,POINT (-76.988208 -12.0363336),273413363,0.001627234224075434
1273662049,3,,,POINT (-76.9944371 -12.0399699),1273747193,0.00037249142272304756
1273663074,3,,,POINT (-76.99412700000001 -12.0340049),5393490704,0.002387445239169981
1273677359,3,,,POINT (-76.9997735 -12.0290462),1368903697,0.00034626816197823985
1273677800,3,,,POINT (-76.9948617 -12.0284786),5393490697,0.0014747732368075096
1273678269,4,,,POINT (-76.9895197 -12.043545),1273506158,0.0027894790355902054
1273681956,3,,,POINT (-76.9863732 -12.0458663),1746828628,0.0026745242717161745
1273685532,4,,,POINT (-77.00070100000001 -12.055183),1368673316,0.003482466439166699
1273688155,3,,,POINT (-76.9965892 -12.0381457),1367680079,0.0008135209708418209
1273689132,3,,,POINT (-76.9949433 -12.031283),5393490697,0.001386726050812755
1273691531,4,,,POINT (-76.99854550000001 -12.0288089),5650038993,0.00018896393836269088
1273695049,3,,,POINT (-76.9905531 -12.03602),273413363,0.0017911019764361431
1273699588,1,,,POINT (-76.9967647 -12.052859),1368766762,0.005792213777990593
1273708115,3,,,POINT (-76.98627209999999 -12.0346066),273413363,0.002851598360577118
1273709195,3,,,POINT (-76.9910435 -12.0331295),1273709195,0.0
1273714525,3,,,POINT (-76.9998439 -12.0605809),6290791555,0.0029026057689600267
1273716226,3,,,POINT (-76.9936077 -12.0392263),1273969287,0.0013494989366450202
1273716518,3,,,POINT (-76.99430099999999 -12.0376765),1273747193,0.0025612461517802443
1273719622,3,,,POINT (-76.99533289999999 -12.0353071),4557933183,0.0025427746439767754
1273730901,3,,,POINT (-76.99364660000001 -12.0289729),5393490697,0.0018052544751376023
1273731020,3,,,POINT (-76.9906486 -12.0400113),2887270171,0.0003664167026724436
1273732504,3,,,POINT (-76.9939273 -12.0277124),821565173,0.0011116761578792121
1273736096,4,,,POINT (-76.98988730000001 -12.0390246),1273736096,0.0
1273736435,1,,,POINT (-76.9970951 -12.0528907),1368766762,0.005549245600979602
1273736747,3,,,POINT (-76.99147619999999 -12.0356367),273413363,0.0024671333993039894
1273737068,4,,,POINT (-76.9935165 -12.030405),3063638280,0.0006121106435951687
1273740695,3,,,POINT (-76.99890259999999 -12.0288699),5650038993,0.00047821863200265055
1273742144,3,,,POINT (-76.9914734 -12.0391705),2887270171,0.0008150296681764371
1273742470,3,,,POINT (-76.9941082 -12.0386764),1273747193,0.0016467365666687048
1273743629,4,,,POINT (-76.9899078 -12.0403204),2174808927,0.0004935903666004281
1273745316,3,,,POINT (-76.9942609 -12.0337894),5393490704,0.0024525941062499466
1273747193,3,,,POINT (-76.9947286 -12.0402018),1273747193,0.0
1273747948,3,,,POINT (-76.98700599999999 -12.0454941),1273954245,0.002700182253107291
1273747980,4,,,POINT (-76.98727770000001 -12.0439274),1273954245,0.001289361896444544
1273748816,3,,,POINT (-76.987888 -12.0365893),273413363,0.002020540019401646
1273753475,3,,,POINT (-76.9882224 -12.0458331),1273954245,0.0034136959911476635
1273753481,1,,,POINT (-76.9944297 -12.0322661),3063638280,0.0021493173358082466
1273755614,3,,,POINT (-76.9968667 -12.0391587),1486993231,0.000568348414262348
1273762331,3,,,POINT (-76.9902038 -12.0367742),273413363,0.002112712933647248
1273764935,3,,,POINT (-76.9845772 -12.039496),1746828453,0.0008767458069515561
1273768125,3,,,POINT (-76.99351919999999 -12.0284734),821565173,0.0018829553499756372
1273768830,3,,,POINT (-77.0008504 -12.0522031),1368766917,0.0020914757110727217
1273771302,3,,,POINT (-76.99563999999999 -12.0369146),4557933183,0.0018457750919450666
1273782232,4,,,POINT (-76.99097500000001 -12.03914),2887270171,0.0006428088751731377
1273804149,3,,,POINT (-76.98524279999999 -12.0446336),1746828628,0.0010041002190957612
1273804650,4,,,POINT (-76.99484529999999 -12.0383604),1273747193,0.001845094265884051
1273821242,3,,,POINT (-76.9947897 -12.032371),3063638280,0.0024780464079613325
1273829924,3,,,POINT (-76.9957982 -12.0365465),4557933183,0.0016785674130151442
1273830210,4,,,POINT (-76.99248129999999 -12.0392321),1273969287,0.0006568288209272607
1273835744,1,,,POINT (-76.9866518 -12.0442183),1273954245,0.0013961448205688242
1273844969,3,,,POINT (-76.9961129 -12.0383729),1367680079,0.0013393473335944553
1273847387,3,,,POINT (-76.9952858 -12.0291988),5393490697,0.000725734338446206
1273847967,3,,,POINT (-76.98302700000001 -12.0401003),1746828482,0.0005553447217753713
