osmid,highway,street_count,ref,geometry,NN,NN_dist
5742359144,,3,,POINT (-77.10647659999999 -11.9811194),1385873574,0.0009206266126962834
5742359146,,3,,POINT (-77.11046349999999 -11.9805182),1385873650,0.0010123229721771727
5742359147,,1,,POINT (-77.11069000000001 -11.9809339),1385873650,0.0011306472571147772
5742359149,,4,,POINT (-77.10868910000001 -11.9794818),5742359149,0.0
5742359150,,3,,POINT (-77.10745300000001 -11.9771132),5742359153,0.0006186081473817879
5742359152,,3,,POINT (-77.1065586 -11.9778147),5742359153,0.00051976618781891
5742359153,,3,,POINT (-77.1069478 -11.9774702),5742359153,0.0
5742359154,,3,,POINT (-77.1044663 -11.9784145),1385873625,0.002307230012375702
5744321274,,3,,POINT (-77.11257999999999 -11.9636892),5744664750,0.004036559153530614
5744321275,,1,,POINT (-77.1115637 -11.962789),5744664750,0.0026789334239612893
5744664732,,1,,POINT (-77.1111799 -11.9598313),5744664749,0.0012338855781585413
5744664746,,3,,POINT (-77.1112431 -11.9593311),5744664749,0.0015843945278831344
5744664747,,4,,POINT (-77.11088890000001 -11.9596853),5744664749,0.001083634449436807
5744664749,,4,,POINT (-77.1101 -11.9604282),5744664749,0.0
5744664750,,4,,POINT (-77.1095442 -11.9610288),5744664750,0.0
5744664751,,4,,POINT (-77.1092493 -11.9613657),5744664751,0.0
5744664752,,4,,POINT (-77.1090023 -11.9616742),5115832445,8.848824780240422e-05
5744664753,,4,,POINT (-77.1086801 -11.9620202),3209402664,9.003477106223655e-05
5744664754,,4,,POINT (-77.10837290000001 -11.9623756),5115832446,9.614426660136627e-05
5746004212,,3,,POINT (-77.1026748 -11.9842807),1385873801,0.001999000562782569
5746004213,,3,,POINT (-77.1024044 -11.9846661),1385873801,0.002145517785988725
5746004214,,3,,POINT (-77.101726 -11.983652),1385873801,0.000929446813969346
5746004215,,3,,POINT (-77.10145009999999 -11.9840228),1385873801,0.0012094413793140102
5746004220,,3,,POINT (-77.1032362 -11.9861909),4363580978,0.0031893410604692195
5746004322,,3,,POINT (-77.104353 -11.9859612),4080300408,0.003269561940074475
5746004326,,3,,POINT (-77.1040409 -11.9856844),4080311057,0.003576608896705659
5746015696,,3,,POINT (-77.10488239999999 -11.9876837),4080300408,0.001484147246737604
5746015697,,3,,POINT (-77.1048806 -11.9877234),4080300408,0.0014448139672621663
5746015698,,3,,POINT (-77.10456499999999 -11.9873348),4080300408,0.0018831947536039491
5746015699,,3,,POINT (-77.1045471 -11.98738),4080300408,0.0018439518133586477
5746015704,,3,,POINT (-77.10573359999999 -11.9863394),4080347307,0.0026743829381739954
5746015716,,3,,POINT (-77.1090992 -11.9863228),1385874429,0.0027093993817816323
5746015717,,3,,POINT (-77.1091698 -11.9863134),1385873901,0.002713840161098794
5746044079,,3,,POINT (-77.1019127 -11.9804276),1385873652,0.0006305689890870286
5746044080,,3,,POINT (-77.1019391 -11.9809024),1385873652,0.0004319375533595784
5752704523,,3,,POINT (-77.1019312 -11.9766794),1385631098,0.003662684448599908
5752704524,,3,,POINT (-77.1018395 -11.9767687),1385631098,0.0037752968002538545
5752704572,,3,,POINT (-77.10319509999999 -11.9733914),1385631098,0.00029385438570412215
5752704573,,3,,POINT (-77.10361810000001 -11.9730641),1385631098,0.0006316122623933445
5752704584,,4,,POINT (-77.1113446 -11.9655286),2469883089,0.0019893806196818334
5752704585,,4,,POINT (-77.1104381 -11.9664431),2469883089,0.0008355263311147237
5752704586,,4,,POINT (-77.1101237 -11.9667379),2469883089,0.000574981817102387
5752704588,,4,,POINT (-77.1087897 -11.9680793),2469883105,9.85000000017705e-05
5752704594,,4,,POINT (-77.10677130000001 -11.9694111),1385727674,0.0004014707585884215
5752704595,,4,,POINT (-77.10637920000001 -11.9693196),1385727674,7.156821920416769e-05
5752704597,,4,,POINT (-77.1060109 -11.9689703),5752704597,0.0
