osmid,street_count,highway,ref,geometry,NN,NN_dist
135462070,3,,,POINT (-77.06913110000001 -12.0489888),135459160,0.0018752528682925856
135462071,4,,,POINT (-77.07206600000001 -12.0492938),135459154,8.750085713892826e-05
135462073,4,,,POINT (-77.072216 -12.0493093),135462073,0.0
171759252,3,,,POINT (-77.02933059999999 -12.0768452),171759252,0.0
171761478,3,,,POINT (-77.02840399999999 -12.0787129),263116931,0.0003122018898183273
257946480,4,traffic_signals,,POINT (-77.0340522 -12.07951),257946480,0.0
257946483,4,traffic_signals,,POINT (-77.0343587 -12.0775478),257946483,0.0
257946494,4,,,POINT (-77.03482769999999 -12.0743781),257946494,0.0
257946498,3,,,POINT (-77.0332727 -12.0741491),257946503,0.0007830428404566262
257946503,6,,,POINT (-77.032498 -12.0740351),257946503,0.0
257946515,5,traffic_signals,,POINT (-77.030704 -12.0737709),257946515,0.0
257946570,3,,,POINT (-77.03172859999999 -12.0565252),563843251,0.0014728617076965587
257946574,3,,,POINT (-77.031442 -12.0560035),1830390034,0.0014904114062887462
257946582,4,,,POINT (-77.0320723 -12.055582),1830374075,0.0020656250506723996
257946590,3,,,POINT (-77.03192749999999 -12.0553476),1830374075,0.0018240095531452405
257946599,4,traffic_signals,,POINT (-77.0350287 -12.0556189),257946633,0.003239282761661627
257946605,4,traffic_signals,,POINT (-77.0357461 -12.0556606),257946633,0.003482800221083448
257946623,4,traffic_signals,,POINT (-77.03532509999999 -12.0541876),257946633,0.00196676296995454
257946631,3,,,POINT (-77.034727 -12.0528867),257946633,0.0005391445817216643
257946633,3,,,POINT (-77.0344328 -12.0524349),257946633,0.0
257946636,3,,,POINT (-77.0337833 -12.051519),257946636,0.0
257946647,4,traffic_signals,,POINT (-77.03307820000001 -12.0505121),257946636,0.0012292329396769535
257946648,4,traffic_signals,,POINT (-77.0319981 -12.051183),257946636,0.0018165448081460202
257946651,4,,,POINT (-77.0313421 -12.0500823),257946636,0.0028325896861295407
257946653,4,traffic_signals,,POINT (-77.0307567 -12.0492228),316632494,0.0030288509537446406
257946702,3,,,POINT (-77.03540529999999 -12.0518081),257946702,0.0
262577184,3,,,POINT (-77.0267214 -12.0476752),6129487414,0.0001525407814354582
262577231,1,traffic_signals,,POINT (-77.02874300000001 -12.0464041),6129487414,0.0025403173069603597
262577234,1,,,POINT (-77.03268439999999 -12.0439409),331610240,0.0023268569745471496
262577271,4,traffic_signals,,POINT (-77.02727040000001 -12.0487186),316632202,0.00016398246858424884
262577331,3,traffic_signals,,POINT (-77.028413 -12.0479848),316632202,0.0015216403418723394
262577332,3,,,POINT (-77.0294121 -12.0473427),316632202,0.0027092658876586655
262577334,3,traffic_signals,,POINT (-77.0323594 -12.045502),331610240,0.0035030437122634994
262577335,4,traffic_signals,,POINT (-77.03337380000001 -12.0448801),331610240,0.003487060747973127
262577337,4,,,POINT (-77.0354873 -12.043549),537845449,0.002670428716515856
262577376,3,traffic_signals,,POINT (-77.0278026 -12.0497307),316632492,0.00015172026892304157
262577464,3,,,POINT (-77.0361472 -12.0445168),537845449,0.0016780131703860019
262577468,4,traffic_signals,,POINT (-77.02974829999999 -12.0498509),316632494,0.0018412526198196323
262577469,3,traffic_signals,,POINT (-77.03175400000001 -12.0486201),257946636,0.0035385985502677845
262577471,4,traffic_signals,,POINT (-77.0337098 -12.0473955),4037228453,0.003631581104699749
262577472,4,traffic_signals,,POINT (-77.034752 -12.0467463),537845449,0.0035267508573775296
262577473,3,traffic_signals,,POINT (-77.0357643 -12.0461128),537845449,0.0023328461693838645
262577474,4,,,POINT (-77.0368081 -12.0454865),537845449,0.0011156440740648886
262577480,4,,,POINT (-77.0303866 -12.0507416),885797778,0.001984342037047432
262577481,4,traffic_signals,,POINT (-77.0323453 -12.0494648),257946636,0.0025075050628024496
262577558,3,,,POINT (-77.037603 -12.0529406),888212348,0.002108132408074327
262577563,4,,,POINT (-77.03538349999999 -12.0475809),888357888,0.0030459112281927075
262577565,4,,,POINT (-77.0364029 -12.0469517),888357917,0.0023420536800000356
262577618,4,,,POINT (-77.03558580000001 -12.0434881),537845449,0.002619562415741366
262577619,4,,,POINT (-77.0362508 -12.0444552),537845449,0.0015949505446820101
262577620,4,,,POINT (-77.0369244 -12.045416),537845449,0.000979678008323069
262577621,4,,,POINT (-77.0382381 -12.047305),888357869,0.0010028685457247103
262577622,4,,,POINT (-77.03911290000001 -12.0486731),4334512405,0.00011022631264817636
262577623,5,,,POINT (-77.0390814 -12.048819),262577623,0.0
263116931,3,,,POINT (-77.0287131 -12.0787568),263116931,0.0
263116954,4,,,POINT (-77.02873339999999 -12.0780477),263116954,0.0
263117153,3,,,POINT (-77.0288518 -12.0787815),263117153,0.0
263117156,3,,,POINT (-77.02901629999999 -12.0777672),263117156,0.0
263117160,3,,,POINT (-77.02990699999999 -12.0778177),263117160,0.0
263118994,4,,,POINT (-77.0332437 -12.0794),263118994,0.0
263119251,3,,,POINT (-77.0321263 -12.0792264),263360960,0.0010013401470087436
263119573,4,,,POINT (-77.03101770000001 -12.0790775),263119573,0.0
263119926,4,,,POINT (-77.02992519999999 -12.0789317),263119926,0.0
263119927,4,traffic_signals,,POINT (-77.03006360000001 -12.0779524),263119927,0.0
263119928,4,traffic_signals,,POINT (-77.0300802 -12.0778303),263119928,0.0
263119929,4,traffic_signals,,POINT (-77.0302004 -12.0769695),263119929,0.0
263119930,4,,,POINT (-77.0303284 -12.076204),263119930,0.0
263119931,4,,,POINT (-77.0303735 -12.0758942),263119931,0.0
263119932,4,traffic_signals,,POINT (-77.0305382 -12.0748023),472198537,0.000556977566871553
263120129,3,,,POINT (-77.0314719 -12.0738839),257946515,0.0007761697043814208
263360960,4,,,POINT (-77.0311335 -12.0790959),263360960,0.0
263360961,3,,,POINT (-77.0307451 -12.0786882),263119573,0.00047525282745231815
263360982,4,,,POINT (-77.0342103 -12.0784309),263360982,0.0
263360983,4,,,POINT (-77.0334122 -12.0783076),263360982,0.0008075682633658125
263360984,4,,,POINT (-77.032687 -12.0782026),263361036,0.0008701706729141743
263360985,4,,,POINT (-77.0318865 -12.0780895),263361035,0.0008680144814468593
263360986,4,,,POINT (-77.0308601 -12.0779464),3743408640,0.0006650973237075164
263361034,4,traffic_signals,,POINT (-77.03098180000001 -12.0770859),263361034,0.0
263361035,4,traffic_signals,,POINT (-77.032016 -12.0772312),263361035,0.0
263361036,4,,,POINT (-77.032813 -12.0773416),263361036,0.0
263361037,4,,,POINT (-77.0335456 -12.0774425),263361037,0.0
263361038,4,traffic_signals,,POINT (-77.0354083 -12.0777085),263361038,0.0
263361061,3,,,POINT (-77.0291086 -12.0770744),263361061,0.0
263404835,4,traffic_signals,,POINT (-77.0345056 -12.0764903),263404835,0.0
263404836,4,,,POINT (-77.03370959999999 -12.0763787),263404835,0.0008037851454295367
263404837,4,,,POINT (-77.03296570000001 -12.0762744),263361036,0.001078069167539568
263404838,4,,,POINT (-77.032177 -12.0761638),263404839,0.0010288720134258677
263404839,4,traffic_signals,,POINT (-77.0311581 -12.0760209),263404839,0.0
263405153,4,traffic_signals,,POINT (-77.0346796 -12.0754069),263405153,0.0
263405154,4,,,POINT (-77.0338775 -12.0752898),263405153,0.0008106027510453769
263405155,4,,,POINT (-77.0331182 -12.075179),257946503,0.001301212991789466
263405156,4,,,POINT (-77.03234260000001 -12.0750657),263405157,0.0007673415993020218
263405157,4,,,POINT (-77.03158329999999 -12.0749549),263405157,0.0
263405158,4,,,POINT (-77.03132859999999 -12.0749177),263405157,0.00025740227271645174
263405660,4,,,POINT (-77.0348386 -12.0743008),263405660,0.0
263405662,3,,,POINT (-77.0352572 -12.0713585),263405664,0.0016369437650698869
263405664,4,,,POINT (-77.03542520000001 -12.0697302),263405664,0.0
263405667,4,,,POINT (-77.0359741 -12.0668397),263405667,0.0
263405669,4,,,POINT (-77.0361441 -12.065579),263405669,0.0
263405670,4,,,POINT (-77.0361719 -12.0654257),263405670,0.0
263406380,4,,,POINT (-77.0360457 -12.0745575),263406380,0.0
263406382,3,,,POINT (-77.03403609999999 -12.0742616),257946494,0.0008001267462091861
263406764,3,,,POINT (-77.0340422 -12.0741856),263405660,0.000804688759706429
263406765,3,,,POINT (-77.0332856 -12.0740761),257946503,0.0007886664440640379
263406766,4,,,POINT (-77.0325802 -12.0739736),257946503,0.00010266007012936657
263406767,3,,,POINT (-77.0314849 -12.0738156),263406768,0.0007756211575244322
263406768,3,,,POINT (-77.0307182 -12.0736983),263406768,0.0
263409600,3,,,POINT (-77.0345761 -12.0696242),263405664,0.0008556908378720199
263409604,3,crossing,,POINT (-77.0341627 -12.0691551),263405664,0.00138731620765632
263409606,3,,,POINT (-77.032263 -12.0688927),263409606,0.0
263410080,4,,,POINT (-77.0347158 -12.067995),4077482381,0.0010499197778872913
263410644,3,,,POINT (-77.0341987 -12.0731527),791160047,0.0008012405194471167
263410645,3,,,POINT (-77.03355449999999 -12.0730712),257946503,0.0014301382660356992
263410646,4,,,POINT (-77.0326711 -12.0729347),257946503,0.0011139316720517377
263410647,4,,,POINT (-77.03164080000001 -12.0727884),3679038912,0.0006945434255792944
263410878,4,,,POINT (-77.03128959999999 -12.0752485),263410878,0.0
263411199,3,,,POINT (-77.0325229 -12.0792885),263118994,0.0007293729430095968
263411353,3,,,POINT (-77.0334087 -12.0732104),257946503,0.0012286189726611245
263411407,3,,,POINT (-77.0317232 -12.0791724),263360960,0.0005946413541009692
263411603,3,,,POINT (-77.03250869999999 -12.0739638),257946503,7.209840497405008e-05
263411604,3,,,POINT (-77.0331982 -12.0720595),257946503,0.0020960141697982395
263411887,4,,,POINT (-77.032273 -12.0714169),4002839495,0.0009918241477195504
263412133,3,,,POINT (-77.03201060000001 -12.0701946),472203377,0.0005051657153856226
263412134,3,,,POINT (-77.03206110000001 -12.0694586),263412134,0.0
263413049,3,,,POINT (-77.0313173 -12.0716165),486218236,0.0004956214785426268
301457750,4,,,POINT (-77.0767781 -12.0464598),1063807441,0.00011319867490489866
301458426,4,,,POINT (-77.077996 -12.0498615),301458426,0.0
306072587,4,,,POINT (-77.0648278 -12.0355375),902279664,0.0008891347029561143
306072597,3,motorway_junction,,POINT (-77.0737621 -12.035051),885686003,0.003129489619731459
306072677,3,,,POINT (-77.0813874 -12.0366563),5697786879,0.0033409113277680634
306072683,3,,,POINT (-77.0763405 -12.035711),6996995324,0.0009699164190814372
306072691,3,,,POINT (-77.0729436 -12.0350571),885686041,0.003123918324796906
306072695,3,,,POINT (-77.0712583 -12.0349397),885686039,0.00303130380034726
306072697,3,,,POINT (-77.07022499999999 -12.0349619),6996716833,0.0030758886602101224
306323125,3,,,POINT (-77.0650332 -12.0457089),1063807312,0.00020541411830661514
306323127,3,,,POINT (-77.06492179999999 -12.0456288),31036580,0.00021312402492308692
306325022,3,,,POINT (-77.0419971 -12.0449198),1363244036,0.0007175821973768338
306325025,3,,,POINT (-77.0546743 -12.046113),4341774315,0.0014902991679523474
306325026,4,,,POINT (-77.0548556 -12.0445747),1273746764,8.260278445686827e-05
310953861,3,,,POINT (-77.0520708 -12.0492879),310953965,0.0005845221039482571
310953862,4,,,POINT (-77.05372629999999 -12.0490178),310953862,0.0
310953870,4,,,POINT (-77.05932079999999 -12.048618),310953870,0.0
310953955,4,,,POINT (-77.059365 -12.0487375),310953955,0.0
310953973,3,,,POINT (-77.04571230000001 -12.0506103),2860030626,0.0010582884294873909
310953976,4,,,POINT (-77.042518 -12.0508129),310953976,0.0
310953992,4,,,POINT (-77.04911 -12.0498848),310953992,0.0
310953993,4,,,POINT (-77.0468 -12.0468186),310953993,0.0
310953999,4,traffic_signals,,POINT (-77.0473403 -12.050282),310953999,0.0
310954020,3,,,POINT (-77.0453979 -12.0477162),310954020,0.0
310954023,3,,,POINT (-77.04651200000001 -12.0477863),310954023,0.0
310954091,3,,,POINT (-77.0468487 -12.0483621),310954091,0.0
310954123,4,,,POINT (-77.04471580000001 -12.0483042),310954123,0.0
310954124,4,,,POINT (-77.0440412 -12.0482601),310954124,0.0
310954177,3,,,POINT (-77.0440648 -12.0478123),4343297801,0.00018335312923910705
310954181,3,,,POINT (-77.0464759 -12.050081),2860030626,0.0004408133505196845
310954296,4,,,POINT (-77.0454885 -12.0467029),310954296,0.0
310954303,4,,,POINT (-77.0453277 -12.0483661),310954303,0.0
310954304,3,,,POINT (-77.0452761 -12.0488691),310954304,0.0
310954310,3,,,POINT (-77.0453862 -12.0478476),310954310,0.0
310954319,3,,,POINT (-77.04418010000001 -12.0465744),310954319,0.0
310954334,3,,,POINT (-77.0441307 -12.0471472),310954334,0.0
310954337,3,,,POINT (-77.0454371 -12.0472824),310954337,0.0
310954409,5,,,POINT (-77.0400698 -12.04616),310954409,0.0
315564705,3,,,POINT (-77.03570120000001 -12.0565281),108152622,0.0029200383028305556
315564778,4,traffic_signals,,POINT (-77.0382796 -12.0558796),1333868912,0.001147679367246298
315564780,3,,,POINT (-77.0364919 -12.0558517),1333868912,0.0029337463165675574
315564950,4,traffic_signals,,POINT (-77.0336743 -12.0555024),1830374072,0.0026794865776904094
315564951,3,,,POINT (-77.0347824 -12.0570656),108154712,0.002486723088724984
315564987,4,traffic_signals,,POINT (-77.03108229999999 -12.0517859),1830374072,0.0018516576816456109
315564989,4,,,POINT (-77.0285536 -12.0533714),316632201,0.0008883962460545977
316629717,4,,,POINT (-77.01462429999999 -12.0566642),316629717,0.0
316629839,4,,,POINT (-77.0133311 -12.0550644),316629839,0.0
316629950,3,,,POINT (-77.00972729999999 -12.0579296),316629950,0.0
316630970,3,,,POINT (-77.01350720000001 -12.054986),316630970,0.0
316632141,4,,,POINT (-77.0301484 -12.0545024),316632141,0.0
316632164,4,,,POINT (-77.0301978 -12.0545848),316632164,0.0
316632201,4,,,POINT (-77.0293078 -12.0529019),316632201,0.0
316632202,4,,,POINT (-77.0271272 -12.0487985),316632202,0.0
316632492,4,traffic_signals,,POINT (-77.02767059999999 -12.0498055),316632492,0.0
316632494,4,,,POINT (-77.0282194 -12.0508769),316632494,0.0
316632833,4,traffic_signals,,POINT (-77.0361947 -12.0538829),257946702,0.0022198980607224836
316802016,3,,,POINT (-77.0610914 -12.0668003),4333043231,0.00025352832188545686
316802021,3,,,POINT (-77.0619141 -12.0674204),316802021,0.0
316803496,4,,,POINT (-77.07555069999999 -12.0679589),874898853,0.0014788003685475704
316803685,4,,,POINT (-77.0537253 -12.049136),316803685,0.0
316803702,4,,,POINT (-77.053832 -12.0491191),316803685,0.00010803008840479804
316803765,3,,,POINT (-77.0546315 -12.050885),4570884839,0.00010431049802719053
316803767,3,traffic_signals,,POINT (-77.0554102 -12.0525276),316803767,0.0
316803772,3,,,POINT (-77.0583464 -12.0581689),316803772,0.0
316811272,4,,,POINT (-77.0614518 -12.0564135),316811616,0.00013215332005354566
316811336,3,,,POINT (-77.0594569 -12.0486141),310953870,0.00013615586657070498
316811538,4,,,POINT (-77.05945079999999 -12.0481021),316811538,0.0
316811612,4,,,POINT (-77.0617116 -12.0541022),316811612,0.0
316811616,4,,,POINT (-77.0615817 -12.0564378),316811616,0.0
316811617,3,,,POINT (-77.06154669999999 -12.0565957),316811617,0.0
316811619,3,,,POINT (-77.06141959999999 -12.0565696),316811619,0.0
316811819,4,,,POINT (-77.0615846 -12.0541472),316811819,0.0
316811821,4,,,POINT (-77.05761 -12.0554098),316811821,0.0
316811827,3,,,POINT (-77.0664113 -12.0524578),696761267,0.00048575919960964717
316811830,3,,,POINT (-77.0666834 -12.0543014),316811830,0.0
411309306,4,,,POINT (-77.0323473 -12.0553877),1830374072,0.002098206369736659
411309309,4,,,POINT (-77.03578760000001 -12.050261),888357899,0.0006027328595585975
411309310,4,traffic_signals,,POINT (-77.0350739 -12.0492536),4037228453,0.0016420672885110257
411309312,4,traffic_signals,,POINT (-77.0361533 -12.0486089),888357888,0.001761793316486637
411309439,3,,,POINT (-77.0370995 -12.0557816),1333868912,0.002331832622638745
411309442,4,traffic_signals,,POINT (-77.0374408 -12.0540783),791159921,0.002145037547463983
416349921,4,traffic_signals,,POINT (-77.0371591 -12.0479629),888357854,0.0017668729269563566
416350440,4,,,POINT (-77.037987 -12.0494164),888357854,9.505556269965238e-05
416647867,4,,,POINT (-77.013542 -12.0592054),416647867,0.0
416647868,4,,,POINT (-77.014062 -12.0579724),416647868,0.0
416647870,4,,,POINT (-77.0142974 -12.0580697),416647870,0.0
416647871,4,,,POINT (-77.01379439999999 -12.0592987),416647871,0.0
416649197,4,,,POINT (-77.01512750000001 -12.0584204),416649197,0.0
416649198,3,,,POINT (-77.014612 -12.0596384),416649198,0.0
416649200,4,,,POINT (-77.0159352 -12.0587074),416649200,0.0
416649201,4,,,POINT (-77.0154187 -12.0599428),416649201,0.0
416649202,4,,,POINT (-77.0155579 -12.0613164),416649202,0.0
416649203,4,,,POINT (-77.01604399999999 -12.0601296),416649203,0.0
416649207,4,,,POINT (-77.01659960000001 -12.0588456),416649207,0.0
416649220,3,,,POINT (-77.0178311 -12.0563959),416649220,0.0
416649262,4,,,POINT (-77.0185121 -12.0574772),416649262,0.0
416649267,4,,,POINT (-77.01857529999999 -12.0564756),416649267,0.0
416649269,3,,,POINT (-77.0186391 -12.055878),416649267,0.0006009960066437574
416649277,5,,,POINT (-77.0193579 -12.0511306),416649277,0.0
416649278,4,,,POINT (-77.01968650000001 -12.0531779),416649278,0.0
416649282,4,,,POINT (-77.0197486 -12.0543952),4484722598,0.0011588885925792648
416649284,4,traffic_signals,,POINT (-77.01963189999999 -12.0557589),416649284,0.0
416649287,4,,,POINT (-77.0195732 -12.0565825),416649287,0.0
416649290,4,,,POINT (-77.0194888 -12.0575963),416649290,0.0
416649302,3,,,POINT (-77.0207916 -12.0541844),416649318,0.0010077766617688304
416649303,4,,,POINT (-77.0206331 -12.0556353),416649303,0.0
416649304,4,,,POINT (-77.0205378 -12.0566734),416649287,0.0009688735572850452
416649305,3,,,POINT (-77.02043449999999 -12.0577199),1273984542,0.00030642170288585274
416649314,3,,,POINT (-77.0212022 -12.0578213),1354143319,0.000301379246134063
416649315,4,,,POINT (-77.0213078 -12.0567683),4151826663,0.0005985989725941603
