osmid,highway,street_count,ref,geometry,NN,NN_dist
411672325,,3,,POINT (-76.9422745 -12.111615),429551518,0.0008086649800704422
411672326,,3,,POINT (-76.94192990000001 -12.1125085),429551518,0.0003030406573393359
411672327,,3,,POINT (-76.94173379999999 -12.1129661),411672338,0.00025290334121443964
411672328,,4,,POINT (-76.9416415 -12.1131925),411672338,0.00013419064796163483
411672331,,4,,POINT (-76.94055590000001 -12.1146702),411672335,0.00013053405686032634
411672332,,5,,POINT (-76.9394562 -12.1159501),411672332,0.0
411672333,,3,,POINT (-76.9393649 -12.1158708),411672332,0.00012093047588933451
411672334,,4,,POINT (-76.9394676 -12.11575),411672332,0.00020042447455261453
411672335,,4,,POINT (-76.9404554 -12.1145869),411672335,0.0
411672337,,3,,POINT (-76.941293 -12.1135397),411672337,0.0
411672338,,4,,POINT (-76.9415307 -12.1131168),411672338,0.0
411672343,,3,,POINT (-76.9423358 -12.1110954),429551518,0.00128387757204139
411672344,,3,,POINT (-76.9424679 -12.1108251),4365093218,0.0012047038474249923
411672345,,3,,POINT (-76.94282509999999 -12.1100661),4365093218,0.0003660376483385751
411672347,,3,,POINT (-76.94335049999999 -12.1091379),411672347,0.0
411672353,,3,,POINT (-76.9451747 -12.1075301),5718485030,0.00046943372268675566
411672358,,3,,POINT (-76.9467246 -12.10611),4365101467,0.0022614429464414584
411672360,,3,,POINT (-76.9471795 -12.1053079),4365101467,0.0013393269727724815
411672363,,4,,POINT (-76.9479706 -12.1039185),411672363,0.0
411672364,,4,,POINT (-76.9480392 -12.1038168),411672364,0.0
411672370,,4,,POINT (-76.94921909999999 -12.1019686),411672370,0.0
411672372,,4,,POINT (-76.94941110000001 -12.1015035),411672372,0.0
411672374,,4,,POINT (-76.9503674 -12.0993777),411672374,0.0
411672375,,4,,POINT (-76.9504094 -12.0992635),411672375,0.0
411672377,,3,,POINT (-76.9511698 -12.0975522),4365118887,0.00023572208212424635
411672380,,4,,POINT (-76.9522583 -12.0951364),411672290,0.00011723207751900457
411672381,,4,,POINT (-76.9523001 -12.095036),411672289,0.00011740140543837598
411672389,,4,,POINT (-76.95264349999999 -12.0929543),430552991,0.00012619429464996143
411672393,,4,,POINT (-76.95301569999999 -12.0917181),392156325,0.00012778802760808175
411672394,,4,,POINT (-76.95306909999999 -12.091609),411672279,0.00012386347323949248
411672395,,3,,POINT (-76.9533479 -12.0910144),411672278,0.0006285423533841506
411672396,,4,,POINT (-76.9536069 -12.0904552),411672278,0.00013257077354885468
411672401,,4,,POINT (-76.9546941 -12.0884357),411672274,0.00012298800754420727
411672407,,3,,POINT (-76.95656030000001 -12.0866741),411672273,0.000690587612118838
411672411,,4,,POINT (-76.95720470000001 -12.0858706),411672273,0.0017200861199452241
411672420,,4,,POINT (-76.95730709999999 -12.082695),1273743375,0.0017798857968901868
411672433,,4,,POINT (-76.9542843 -12.0787716),411672433,0.0
411673086,,3,,POINT (-76.9521171 -12.091321),392156325,0.001110215136807877
411673087,,3,,POINT (-76.9510326 -12.0908168),392156325,0.0023060754887804526
411673088,,3,,POINT (-76.9499673 -12.0903124),411673092,0.0022061038416191516
411673089,,4,,POINT (-76.9493733 -12.0900297),411673092,0.0015483270358766484
411673090,,3,,POINT (-76.9486927 -12.0897083),411673092,0.0007957931954969076
411673091,,3,,POINT (-76.9485684 -12.089647),411673092,0.0006573594526618978
411673092,,3,,POINT (-76.9479643 -12.0893878),411673092,0.0
411673100,,4,,POINT (-76.9379364 -12.0838676),411673100,0.0
411673107,,4,,POINT (-76.9353886 -12.0823844),411673107,0.0
411673163,,3,,POINT (-76.9479331 -12.0892459),1245539504,0.00012152814488843432
411673164,,3,,POINT (-76.9480085 -12.0892758),411673092,0.00012040614602568986
411673165,,4,,POINT (-76.9486259 -12.089543),411673092,0.0006795598575556741
411673166,,4,,POINT (-76.9487472 -12.0895982),411673092,0.0008106790795414651
411673167,,4,,POINT (-76.9494526 -12.0899292),411673092,0.0015837142576915866
411673169,,3,,POINT (-76.95128219999999 -12.0907903),411672279,0.002089191944280109
422441984,,4,,POINT (-76.93636619999999 -12.1136401),5718525562,0.00013960816593806843
422441985,,5,,POINT (-76.9362579 -12.1138421),422441985,0.0
422441986,,3,,POINT (-76.9359362 -12.1142028),422441986,0.0
422441987,,4,,POINT (-76.935661 -12.1145734),422441987,0.0
422441988,,4,,POINT (-76.9353641 -12.1149448),422441988,0.0
422441989,,4,,POINT (-76.9350711 -12.1153239),422441989,0.0
422441990,,4,,POINT (-76.9343859 -12.1161316),422441990,0.0
422441991,,3,,POINT (-76.9340935 -12.1165316),422441990,0.0004954773052281135
422441992,,4,,POINT (-76.9336831 -12.1169983),422442019,0.0010273598979979885
422441993,,3,,POINT (-76.9330877 -12.1177274),422442019,0.0018939891895166702
422441994,,3,,POINT (-76.9328143 -12.1180445),422442019,0.002300920528831592
422441995,,3,,POINT (-76.9325834 -12.1183567),422442019,0.0026753382010542334
422442005,turning_loop,1,,POINT (-76.93475599999999 -12.1186977),422442019,0.0020375496582911833
422442014,,3,,POINT (-76.9353843 -12.1182532),422442019,0.0017501092223033607
422442015,,3,,POINT (-76.93534510000001 -12.1180285),422442019,0.00153065039770858
422442017,,3,,POINT (-76.9352201 -12.1176435),422442019,0.0011323977393090914
422442018,,4,,POINT (-76.9349544 -12.1171242),422442019,0.0005506017980313815
422442019,,3,,POINT (-76.9346541 -12.1166627),422442019,0.0
422442020,,3,,POINT (-76.9347704 -12.1179689),422442019,0.001311367275022843
422442027,,3,,POINT (-76.9353595 -12.1172737),422442019,0.0009332256747447401
422442037,,3,,POINT (-76.93231849999999 -12.118302),422442019,0.0028534771507838634
422442039,,1,,POINT (-76.93592940000001 -12.1169551),422442162,0.0011627233935937726
422442040,,3,,POINT (-76.9338789 -12.1163637),422441990,0.0005576014795529718
422442042,,3,,POINT (-76.93365300000001 -12.1160065),422441990,0.000743500114312786
422442047,,3,,POINT (-76.9343241 -12.1146801),422441989,0.0009861477779759343
422442048,,4,,POINT (-76.93463149999999 -12.1142812),422441988,0.0009884673591011135
422442049,,4,,POINT (-76.93495369999999 -12.1139091),422441987,0.0009703441554422555
422442050,,3,,POINT (-76.93536760000001 -12.113361),5718525562,0.0008994469689767664
422442052,,4,,POINT (-76.9362617 -12.1121638),5718525563,0.0013278083182450596
422442059,,3,,POINT (-76.9324707 -12.1170127),422441990,0.002108157548666164
422442060,,1,,POINT (-76.9323679 -12.1171369),422441990,0.0022545403278654867
422442154,,3,,POINT (-76.93466669999999 -12.1149991),422441989,0.0005186852610264465
422442155,,3,,POINT (-76.9357376 -12.1158614),422442162,0.0005567007274981408
422442162,,3,,POINT (-76.9352107 -12.1160411),422442162,0.0
422442166,,3,,POINT (-76.9360733 -12.115515),422441988,0.0009099959780154995
422442167,,3,,POINT (-76.93637080000001 -12.1151428),422441987,0.000909962856392397
422442169,,3,,POINT (-76.93694240000001 -12.1144279),422442169,0.0
422442176,,3,,POINT (-76.9339915 -12.1135464),422441988,0.001959477818192386
422442182,,3,,POINT (-76.9343537 -12.113264),422441986,0.0018400140461402317
422442185,,3,,POINT (-76.93498390000001 -12.1130424),5718525563,0.0013588917874389785
422442186,,4,,POINT (-76.93473539999999 -12.1129089),5718525563,0.0016381392767401083
422442188,,3,,POINT (-76.9343817 -12.1127787),5718525563,0.0020150236971225436
422442194,,3,,POINT (-76.933266 -12.113324),422441988,0.0026512291960502274
422442197,,3,,POINT (-76.9329765 -12.1140119),4835725006,0.002456480069125688
422442198,,3,,POINT (-76.93293079999999 -12.1142402),4835725006,0.0023421936832842016
422442199,,3,,POINT (-76.9345046 -12.1131237),422441986,0.0017927452049888916
422442200,,3,,POINT (-76.93359839999999 -12.1138069),422441988,0.002100598224321961
