source;target;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
5600979109;444056879;4.655999999999999;12.316666666666668;4.646999999999999;13.733333333333338
5600979109;438566223;3.315999999999999;9.383333333333331;3.315999999999999;9.5
5600979109;993167921;4.587999999999998;12.183333333333335;4.578999999999999;13.61666666666667
5600979109;31003285;4.541999999999996;10.933333333333337;4.540999999999997;11.133333333333338
5600979109;5518020471;4.348999999999999;12.049999999999999;4.34;13.600000000000001
5600979109;31003258;4.610999999999997;11.683333333333337;4.609999999999998;11.583333333333337
5600979109;966367423;4.812999999999998;12.066666666666672;4.8119999999999985;12.200000000000006
5600979110;3076194081;3.056999999999998;7.8999999999999995;3.0559999999999983;7.9
5600979110;1008299810;4.148;11.51666666666667;4.139;12.999999999999998
5600979110;30983335;4.613999999999997;12.950000000000005;4.604999999999998;14.58333333333334
5600979110;30964904;;;;
5600979110;4590287367;5.123999999999999;13.483333333333338;5.114999999999999;14.750000000000002
5600979110;1004136874;2.601999999999999;6.683333333333333;2.601999999999999;6.550000000000002
5600979110;30984135;4.425;12.050000000000002;4.416;13.583333333333332
5600979110;444056879;4.725;12.383333333333336;4.716;13.800000000000004
5600979110;438566223;3.384999999999999;9.449999999999998;3.384999999999999;9.566666666666668
5600979110;993167921;4.656999999999999;12.250000000000004;4.648;13.683333333333337
5600979110;31003285;4.610999999999997;11.000000000000004;4.609999999999998;11.200000000000005
5600979110;5518020471;4.418;12.116666666666667;4.409000000000001;13.666666666666668
5600979110;31003258;4.679999999999998;11.750000000000004;4.6789999999999985;11.650000000000004
5600979110;966367423;4.881999999999999;12.133333333333338;4.880999999999999;12.266666666666673
5628741799;3076194081;2.826999999999998;8.249999999999998;3.0379999999999985;7.649999999999999
5628741799;1008299810;0.054000000000000006;0.2;0.054000000000000006;0.25
5628741799;30983335;1.1289999999999998;3.1499999999999995;1.1289999999999998;3.3999999999999995
5628741799;30964904;;;;
5628741799;4590287367;2.276;6.783333333333332;2.276;6.799999999999999
5628741799;1004136874;3.5349999999999975;10.766666666666671;3.7459999999999978;10.633333333333336
5628741799;30984135;0.332;0.7333333333333334;0.332;0.8333333333333333
5628741799;444056879;1.6859999999999995;5.166666666666666;1.6859999999999995;5.416666666666666
5628741799;438566223;3.882999999999997;11.499999999999996;4.093999999999997;11.216666666666667
5628741799;993167921;1.6029999999999995;5.216666666666667;1.6029999999999995;5.550000000000001
5628741799;31003285;1.1809999999999998;3.566666666666667;2.159;2.666666666666666
5628741799;5518020471;0.324;0.8666666666666667;0.324;1.0166666666666666
5628741799;31003258;1.0099999999999998;2.266666666666667;1.0099999999999998;2.333333333333333
5628741799;966367423;1.201;2.9000000000000004;1.201;3.083333333333334
5628741804;3076194081;2.9779999999999984;8.5;3.189999999999998;7.849999999999998
5628741804;1008299810;0.20600000000000002;0.45000000000000007;0.20600000000000002;0.44999999999999996
5628741804;30983335;1.2809999999999997;3.3999999999999995;1.2809999999999997;3.5999999999999996
5628741804;30964904;;;;
5628741804;4590287367;2.4279999999999995;6.549999999999999;2.4279999999999995;6.566666666666666
5628741804;1004136874;3.685999999999998;10.500000000000005;3.897999999999998;10.4
5628741804;30984135;0.483;0.9833333333333334;0.483;1.0333333333333332
5628741804;444056879;1.8379999999999994;5.416666666666666;1.8379999999999994;5.616666666666666
5628741804;438566223;4.033999999999997;11.749999999999998;4.245999999999996;11.416666666666666
5628741804;993167921;1.7549999999999994;5.3166666666666655;1.7549999999999994;5.499999999999999
5628741804;31003285;1.3319999999999999;3.816666666666667;2.31;2.8666666666666663
5628741804;5518020471;0.47600000000000003;1.1166666666666667;0.47600000000000003;1.2166666666666666
5628741804;31003258;1.1609999999999998;2.516666666666667;1.1609999999999998;2.533333333333333
5628741804;966367423;1.353;3.1500000000000004;1.353;3.283333333333334
5600979119;3076194081;3.7789999999999977;9.65;3.777999999999998;9.900000000000004
5600979119;1008299810;4.869999999999998;13.26666666666667;4.860999999999998;15.000000000000002
5600979119;30983335;5.335999999999996;14.700000000000005;5.326999999999996;16.583333333333343
5600979119;30964904;;;;
5600979119;4590287367;5.845999999999997;15.233333333333338;5.836999999999998;16.750000000000007
5600979119;1004136874;3.3239999999999985;8.433333333333334;3.3239999999999985;8.55
5600979119;30984135;5.1469999999999985;13.800000000000002;5.137999999999998;15.583333333333336
5600979119;444056879;5.446999999999998;14.133333333333336;5.437999999999999;15.800000000000008
5600979119;438566223;4.1069999999999975;11.199999999999998;4.1069999999999975;11.56666666666667
