u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,width,ref,bridge,access,junction,wazeinfo0800_minutes,wazeinfo0800_km,wazeinfo1400_minutes,wazeinfo1400_km
30962461,30962460,0,82315402,Avenida Pachacámac,residential,,False,51.342,"LINESTRING (-71.9362757 -13.5404007, -71.9367409 -13.5403077)",,,,,,,0.13333333333333333,0.049,0.13333333333333333,0.049
30962462,30962463,0,82315402,Avenida Pachacámac,residential,,False,51.075,"LINESTRING (-71.9357741 -13.5405255, -71.9353098 -13.5406105)",,,,,,,0.016666666666666666,0.006,0.016666666666666666,0.006
30962462,30962461,0,82315402,Avenida Pachacámac,residential,,False,55.973,"LINESTRING (-71.9357741 -13.5405255, -71.9362757 -13.5404007)",,,,,,,0.13333333333333333,0.047,0.13333333333333333,0.047
30962463,30962464,0,82315402,Avenida Pachacámac,residential,,False,46.748,"LINESTRING (-71.9353098 -13.5406105, -71.9348924 -13.5407204)",,,,,,,0.016666666666666666,0.005,0.016666666666666666,0.005
30962463,30962462,0,82315402,Avenida Pachacámac,residential,,False,51.075,"LINESTRING (-71.9353098 -13.5406105, -71.9357741 -13.5405255)",,,,,,,0.13333333333333333,0.045,0.13333333333333333,0.045
30962464,1428480846,0,82315402,Avenida Pachacámac,residential,,False,52.048,"LINESTRING (-71.9348924 -13.5407204, -71.9344195 -13.5408083)",,,,,,,0.0,0.002,0.0,0.002
30962464,30962463,0,82315402,Avenida Pachacámac,residential,,False,46.748,"LINESTRING (-71.9348924 -13.5407204, -71.9353098 -13.5406105)",,,,,,,0.2333333333333333,0.046,0.21666666666666667,0.046
5600924454,5600924459,0,586131165,,residential,,False,29.2,"LINESTRING (-71.9020421 -13.5439098, -71.9020941 -13.5437427, -71.90211840000001 -13.5436579)",,,,,,,0.2,0.14400000000000002,0.2,0.14400000000000002
5600924459,5600924454,0,586131165,,residential,,False,29.2,"LINESTRING (-71.90211840000001 -13.5436579, -71.9020941 -13.5437427, -71.9020421 -13.5439098)",,,,,,,0.2,0.14400000000000002,0.2,0.14400000000000002
5600924463,5600924464,0,365615504,,tertiary,,False,50.186,"LINESTRING (-71.90126429999999 -13.5455916, -71.90169330000001 -13.5457641)",,,,,,,0.08333333333333333,0.041,0.08333333333333333,0.041
5600924463,3241425147,0,365615504,,tertiary,,False,39.203,"LINESTRING (-71.90126429999999 -13.5455916, -71.90095359999999 -13.5454751, -71.9009277 -13.5454611)",,,,,,,0.03333333333333333,0.019,0.06666666666666668,0.019
5600924464,5600924463,0,365615504,,tertiary,,False,50.186,"LINESTRING (-71.90169330000001 -13.5457641, -71.90126429999999 -13.5455916)",,,,,,,0.0,0.003,0.0,0.003
6086693679,30983831,0,"[584928793, 4821111]",Cuesta de Santa Ana,residential,30,True,239.74099999999999,"LINESTRING (-71.9854443 -13.5144884, -71.985375 -13.5144624, -71.98530119999999 -13.5144708, -71.98522610000001 -13.5145087, -71.9851188 -13.5145948, -71.98496040000001 -13.5147605, -71.98442110000001 -13.5151034, -71.9841114 -13.5153209, -71.9838194 -13.5155749, -71.9836746 -13.5157008)",,,,,yes,,1.3666666666666667,0.242,1.35,0.242
