osmid,y,x,street_count,highway,geometry
30963992,-13.5278723,-71.9407472,3,,POINT (-71.9407472 -13.5278723)
30963994,-13.5276435,-71.94262,4,,POINT (-71.94262000000001 -13.5276435)
30963997,-13.5250973,-71.9534969,3,,POINT (-71.9534969 -13.5250973)
30963998,-13.5240635,-71.9568999,4,,POINT (-71.9568999 -13.5240635)
30964002,-13.5216079,-71.9649282,4,traffic_signals,POINT (-71.9649282 -13.5216079)
30964005,-13.5212408,-71.9671884,3,,POINT (-71.9671884 -13.5212408)
30964010,-13.5277939,-71.9424714,3,,POINT (-71.9424714 -13.5277939)
30964095,-13.5252211,-71.953548,4,,POINT (-71.953548 -13.5252211)
30964096,-13.5259908,-71.9535187,4,traffic_signals,POINT (-71.9535187 -13.5259908)
30964099,-13.5280739,-71.9529858,3,,POINT (-71.95298579999999 -13.5280739)
30964101,-13.5286162,-71.9529805,3,,POINT (-71.9529805 -13.5286162)
30964103,-13.5290092,-71.953145,4,,POINT (-71.95314500000001 -13.5290092)
30964106,-13.5291465,-71.9542799,3,,POINT (-71.9542799 -13.5291465)
30964107,-13.5292245,-71.9543088,3,,POINT (-71.95430880000001 -13.5292245)
30964110,-13.5290498,-71.953068,3,,POINT (-71.953068 -13.5290498)
30964111,-13.5286364,-71.9529011,4,,POINT (-71.95290110000001 -13.5286364)
30964113,-13.5280839,-71.9528832,4,,POINT (-71.9528832 -13.5280839)
30964117,-13.5260243,-71.9534191,4,,POINT (-71.9534191 -13.5260243)
30964158,-13.5331649,-71.9516553,3,,POINT (-71.9516553 -13.5331649)
30964159,-13.5309075,-71.9524752,3,,POINT (-71.95247519999999 -13.5309075)
30964174,-13.5292181,-71.9596192,4,traffic_signals,POINT (-71.95961920000001 -13.5292181)
30964176,-13.5288829,-71.9605433,4,,POINT (-71.9605433 -13.5288829)
30964177,-13.5287489,-71.9611716,4,,POINT (-71.9611716 -13.5287489)
30964179,-13.5288812,-71.9622081,3,,POINT (-71.9622081 -13.5288812)
30964184,-13.5304674,-71.9671308,4,,POINT (-71.96713080000001 -13.5304674)
30964185,-13.530588,-71.9671033,4,,POINT (-71.96710330000001 -13.530588)
30964192,-13.5290043,-71.9605737,4,,POINT (-71.9605737 -13.5290043)
30964284,-13.5194252,-71.973623,3,traffic_signals,POINT (-71.973623 -13.5194252)
30964285,-13.5197261,-71.9738068,3,,POINT (-71.97380680000001 -13.5197261)
30964287,-13.5197593,-71.9734625,3,,POINT (-71.9734625 -13.5197593)
30964288,-13.5196255,-71.9733184,3,,POINT (-71.9733184 -13.5196255)
30964336,-13.5197907,-71.9732404,3,,POINT (-71.97324039999999 -13.5197907)
30964337,-13.5223565,-71.9731574,4,,POINT (-71.97315740000001 -13.5223565)
30964341,-13.5228147,-71.9696778,4,,POINT (-71.9696778 -13.5228147)
30964345,-13.5216519,-71.9675501,4,traffic_signals,POINT (-71.9675501 -13.5216519)
30964346,-13.5212888,-71.9672478,3,,POINT (-71.9672478 -13.5212888)
30964370,-13.520915,-71.9673728,3,,POINT (-71.96737280000001 -13.520915)
30964372,-13.5211298,-71.9675523,3,,POINT (-71.96755229999999 -13.5211298)
30964382,-13.5216182,-71.9676389,3,,POINT (-71.9676389 -13.5216182)
30964385,-13.5227291,-71.9696629,4,,POINT (-71.9696629 -13.5227291)
30964389,-13.5206259,-71.9685697,4,,POINT (-71.9685697 -13.5206259)
30964390,-13.5208202,-71.9678074,3,,POINT (-71.9678074 -13.5208202)
30964494,-13.5446867,-71.8892317,4,,POINT (-71.8892317 -13.5446867)
30964495,-13.542738,-71.8881467,4,,POINT (-71.88814669999999 -13.542738)
30964496,-13.5411287,-71.8873579,5,,POINT (-71.8873579 -13.5411287)
30964497,-13.5427168,-71.8882358,4,,POINT (-71.8882358 -13.5427168)
30964498,-13.5446586,-71.8893086,4,,POINT (-71.88930860000001 -13.5446586)
30964499,-13.5469775,-71.8871297,3,,POINT (-71.8871297 -13.5469775)
30964535,-13.5541813,-71.8583651,3,,POINT (-71.8583651 -13.5541813)
30964545,-13.5474058,-71.8855693,3,,POINT (-71.8855693 -13.5474058)
30964678,-13.531974,-71.9258414,3,traffic_signals,POINT (-71.9258414 -13.531974)
30964680,-13.5325641,-71.9262701,4,,POINT (-71.9262701 -13.5325641)
30964681,-13.5320358,-71.9297501,3,,POINT (-71.92975010000001 -13.5320358)
30964682,-13.5317088,-71.9317997,3,,POINT (-71.9317997 -13.5317088)
30964683,-13.5332473,-71.9235165,3,,POINT (-71.92351650000001 -13.5332473)
30964684,-13.5337459,-71.9205705,4,,POINT (-71.9205705 -13.5337459)
30964727,-13.5317299,-71.9493964,3,,POINT (-71.9493964 -13.5317299)
30964728,-13.5322445,-71.947414,3,,POINT (-71.94741399999999 -13.5322445)
30964735,-13.5328025,-71.945469,4,,POINT (-71.945469 -13.5328025)
30964737,-13.5324217,-71.9424451,4,,POINT (-71.9424451 -13.5324217)
30964749,-13.5308707,-71.9416341,3,,POINT (-71.9416341 -13.5308707)
30964750,-13.5320739,-71.9412586,4,,POINT (-71.9412586 -13.5320739)
30964756,-13.5318899,-71.9406629,3,,POINT (-71.94066290000001 -13.5318899)
30964759,-13.5342702,-71.9403502,3,,POINT (-71.9403502 -13.5342702)
30964766,-13.5281685,-71.9413755,4,,POINT (-71.94137550000001 -13.5281685)
30964769,-13.5276187,-71.9415302,4,,POINT (-71.9415302 -13.5276187)
30964776,-13.5249497,-71.9430474,3,,POINT (-71.9430474 -13.5249497)
