source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
1010404190;school;0.20199999999999999;1.4166666666666667;0.20199999999999999;1.2000000000000002
1010404216;school;0.16899999999999998;1.3333333333333333;0.16899999999999998;1.1166666666666667
1010579829;school;0.28300000000000003;0.43333333333333335;0.28300000000000003;0.43333333333333335
1010579857;school;0.003;0.016666666666666666;0.003;0.0
1010579859;school;0.045000000000000005;0.06666666666666668;0.045000000000000005;0.05
1010592949;school;0.07500000000000001;0.5166666666666666;0.07500000000000001;0.5333333333333334
1010592956;school;0.272;0.7333333333333333;0.272;0.75
1010592970;school;0.122;0.2333333333333333;0.122;0.2333333333333333
1010592980;school;0.131;0.3666666666666667;0.131;0.3833333333333333
1010592994;school;0.124;0.3666666666666667;0.124;0.3833333333333333
1010593006;school;0.527;1.05;0.527;1.0666666666666669
1010593011;school;0.103;0.3666666666666667;0.103;0.3833333333333333
1010593018;school;0.002;0.0;0.002;0.0
1010593022;school;0.165;0.3;0.165;0.3
1010593026;school;0.004;0.0;0.004;0.0
1010593031;school;0.07600000000000001;0.3666666666666667;0.07600000000000001;0.3833333333333333
1010593034;school;0.12;0.3666666666666667;0.12;0.3833333333333333
1010601947;school;0.22600000000000006;0.6833333333333333;0.22600000000000006;0.6833333333333333
1010601998;school;0.002;0.016666666666666666;0.002;0.016666666666666666
1011571514;school;0.049;0.08333333333333334;0.049;0.08333333333333334
1011571530;school;0.06000000000000001;0.35;0.06000000000000001;0.35
1011571545;school;0.26;0.6666666666666667;0.26;0.6666666666666667
1011571585;school;0.0;0.0;0.0;0.0
1011571591;school;0.185;0.4166666666666667;0.185;0.43333333333333335
1011871975;school;0.14;0.26666666666666666;0.14;0.26666666666666666
1012608186;school;0.058;0.18333333333333326;0.058;0.2833333333333333
1012608189;bank;0.0;0.0;0.0;0.0
1012608273;school;0.003;0.0;0.003;0.0
1012608298;school;0.19;0.4166666666666667;0.19;0.4333333333333333
1012608308;bank;0.06000000000000001;0.15;0.06000000000000001;0.15
1012608391;police;0.069;0.18333333333333326;0.069;0.2833333333333333
1012608413;school;0.003;0.0;0.003;0.0
1012608461;school;0.0;0.0;0.0;0.0
1012608483;school;0.0;0.0;0.0;0.0
1013453580;school;0.004;0.016666666666666666;0.004;0.016666666666666666
1014221556;school;0.168;0.4833333333333333;0.168;0.4833333333333333
1014221558;police;0.0;0.0;0.0;0.0
1014233864;school;0.002;0.0;0.002;0.0
1428107850;school;0.11100000000000003;0.2;0.11100000000000003;0.25
1428107851;school;0.15400000000000005;0.30000000000000004;0.15400000000000005;0.3666666666666667
1428107855;school;0.104;0.18333333333333332;0.104;0.18333333333333332
1428107858;school;0.14900000000000002;0.25;0.14900000000000002;0.2666666666666667
1428107863;school;0.14900000000000002;0.25;0.14900000000000002;0.2666666666666667
1428107864;police;0.14;0.45;0.14;0.6166666666666667
1428107867;school;0.04200000000000001;0.05;0.04200000000000001;0.05
1428107869;police;0.23;0.5666666666666667;0.23;0.6
1428107874;bank;0.0;0.0;0.0;0.0
1428107879;school;0.05;0.13333333333333333;0.05;0.15
1428107888;school;0.0;0.0;0.0;0.0
1428107900;school;0.057;0.21666666666666667;0.057;0.26666666666666666
1428107910;school;0.015;0.0;0.015;0.03333333333333333
1428107938;school;0.009999999999999998;0.0;0.009999999999999998;0.016666666666666666
1428107948;school;0.006999999999999999;0.0;0.006999999999999999;0.016666666666666666
1428107949;school;0.316;0.6833333333333332;0.316;0.6499999999999999
1428107963;school;0.486;1.0166666666666668;0.486;1.0
1428480671;school;0.8280000000000001;2.1666666666666665;0.8280000000000001;2.85
1428480681;school;1.4229999999999996;3.233333333333333;1.4229999999999996;3.9166666666666665
1428480729;school;1.7549999999999997;3.85;1.7689999999999997;4.699999999999998
1428480795;school;0.17800000000000002;0.7999999999999999;0.17800000000000002;0.75
1428480828;bank;0.0;0.0;0.0;0.0
1428480840;school;0.0;0.0;0.0;0.0
1428480841;school;0.002;0.0;0.002;0.0
1428480846;school;0.09699999999999999;0.3666666666666667;0.09699999999999999;0.3833333333333333
1428480853;school;0.14300000000000002;0.3833333333333333;0.14300000000000002;0.4166666666666666
1428480854;school;0.013999999999999999;0.03333333333333333;0.013999999999999999;0.03333333333333333
1428480855;school;0.09;0.2333333333333333;0.09;0.2333333333333333
1428480856;school;0.031;0.08333333333333333;0.031;0.08333333333333333
1428480857;school;0.01;0.0;0.01;0.016666666666666666
1428480858;school;0.0;0.0;0.0;0.0
1428480866;school;0.0;0.0;0.0;0.0
1523256233;school;0.001;0.0;0.001;0.0
1523256391;school;0.08199999999999999;0.18333333333333326;0.08199999999999999;0.21666666666666667
1531089973;hospital;0.034;0.13333333333333333;0.034;0.13333333333333333
1531117440;police;0.354;1.2333333333333332;0.354;0.8833333333333333
1531459553;university;0.017;0.05;0.017;0.05
1703367524;school;1.15;3.033333333333333;1.15;2.5500000000000003
1703367542;police;0.802;2.3999999999999995;0.802;2.0666666666666664
1703384891;school;1.827;3.1166666666666667;1.827;2.966666666666667
1831718180;school;0.002;0.0;0.002;0.0
1990249615;school;0.017;0.0;0.017;0.0
1990249618;school;0.209;0.5499999999999999;0.209;0.6499999999999999
1990249623;school;0.018000000000000002;0.08333333333333333;0.018000000000000002;0.08333333333333333
1990249636;school;0.0;0.0;0.0;0.0
1990638497;school;0.051;0.13333333333333333;0.051;0.13333333333333333
1990638501;school;0.46;0.9833333333333332;0.46;0.9666666666666668
1991404482;school;0.0;0.0;0.0;0.0
1991404490;school;0.061;0.5;0.061;0.4833333333333333
1991404492;school;0.546;1.8833333333333333;0.546;1.8000000000000005
1991404493;school;0.016;0.016666666666666666;0.016;0.016666666666666666
1991404498;school;0.0;0.0;0.0;0.0
1991404513;school;0.185;1.3166666666666669;0.185;0.6500000000000001
1991404517;school;0.024;0.05;0.024;0.05
1991487449;school;0.19100000000000006;0.3833333333333333;0.19100000000000006;0.3833333333333333
1991487458;school;0.247;0.75;0.247;0.6499999999999999
1991487470;school;0.034;0.08333333333333333;0.034;0.11666666666666667
1991487474;school;0.0;0.0;0.0;0.0
1991487478;school;0.147;0.3;0.147;0.3
1991487480;school;0.153;0.3;0.153;0.31666666666666665
1991487481;school;0.30100000000000005;0.7;0.30100000000000005;0.75
1991487483;school;0.153;0.3;0.153;0.31666666666666665
1991487493;school;0.023;0.05;0.023;0.05
1991883106;school;0.121;0.4;0.121;0.2833333333333333
1991883118;school;0.0;0.0;0.0;0.0
2015930472;school;0.0;0.0;0.0;0.0
2015930477;school;0.001;0.0;0.001;0.0
2015930724;school;0.978;3.6666666666666665;0.978;2.566666666666667
2015930778;school;1.034;2.7666666666666666;1.034;2.2333333333333334
2015930826;school;0.0;0.0;0.0;0.0
2068103078;school;0.055999999999999994;0.06666666666666668;0.055999999999999994;0.06666666666666668
2083900892;school;0.084;0.18333333333333332;0.084;0.18333333333333326
2083903053;school;0.30700000000000005;0.7;0.30700000000000005;0.8
2090367558;school;0.0;0.0;0.0;0.0
2090367562;police;0.139;0.13333333333333333;0.139;0.15000000000000002
2090416194;school;0.293;0.7666666666666667;0.293;1.0
2090416209;school;0.083;0.38333333333333336;0.083;0.3833333333333333
2167554138;hospital;0.006;0.016666666666666666;0.006;0.016666666666666666
2167554141;school;0.12;1.1166666666666667;0.12;0.43333333333333335
2167554142;hospital;0.008;0.016666666666666666;0.008;0.03333333333333333
2216918610;police;0.2;0.4666666666666667;0.2;0.4666666666666667
2216918635;school;0.0;0.0;0.0;0.0
2216918646;school;0.0;0.0;0.0;0.0
2216918648;school;0.046;0.11666666666666667;0.046;0.13333333333333333
2311570867;school;0.003;0.0;0.003;0.0
2311570870;school;0.003;0.0;0.003;0.0
2311570872;school;0.001;0.0;0.001;0.0
2334689376;school;0.07100000000000001;0.3333333333333333;0.07100000000000001;0.35
2334689378;school;0.118;0.3333333333333333;0.118;0.35
2334710279;school;0.0;0.0;0.0;0.0
2334710285;school;0.0;0.0;0.0;0.0
2334770273;school;0.159;0.45;0.159;0.45
2340703291;school;0.5419999999999999;1.3333333333333333;0.5419999999999999;1.5333333333333334
2340703433;school;0.436;1.0499999999999998;0.436;1.1166666666666667
2340703448;school;0.104;0.3333333333333333;0.104;0.2333333333333333
2340703463;school;0.431;1.0833333333333333;0.431;1.1
2340703478;university;0.055;0.26666666666666666;0.055;0.3333333333333333
2340703484;university;0.051;0.16666666666666666;0.051;0.18333333333333326
2340703485;university;0.009000000000000001;0.016666666666666666;0.009000000000000001;0.016666666666666666
2340703503;university;0.5870000000000001;1.3166666666666669;0.5870000000000001;1.3333333333333337
2340703505;university;0.268;0.5833333333333334;0.268;0.65
2340703506;school;0.035;0.15;0.035;0.15
2357112746;school;0.327;1.6833333333333331;0.327;1.4333333333333331
2357112750;school;0.418;1.6833333333333331;0.418;1.4333333333333331
2357112753;school;0.261;0.9166666666666666;0.261;0.9166666666666666
2357195908;school;0.0;0.0;0.0;0.0
