source;target;wazeinfo0800_minutes;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;tiempoponderado30kmh
4427186178;4293677040;8.166666666666664;3.626999999999997;7.999999999999998;3.626999999999997;7.253999999999994
4427186178;3738278157;4.966666666666665;2.7329999999999974;5.016666666666666;2.7329999999999974;5.465999999999995
4427186178;1005309702;5.333333333333333;2.339999999999997;4.816666666666666;2.339999999999997;4.679999999999994
4477353987;4293677040;5.316666666666667;1.7709999999999997;5.083333333333334;1.7709999999999997;3.5419999999999994
4477353987;3738278157;2.116666666666667;0.8770000000000001;2.1000000000000005;0.8770000000000001;1.7540000000000002
4477353987;1005309702;7.616666666666666;2.0719999999999983;6.850000000000001;2.0879999999999987;4.143999999999997
4477353988;4293677040;5.316666666666667;1.7709999999999997;5.083333333333334;1.7709999999999997;3.5419999999999994
4477353988;3738278157;2.116666666666667;0.8770000000000001;2.1000000000000005;0.8770000000000001;1.7540000000000002
4477353988;1005309702;7.616666666666666;2.0719999999999983;6.850000000000001;2.0879999999999987;4.143999999999997
4427153413;4293677040;13.333333333333345;5.4509999999999925;13.183333333333344;5.449999999999993;10.901999999999985
4427153413;3738278157;10.133333333333338;4.556999999999995;10.200000000000006;4.555999999999996;9.11399999999999
4427153413;1005309702;6.333333333333334;2.0799999999999983;5.950000000000001;2.0799999999999983;4.159999999999997
10803871753;4293677040;5.666666666666664;2.343;7.4499999999999975;2.864;4.686
10803871753;3738278157;8.749999999999998;3.084999999999999;10.333333333333332;3.605999999999999;6.169999999999998
10803871753;1005309702;12.883333333333338;4.399999999999993;14.866666666666676;4.920999999999998;8.799999999999986
10800955411;4293677040;11.600000000000003;4.47899999999999;11.150000000000002;4.477999999999991;8.95799999999998
10800955411;3738278157;8.399999999999997;3.5849999999999924;8.166666666666664;3.5839999999999925;7.169999999999985
10800955411;1005309702;3.0833333333333335;1.358999999999999;2.85;1.358999999999999;2.717999999999998
6855294996;4293677040;16.35000000000001;9.879999999999999;16.016666666666687;9.879999999999999;19.759999999999998
6855294996;3738278157;13.150000000000006;8.985999999999999;13.03333333333335;8.985999999999999;17.971999999999998
6855294996;1005309702;13.566666666666674;8.593000000000002;12.833333333333341;8.593000000000002;17.186000000000003
10789290004;4293677040;20.28333333333334;10.168000000000003;20.3;10.177000000000001;20.336000000000006
10789290004;3738278157;17.08333333333335;9.274000000000003;17.316666666666674;9.283000000000001;18.548000000000005
10789290004;1005309702;13.283333333333339;6.796999999999998;13.06666666666667;6.806999999999998;13.593999999999996
10800955412;4293677040;11.616666666666669;4.487999999999991;11.166666666666668;4.48699999999999;8.975999999999981
10800955412;3738278157;8.416666666666663;3.5939999999999928;8.18333333333333;3.5929999999999924;7.1879999999999855
10800955412;1005309702;3.1;1.3679999999999992;2.8666666666666667;1.3679999999999992;2.7359999999999984
10803871772;4293677040;7.666666666666662;3.669999999999999;9.083333333333336;4.052999999999999;7.339999999999998
10803871772;3738278157;10.749999999999996;4.411999999999999;11.96666666666667;4.795000000000001;8.823999999999998
10803871772;1005309702;14.883333333333345;5.726999999999998;16.50000000000001;6.1099999999999985;11.453999999999995
10800955423;4293677040;11.600000000000003;4.48899999999999;11.150000000000002;4.48799999999999;8.97799999999998
10800955423;3738278157;8.399999999999997;3.5949999999999926;8.166666666666664;3.5939999999999923;7.189999999999985
10800955423;1005309702;3.0833333333333335;1.368999999999999;2.85;1.368999999999999;2.737999999999998
10800955424;4293677040;11.783333333333337;4.62199999999999;11.333333333333336;4.62099999999999;9.24399999999998
10800955424;3738278157;8.58333333333333;3.727999999999992;8.349999999999998;3.7269999999999923;7.455999999999984
10800955424;1005309702;3.266666666666666;1.5019999999999993;3.033333333333333;1.5019999999999993;3.0039999999999987
1005387818;4293677040;10.6;4.056999999999993;10.333333333333332;4.055999999999993;8.113999999999987
1005387818;3738278157;7.399999999999995;3.162999999999994;7.349999999999996;3.1619999999999937;6.325999999999988
1005387818;1005309702;2.0833333333333335;0.937;2.0333333333333337;0.937;1.874
7007698547;4293677040;8.899999999999997;3.725999999999996;8.516666666666666;3.777999999999995;7.451999999999992
7007698547;3738278157;5.6999999999999975;2.8319999999999963;5.533333333333332;2.8839999999999955;5.663999999999993
7007698547;1005309702;4.8;1.5569999999999997;4.433333333333334;1.5569999999999997;3.1139999999999994
30965826;4293677040;4.65;1.3880000000000001;4.466666666666667;1.3880000000000001;2.7760000000000002
30965826;3738278157;1.4500000000000002;0.494;1.4833333333333334;0.494;0.988
30965826;1005309702;7.2166666666666615;2.0779999999999985;6.566666666666668;2.0779999999999985;4.155999999999997
30965827;4293677040;4.533333333333333;1.434;4.4;1.434;2.868
30965827;3738278157;1.3333333333333333;0.54;1.4166666666666665;0.54;1.08
30965827;1005309702;7.050000000000002;1.9919999999999989;6.300000000000001;1.9919999999999989;3.9839999999999978
30965828;4293677040;4.366666666666667;1.397;4.183333333333334;1.397;2.794
30965828;3738278157;1.1666666666666665;0.503;1.2;0.503;1.006
30965828;1005309702;6.45;1.8829999999999993;5.783333333333333;1.8829999999999993;3.7659999999999987
4436951108;4293677040;7.916666666666667;3.1379999999999986;8.049999999999999;3.1379999999999986;6.275999999999997
4436951108;3738278157;7.9;2.842;7.95;2.842;5.684
4436951108;1005309702;14.883333333333347;4.947999999999994;14.90000000000001;4.947999999999995;9.895999999999988
4436951109;4293677040;8.966666666666667;3.3739999999999983;8.299999999999999;3.3739999999999983;6.747999999999997
4436951109;3738278157;8.950000000000001;3.078;8.200000000000001;3.078;6.156
