district,bank_dist,courthouse_dist,hospital_dist,marketplace_dist,police_dist,school_dist,university_dist
ancon,7.704447814306899,,5.695013664936993,2.781385619347664,6.068906530392881,1.3407388758339536,
ate,2.273454601920239,8.999862016662505,2.4115226021399585,1.1663787938818306,2.2772372388390067,0.5455570193812898,6.032080250153742
barranco,0.7356401547277936,,,1.0253151461318046,0.9772364114583325,0.49367882658959505,1.027768020057306
bellavista,1.2028006567796616,,0.8939813008474582,0.7584404858757062,0.9043041864406779,0.6023010395480227,1.1651408772919618
breña,0.7328556530172423,,1.4767632056277056,0.5747393181818181,0.8963989437229438,0.31125712526997823,1.4308699372294373
callao,1.7122539303987974,5.935605421309327,4.040175088913898,0.8789955576054227,1.4240471922716227,0.5566432557568897,3.5089916614143593
carabayllo,5.086769965025752,5.297591713518256,7.4523231243284815,3.4475874364653083,3.441471594781269,0.7070129940763501,
carmen_de_la_legua_reynoso,1.0514257652811732,1.0463874058679705,1.2121210537897307,0.43068636674816624,0.6395916381418095,0.3522511589242053,
chaclacayo,3.1682310096551767,3.3499866000000003,3.6769555655172397,1.2771547751724137,1.6578046110344828,0.6530607655172416,
chorrillos,1.55219528847185,,2.331346437533518,0.7988174796246661,1.494011729758713,0.439221396246647,2.697284808579087
cieneguilla,,,,4.5572711764350435,6.234099547432025,3.801999833836861,
comas,1.2351116469651338,,1.9413993066713824,0.6894229373562208,1.6405148069368267,0.3131480375154845,3.5739663767474785
el_agustino,1.6527636885813155,,1.488830328027681,0.8246489543252592,0.753834144636678,0.29618339735560206,2.181050952941181
independencia,1.294223216080402,2.3024189236180894,2.3227382989949756,0.5921760522613069,1.1124021743718597,0.3294299216080405,2.482976848241205
jesus_maria,0.5932983292433541,,0.8621978553971491,1.0660744221311478,1.3189465491803274,0.4757381478439431,0.6742668155737707
la_molina,1.177299043078054,5.080109432253319,4.377883878129597,2.068177563696608,2.4794006262886565,0.6745147717231224,1.3941663843888117
la_perla,0.7693454250814328,1.3580782377850165,2.2183042931596084,0.8784849169381105,0.8517661449511398,0.4552928325203253,
la_punta,0.4700214000000001,,,0.4700214000000001,0.44315135294117664,0.30336932,0.7667682
la_victoria,0.5183562890007191,,2.377159973482202,0.8069041758548512,0.8794611360781581,0.3954084912770405,1.7094244347522718
lima,0.9963020370218026,3.3497297207392207,1.5150733368896172,0.8816612051498514,0.9272518837782341,0.4259409909240918,1.3193672943861259
lince,0.4577231653116534,1.218553937499999,1.1744177635869562,0.6971114320652174,1.2863395760869565,0.4501675876010782,0.9897336250000001
los_olivos,1.0819369883477727,,3.1765868987152683,0.8490920379444267,1.6561135691664184,0.36354277001194807,2.3369537962354374
