14;30962252;1428107867;(6.15, 2.121)
33;30962333;1008299793;(7.783333333333333, 2.921)
56;30962462;30962461;(4.216666666666667, 1.108)
184;30963982;4429994172;(11.366666666666667, 4.985)
984;30970889;3269170218;(7.85, 3.356)
3972;960976276;960976345;(-1, -1)
3973;960976276;306148951;(-1, -1)
3974;960976276;10809804621;(-1, -1)
3975;960976345;966454560;(-1, -1)
3976;960976345;960976276;(-1, -1)
3977;960976345;10809865696;(-1, -1)
4143;966454560;960976345;(-1, -1)
4639;968141510;968344963;(-1, -1)
4640;968141510;968141414;(-1, -1)
4641;968141510;968141877;(-1, -1)
4642;968141877;968141510;(-1, -1)
4643;968344963;968141510;(-1, -1)
5533;1005841881;30970881;(9.433333333333334, 4.407)
5753;1008299890;30984120;(18.383333333333333, 5.105)
6105;1428107847;3709406593;(6.633333333333334, 2.313)
6453;1428480868;1008299839;(5.8, 2.321)
7331;2357205669;31001239;(21.0, 7.232)
7360;2380187679;3094469342;(-1, -1)
7361;2380187679;2380187360;(-1, -1)
7362;2380187679;6238091445;(-1, -1)
7365;2389897498;2389897501;(43.06666666666667, 17.698)
8000;3094469145;3094469342;(-1, -1)
8001;3094469145;6248072470;(-1, -1)
8002;3094469145;6238084280;(-1, -1)
8003;3094469342;2380187679;(-1, -1)
8004;3094469342;3094469145;(-1, -1)
8005;3094469342;3094469411;(-1, -1)
8006;3094469411;3094469497;(-1, -1)
8007;3094469411;3094469342;(-1, -1)
8008;3094469411;6248017507;(-1, -1)
8009;3094469482;3094469487;(-1, -1)
8010;3094469482;3094469497;(-1, -1)
8011;3094469482;6254368852;(-1, -1)
8012;3094469487;3094469500;(-1, -1)
8013;3094469487;3094469482;(-1, -1)
8014;3094469487;6254368829;(-1, -1)
8015;3094469497;3094469482;(-1, -1)
8016;3094469497;3094469411;(-1, -1)
8017;3094469497;7426611408;(-1, -1)
8018;3094469500;3094469503;(-1, -1)
8019;3094469500;3094469487;(-1, -1)
8020;3094469500;6254368832;(-1, -1)
8021;3094469500;6254368833;(-1, -1)
8022;3094469503;6254368835;(-1, -1)
8023;3094469503;3094469500;(-1, -1)
8024;3094469503;6254368829;(-1, -1)
8025;3094469503;6254368833;(-1, -1)
8026;3094469508;6254368838;(-1, -1)
8027;3094469508;6254368842;(-1, -1)
8028;3094469508;6254368850;(-1, -1)
8029;3094469714;3094469717;(-1, -1)
8030;3094469714;3094469717;(-1, -1)
8031;3094469714;6254368870;(-1, -1)
8032;3094469717;3094616289;(-1, -1)
8033;3094469717;3094469714;(-1, -1)
8034;3094469717;3094469714;(-1, -1)
8055;3121102155;5700455262;(-1, -1)
8056;3121102155;5700455266;(-1, -1)
8057;3121102155;5700455265;(-1, -1)
8058;3121102170;5700455262;(-1, -1)
8059;3121102170;7374661021;(-1, -1)
8060;3121102170;5700455265;(-1, -1)
8229;3225964529;7571804855;(15.05, 6.531)
8418;3244051183;3244051184;(7.783333333333333, 3.269)
8596;3269164702;3269164680;(7.5, 2.794)
10644;3707279902;3707279920;(12.616666666666667, 5.48)
10667;3707279915;3707279912;(12.833333333333334, 5.613)
10893;3709350237;3707265229;(7.35, 2.4)
11594;3797189174;3797189169;(7.55, 2.864)
11601;3815603266;5600851101;(10.35, 5.735)
12931;4427726893;4427726894;(7.783333333333333, 3.09)
13529;4429072309;4429072310;(17.633333333333333, 11.313)
15836;4703660450;967571214;(16.383333333333333, 8.924)
16337;5078138703;4427167542;(12.733333333333333, 6.674)
16943;5599321954;4365465319;(13.4, 5.959)
17901;5600851083;5600851084;(9.1, 4.154)
17975;5600851190;5600851191;(14.816666666666666, 8.294)
18202;5600924454;5600924460;(11.916666666666666, 5.754)
19359;5700455262;3121102170;(-1, -1)
19360;5700455262;3121102155;(-1, -1)
19361;5700455262;7438351786;(-1, -1)
19362;5700455265;3121102155;(-1, -1)
19363;5700455265;5700455266;(-1, -1)
19364;5700455265;3121102170;(-1, -1)
19365;5700455266;3121102155;(-1, -1)
19366;5700455266;3121101848;(-1, -1)
19367;5700455266;5700455265;(-1, -1)
19527;5755115838;6247334584;(-1, -1)
19528;5755115838;6247335397;(-1, -1)
19529;5755115838;4435313387;(-1, -1)
19844;6193842618;6206852095;(-1, -1)
19845;6193842618;10789356470;(-1, -1)
19846;6193842618;6206850271;(-1, -1)
19897;6199445439;11047357300;(-1, -1)
19899;6202069639;6238084280;(-1, -1)
20015;6206850271;6206851803;(-1, -1)
20016;6206850271;6193842618;(-1, -1)
20017;6206850271;6193842950;(-1, -1)
20018;6206851803;6206850271;(-1, -1)
20019;6206852095;6193842618;(-1, -1)
20624;6238084280;6238203419;(-1, -1)
20625;6238084280;6202069639;(-1, -1)
20626;6238084280;3094469145;(-1, -1)
20627;6238091445;2380187679;(-1, -1)
20775;6238179887;6238179775;(10.816666666666666, 3.704)
20814;6238203419;6238084280;(-1, -1)
20833;6238246984;6238246985;(-1, -1)
20834;6238246984;6238246990;(-1, -1)
20835;6238246984;10774968495;(-1, -1)
20836;6238246985;6238246984;(-1, -1)
20837;6238246985;10774913065;(-1, -1)
20838;6238246985;6238246992;(-1, -1)
20842;6238246991;6238246990;(-1, -1)
20843;6238246991;6238246981;(-1, -1)
20844;6238246991;6238246992;(-1, -1)
20845;6238246992;6238246985;(-1, -1)
20846;6238246992;6238246991;(-1, -1)
20847;6238246992;10774913065;(-1, -1)
20964;6242650715;6242650065;(-1, -1)
21018;6248017507;3094469411;(-1, -1)
21019;6248072470;3094469145;(-1, -1)
21020;6248072470;4928113446;(-1, -1)
