distrito,bank,courthouse,hospital,marketplace,police,school,university,mean,kmeans
SANTA_MARIA_DEL_MAR,12864.18556,12864.18556,12864.18556,12864.18556,40.81950479187168,3.2814068124595397,12864.18556,9195.004101657762,Cluster 3
SANTA_ROSA,12864.18556,12864.18556,225.75759444477103,195.42933745704624,112.86642137047177,128.8253668834913,12864.18556,5607.919342879397,Cluster 0
SANTIAGO_DE_SURCO,72.31399671492663,12864.18556,439.6964813472662,168.4682242579729,120.56567654594788,56.35336247194685,64.8485091127343,1969.490258635828,Cluster 2
SAN_BARTOLO,12864.18556,12864.18556,12864.18556,12864.18556,95.93076711356652,22.64319602378622,12864.18556,9205.643109019622,Cluster 3
SAN_BORJA,98.95539788040955,12864.18556,512.661275616828,642.1310243927508,276.6116100960962,94.8148686211958,492.3000396270408,2140.237110890617,Cluster 2
SAN_ISIDRO,76.56157590437238,258.0858290465789,542.8106798817132,511.5234693826448,337.47006150917014,76.69472353424581,224.7544638778627,289.70011473379833,Cluster 1
SAN_JUAN_DE_LURIGANCHO,135.26740412056571,23.40195518863905,203.1476683986869,104.44664730608534,251.91357253920745,24.717537492505585,273.45878931610724,145.19336776597106,Cluster 1
SAN_JUAN_DE_MIRAFLORES,285.22829573485404,12864.18556,388.3215138210669,159.75068511880775,324.0445875748077,47.4066713434019,450.7181475513983,2074.2364944491915,Cluster 2
SAN_LUIS,198.440529152197,12864.18556,613.0512687619523,206.6497901633091,119.93163723441799,109.86531258311838,0.0027001080466616608,2016.0181140004345,Cluster 2
SAN_MARTIN_DE_PORRES,613.2773229484602,3108.4043983845118,700.9390129693892,155.47337169743264,2212.042291081591,67.54566730687569,1614.7070328679424,1210.341299608029,Cluster 1
SAN_MIGUEL,366.6702379011472,12864.18556,173.23900507858397,962.3240572943566,1063.7328931595168,102.26293843777121,1106.766949732284,2377.0259488005227,Cluster 2
SURQUILLO,236.4631948513477,33.97196177201933,0.005241729267890192,198.08533873392085,188.01898922716308,54.25490801225221,751.1914514209811,208.85586939242174,Cluster 1
VENTANILLA,12864.18556,12864.18556,355.46769233025185,1772.8926633852136,1762.1157259261295,522.7384579458509,12864.18556,6143.681602798207,Cluster 0
VILLA_EL_SALVADOR,139.10311729207126,121.04542808497021,230.39683570644482,128.58025621215356,51.747906477531785,35.19732195716187,108.05964578897922,116.30435878847324,Cluster 1
VILLA_MARIA_DEL_TRIUNFO,187.65736736557938,143.03171068373453,77.70120852572998,167.47955898933805,688.8178968198569,75.3842688432299,496.5882486916346,262.38003713130047,Cluster 1
