osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
1746796546,4,,,POINT (-76.97923710000001 -12.0449597),437855139,0.0030537018679999465
4284776453,4,,,POINT (-77.0198858 -12.2007022),6695199631,0.06756001035198292
4200497160,3,,,POINT (-77.094624 -12.0622377),465071802,0.03997452840875034
5497389066,3,,,POINT (-76.8093762 -12.0237946),487183431,0.06129887008975342
1746796556,4,,,POINT (-76.97493590000001 -12.0452296),437855139,0.004601561917179559
4335599630,3,,,POINT (-77.0275785 -12.119051),437675773,0.018001432970321155
3738206223,4,,,POINT (-76.9170251 -11.9755075),438029702,0.06198816750423174
1482227728,3,,,POINT (-76.9879186 -12.0666517),4818433021,0.01449637906133796
5986648082,3,,,POINT (-76.8963775 -12.2283038),458599264,0.0159834229587312
1273757715,4,,,POINT (-76.9124822 -12.2086264),458599264,0.027301942617436754
1482227733,4,,,POINT (-76.9893649 -12.0620764),4818433021,0.018683176290179335
1482227734,4,,,POINT (-76.9938308 -12.0622365),4818433021,0.02187193887267236
1674117145,3,,,POINT (-76.9500695 -12.2020712),5145408791,0.0025285213248046915
821755929,4,,,POINT (-77.0062954 -12.0178307),5519669522,0.012075847773963293
1674117147,3,,,POINT (-76.9505516 -12.2012952),5145408791,0.0017689236162127875
1482227739,4,,,POINT (-76.995155 -12.0638085),4818433021,0.022038003758277247
1674117149,3,,,POINT (-76.949607 -12.2028501),5145408791,0.003351890667962227
1746796572,3,,,POINT (-76.9774705 -12.0464091),437855139,0.004420697411862182
1746796575,4,,,POINT (-76.9793056 -12.0465856),437855139,0.004639845817558917
3993075744,3,motorway_junction,,POINT (-76.9750526 -12.0547755),437855139,0.013115217058211785
1482227746,4,,,POINT (-76.993627 -12.0601419),4818433021,0.023073916664712625
1482227752,4,,,POINT (-76.993681 -12.0606892),4818433021,0.02274775485756314
1746796586,4,,,POINT (-76.9809176 -12.0465864),437855139,0.005240324121623265
1482227757,3,,,POINT (-76.99286909999999 -12.0640071),4818433021,0.02003776021414949
1482227759,4,,,POINT (-76.9935728 -12.0595921),437855139,0.02326735471946139
1482227761,3,,,POINT (-76.98944849999999 -12.0640892),4818433021,0.01732654540899153
1746796594,3,,,POINT (-76.98007 -12.0468321),437855139,0.005097161126556104
4724817987,3,,,POINT (-76.9767379 -12.1300228),408686631,0.036851316276923604
197656644,3,,,POINT (-77.0359239 -12.1267246),5527853721,0.018691347204520505
197656646,4,,,POINT (-77.03590269999999 -12.1260125),5527853721,0.018142090905132535
197656647,4,,,POINT (-77.035886 -12.1249702),5527853721,0.017350180919225237
197656648,4,,,POINT (-77.03588310000001 -12.1243763),5527853721,0.016906676288667936
847511626,3,,,POINT (-77.0949877 -12.0309177),465071802,0.022799063907868938
1273528397,3,,,POINT (-76.87292840000001 -12.0991282),438029702,0.0944078938463002
1273528398,4,,,POINT (-76.90954120000001 -12.1962499),458599264,0.03961462929311221
847511631,3,,,POINT (-77.09600759999999 -12.0329692),465071802,0.024059232882899156
1273462861,4,,,POINT (-76.99100230000001 -12.2011099),6695199631,0.03867906108297661
1938227287,3,,,POINT (-76.9868484 -12.0192056),437855139,0.02441188675123046
6415319128,1,,,POINT (-76.8194919 -12.333688),5364271522,0.10441037985013439
427589721,4,,,POINT (-77.1125693 -11.996814),465071802,0.05164685857617331
847511646,4,,,POINT (-77.08634360000001 -12.0309514),465071802,0.014203374152935617
391020638,4,,,POINT (-77.0131319 -12.1398036),437675773,0.03818043898890054
6415319136,3,,,POINT (-76.8188809 -12.3349038),5364271522,0.10572434703288576
391020639,4,,,POINT (-77.013805 -12.1392387),437675773,0.03749648403950838
4785274979,3,,,POINT (-76.870014 -12.1021417),3949420739,0.09840772550491521
4785274985,3,,,POINT (-76.8715806 -12.0995186),438029702,0.09564529099898726
1746075767,4,,,POINT (-76.9453322 -12.0252412),438029702,0.009234606563360627
1951268989,4,,,POINT (-77.0108256 -11.9937099),5519669522,0.014304690017610736
1273692286,3,,,POINT (-76.9729071 -12.1936219),6695199631,0.021752984854960567
4356276356,3,,,POINT (-76.9777239 -12.0465183),437855139,0.004490109632472705
4785275019,3,,,POINT (-76.8733982 -12.1057199),3949420739,0.09630590554421277
3335028877,4,,,POINT (-77.0538719 -12.0751143),4469386913,0.020214965070712698
3501097102,3,,,POINT (-77.0591577 -11.9924677),301604752,0.0036597213085279093
4785275024,4,,,POINT (-76.87226769999999 -12.1049003),3949420739,0.09710558391071673
1273626773,4,,,POINT (-76.96684070000001 -12.1391048),408686631,0.023722931605664372
2846425237,3,,,POINT (-77.1087844 -12.0601805),465071802,0.04795546365264473
3738206362,4,,,POINT (-76.9169218 -11.9766777),438029702,0.06094450739846161
639107227,4,,,POINT (-77.0677008 -12.078234),4469386913,0.03328445415099575
1746075803,4,,,POINT (-76.9476275 -12.0255973),438029702,0.010410306085637078
1369043001,3,,,POINT (-77.01403380000001 -12.0506524),4502742822,0.016754090440842556
133922977,4,,,POINT (-77.0323439 -12.1257412),5527853721,0.02036355274012698
627835042,4,,,POINT (-77.1215736 -12.0716412),465071802,0.06512427841480468
627835043,4,,,POINT (-77.1223047 -12.0729262),465071802,0.0665190461149935
133922980,4,,,POINT (-77.03173769999999 -12.1259895),5527853721,0.02097712209551454
4927553711,3,,,POINT (-77.0256431 -12.075558),4469386913,0.010418643102635768
5583110321,3,,,POINT (-77.0607483 -12.0042417),808969919,0.006624967404681237
1273790642,4,,,POINT (-76.9269166 -12.2000189),5145408791,0.02533906910385332
1746075826,4,,,POINT (-76.94761219999999 -12.0257511),438029702,0.010291053473707904
4948000948,4,,,POINT (-76.9803177 -12.1705066),408686631,0.028461839183119217
1746075828,4,,,POINT (-76.9500963 -12.0261323),438029702,0.011964957021566736
842596534,4,,,POINT (-77.0534396 -11.9981801),808969919,0.0040023645630989126
3738206393,4,,,POINT (-76.9168152 -11.9778837),438029702,0.05987405574487166
4329570490,4,,,POINT (-77.15457139999999 -11.7849227),679438717,0.164593874855382
1273462969,3,,,POINT (-77.0917975 -11.9556031),301604752,0.0463385027868627
842596538,3,,,POINT (-77.0525428 -11.9981741),808969919,0.004897098753488636
3740696772,3,,,POINT (-76.8735173 -12.2100957),458599264,0.04504039239340589
842596549,4,,,POINT (-77.0525456 -11.9977205),808969919,0.004946048968846753
3740696777,3,,,POINT (-76.87491319999999 -12.2118586),458599264,0.04289200335395748
4948000970,3,,,POINT (-76.9803313 -12.1709561),408686631,0.02865604345311123
3740696779,3,,,POINT (-76.8755044 -12.2123817),458599264,0.042109458469837026
1273921739,4,,,POINT (-77.09739639999999 -12.0591705),465071802,0.039189273375196364
3738206411,4,,,POINT (-76.9165983 -11.9785528),438029702,0.05934525610272676
263389391,4,traffic_signals,,POINT (-77.0527302 -12.0759211),4469386913,0.018893073833548796
263389392,4,traffic_signals,,POINT (-77.0519232 -12.0749363),4469386913,0.018417056899519252
263389393,4,traffic_signals,,POINT (-77.0511095 -12.0739505),4469386913,0.01801282267413437
263389394,4,traffic_signals,,POINT (-77.050257 -12.0729814),4469386913,0.01764974907498788
821756112,4,,,POINT (-77.0047046 -12.0173985),5519669522,0.012707135372694573
