osmid,street_count,highway,ref,geometry,police_osmid,police_dist,police_nearestnode
662164651,4,,,POINT (-77.00324259999999 -12.0519545),805284122,0.005499640649915843,1368673119
1572590766,4,,,POINT (-76.86968469999999 -12.1983106),8547110884,0.031530231120308234,1273456988
316069045,3,,,POINT (-77.001113 -12.1293489),434800848,0.0028207960291314533,4354621323
662164662,4,,,POINT (-77.0033145 -12.0519204),805284122,0.005423202777212888,1368673119
309580982,4,,,POINT (-77.1299726 -12.0648129),319641192,0.03747484472856871,317337823
263410878,4,,,POINT (-77.03128959999999 -12.0752485),4567986076,0.0028050856956540085,1658531432
1572590785,3,,,POINT (-76.8123203 -12.1196051),8539691591,0.0038926411522268727,1571640988
4358198465,4,,,POINT (-77.0128636 -12.0624285),438080051,0.0015163889748995149,791159985
4112831683,3,,,POINT (-77.1241608 -12.0410047),319641192,0.04246249357456597,317337823
4112831688,3,,,POINT (-77.1232833 -12.0413198),319641192,0.04160365659750477,317337823
627823820,4,,,POINT (-77.120318 -12.0675279),319641192,0.02758880008239746,317337823
3739702478,3,,,POINT (-77.1338274 -11.847477),4553175289,0.0215008736752777,1617053872
3743601874,3,,,POINT (-76.89423530000001 -12.2250491),426608672,0.01606894287030369,6295153243
3743601877,4,,,POINT (-76.89547570000001 -12.2268693),426608672,0.01405521886870338,6295153243
3978876122,3,,,POINT (-77.0605003 -12.0122701),319098935,0.011395825603377449,3672842946
3978876123,3,motorway_junction,13,POINT (-77.0605231 -12.0120726),319098935,0.0114447252354024,3672842946
3743601884,3,,,POINT (-76.8937564 -12.2259868),426608672,0.015985616190987154,6295153243
1273451742,4,,,POINT (-76.97970410000001 -12.0675436),4818236224,0.01151286339926425,9257947583
4876522723,4,traffic_signals,,POINT (-77.0185111 -12.1078351),803214715,0.0013122426338120965,262573483
4876522724,3,traffic_signals,,POINT (-77.0185503 -12.1057301),803214715,0.00340144443582254,262573483
1572590820,4,,,POINT (-76.90241380000001 -12.214647),319742112,0.008026652106550375,3759224176
2761151715,3,,,POINT (-76.9811179 -12.157519),437883950,0.005773820741429171,317338928
