u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,ref,bridge,access,junction,tunnel,width
1482227752,1482227746,0,315560289,True,Avenida Los Rosales,tertiary,61.14,"LINESTRING (-76.993681 -12.0606892, -76.993627 -12.0601419)",40,,,,,,,
1746796586,1746796594,0,111937738,True,Calle Maria Parado de Bellido,residential,97.33500000000001,"LINESTRING (-76.9809176 -12.0465864, -76.98057470000001 -12.0467524, -76.98033119999999 -12.0468083, -76.98007 -12.0468321)",,,,,,,,
1482227757,1481057336,0,134751552,True,Avenida Nicolás de Ayllón,primary,121.985,"LINESTRING (-76.99286909999999 -12.0640071, -76.993945 -12.06391, -76.9939856 -12.0639024)",60,4,,,,,,
1482227759,5434216044,0,315560289,True,Avenida Los Rosales,tertiary,63.851,"LINESTRING (-76.9935728 -12.0595921, -76.9935136 -12.0590208)",40,,,,,,,
1482227761,1482176502,0,"[134751552, 321573417]",True,Avenida Nicolás de Ayllón,primary,256.59,"LINESTRING (-76.98944849999999 -12.0640892, -76.98968429999999 -12.0641236, -76.9899283 -12.0641593, -76.99050440000001 -12.0642009, -76.99059509999999 -12.0641994, -76.99071290000001 -12.0641955, -76.9917963 -12.0640945)","['60', '40']",4,,,,,,
1482227761,1273935156,0,321573419,True,Jirón Sicaya,residential,157.071,"LINESTRING (-76.98944849999999 -12.0640892, -76.98945430000001 -12.0631673, -76.98942150000001 -12.0626777)",,,,,,,,
1746796594,1746796575,0,111937738,True,Calle Maria Parado de Bellido,residential,87.983,"LINESTRING (-76.98007 -12.0468321, -76.97988290000001 -12.0468045, -76.9797004 -12.0467493, -76.9793056 -12.0465856)",,,,,,,,
4724817987,3788360425,0,479364447,True,Jirón Cerro Lindo,primary,89.62100000000001,"LINESTRING (-76.9767379 -12.1300228, -76.97676490000001 -12.129979, -76.9767786 -12.1298169, -76.9767885 -12.129757, -76.9768048 -12.1297284, -76.9768414 -12.1297089, -76.9771993 -12.1296446, -76.97724940000001 -12.1296456, -76.97730300000001 -12.1296551)",40,2,,,,,,
4724817987,472558250,0,"[315218162, 643463355]",True,"['Avenida Defensores de Lima', 'Cristobal de Peralta Sur']","['secondary', 'primary']",89.708,"LINESTRING (-76.9767379 -12.1300228, -76.97670479999999 -12.1299836, -76.9767054 -12.1299292, -76.97669399999999 -12.1298446, -76.97667420000001 -12.1297956, -76.9766661 -12.1297348, -76.97666890000001 -12.1292326)","['60', '50']",2,,,,,,
197656644,4336162673,0,405157358,True,Calle Bolognesi,secondary,13.196,"LINESTRING (-77.0359239 -12.1267246, -77.0359196 -12.126606)",30,2,,,,,,
197656646,197656647,0,653657560,True,Calle Bolognesi,secondary,115.913,"LINESTRING (-77.03590269999999 -12.1260125, -77.035886 -12.1249702)",40,2,,,,,,
197656647,197656648,0,653657560,True,Calle Bolognesi,secondary,66.04,"LINESTRING (-77.035886 -12.1249702, -77.03588310000001 -12.1243763)",40,2,,,,,,
847511626,1749116835,0,336833674,True,Avenida Paseo Quilca,secondary,62.034,"LINESTRING (-77.0949877 -12.0309177, -77.09521359999999 -12.0313585, -77.0952485 -12.0314136)",,2,,,,,,
1273528397,6944085850,0,741784607,False,Avenida La Unión,tertiary,10.837,"LINESTRING (-76.87292840000001 -12.0991282, -76.8730264 -12.0991104)",,2,,,,,,
1273528397,4785274985,0,741784607,False,Avenida La Unión,tertiary,152.834,"LINESTRING (-76.87292840000001 -12.0991282, -76.8715806 -12.0995186)",,2,,,,,,
