osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist,bank_nearestnode
1412832037,4,,,POINT (-76.9709739 -12.1427564),5010414115,0.005265677340100736,1795359953
1412832039,3,,,POINT (-76.9746562 -12.1427839),4422891290,0.00412917485703725,1412831734
1273864913,3,,,POINT (-77.0609394 -12.0878357),436311989,0.004603589200715538,6131131883
5079898925,4,,,POINT (-76.842102 -11.9731903),457362186,0.04242653874175923,4378173899
1412832046,4,,,POINT (-76.9712981 -12.1430634),5010414115,0.005275187690499864,1795359953
1412832047,3,,,POINT (-76.9750002 -12.1430931),4422891290,0.004346052889691519,1412831734
2469993266,3,motorway_junction,14A,POINT (-77.0613219 -12.0082025),3604565389,0.0011170722089460007,2469993750
5079898931,3,,,POINT (-76.84303850000001 -11.9755889),457362186,0.040552625504025774,4378173899
1412832058,3,,,POINT (-76.9716523 -12.1433884),5010414115,0.005334865075149016,1795359953
1412832061,3,,,POINT (-76.97534039999999 -12.1433989),4422891290,0.004596403137236468,1412831734
6013983551,5,,,POINT (-76.94233199999999 -12.0334759),4949862124,0.00909242809649924,1577492163
1412832065,3,,,POINT (-76.97199740000001 -12.1436848),5010414115,0.00544445603711465,1795359953
1412832068,3,,,POINT (-76.9738329 -12.1436619),4422891290,0.00523491606904601,1412831734
1412832071,4,,,POINT (-76.9756864 -12.143704),4422891290,0.004876005193803277,1412831734
2469993288,3,,,POINT (-77.0604889 -12.0082346),3604561616,0.0006429247934149298,289365895
1775377228,3,,,POINT (-76.90166670000001 -12.0385461),7516064786,0.022305543606912445,1575898153
5079898958,3,,,POINT (-76.8430915 -11.9757438),457362186,0.040431294608775536,4378173899
1412832083,4,,,POINT (-76.9704484 -12.1440378),5010414115,0.00399170313775803,1795359953
5079898966,3,,,POINT (-76.8419289 -11.9762205),457362186,0.03954238991595644,4378173899
5079898969,3,,,POINT (-76.8420898 -11.97723),457362186,0.038671124291452745,4378173899
1412832092,4,,,POINT (-76.9727245 -12.1442924),5010414115,0.005793555078706468,1795359953
5079898976,3,,,POINT (-76.8425324 -11.9760911),457362186,0.03989251967572595,4378173899
5079898977,3,,,POINT (-76.84227610000001 -11.9761524),457362186,0.039737167616682126,4378173899
5079898979,3,,,POINT (-76.84246090000001 -11.9771369),457362186,0.03890235469712208,4378173899
1412832103,3,,,POINT (-76.9730275 -12.1445462),5010414115,0.005977266486449001,1795359953
4374207335,4,,,POINT (-77.15458099999999 -11.8168318),4347967864,0.022348993137274162,4346787536
1977031528,4,,,POINT (-76.9963137 -11.9665352),4354767107,0.003471778708384341,824237896
1412832106,4,,,POINT (-76.9711326 -12.1446478),5010414115,0.004207674020174194,1795359953
1273699183,4,,,POINT (-76.9608834 -12.0570823),562790868,0.0038811169444424695,471062020
315562867,3,,,POINT (-76.98214249999999 -12.0852682),5836647683,0.0053288695320782686,2520610551
1412832115,4,,,POINT (-76.9767435 -12.1447536),4030079141,0.004869136010628407,3225907885
825400182,3,,,POINT (-77.055424 -11.9977328),4439657893,0.0009245964849607242,4455867818
1412832124,4,,,POINT (-76.9718335 -12.1452508),5010414115,0.004617581801120613,1795359953
4200864642,4,traffic_signals,,POINT (-77.13138739999999 -11.9440749),5064733757,0.04456787935363393,1381308807
2148965253,3,,,POINT (-76.9108562 -11.9801357),7866344385,0.029421017551581705,5022418626
4200864650,4,traffic_signals,,POINT (-77.13137860000001 -11.9439511),5064733757,0.04456264182879015,1381308807
4442102670,3,,,POINT (-76.94815869999999 -12.1484958),7027416494,0.01258573660816577,1715696609
4442102671,3,,,POINT (-76.9485024 -12.1485089),7027416494,0.012401554656174695,1715696609
1412832142,3,,,POINT (-76.9732013 -12.1464562),5010414115,0.0057700360804776715,1795359953
1273961363,3,,,POINT (-77.1366886 -12.0230214),7335358985,0.04270593983159207,847511626
821664660,4,,,POINT (-77.0150577 -12.0290708),1863374482,0.00782216795588665,821389381
1273830294,4,,,POINT (-76.9419891 -11.9786083),7866344385,0.004941529969550253,5022418626
273423255,4,,,POINT (-77.0756148 -11.9719039),5090368821,0.007811051484919981,5043583248
273423256,4,,,POINT (-77.07261250000001 -11.9720345),4422580277,0.008942343495977905,549107324
273423258,4,,,POINT (-77.0724629 -11.9720137),4422580277,0.008833977894474116,549107324
1412832161,4,,,POINT (-76.9764995 -12.1523496),4353258689,0.0043687406537829135,3238752136
1941642148,3,,,POINT (-76.9981272 -12.0120595),437360394,0.0044319675800400605,493839484
1412832165,3,,,POINT (-76.9762849 -12.152528),4353258689,0.0041009242202174525,3238752136
273423285,4,,,POINT (-77.07601219999999 -11.9720028),5090368821,0.007437103947780322,5043583248
4226751412,4,,,POINT (-77.01865549999999 -12.1912468),512156980,0.0020711936154210898,4226751425
5714320315,3,,,POINT (-77.0306502 -11.9151344),4341706097,0.0009040835359589828,1366343981
4442102719,3,,,POINT (-76.94527429999999 -12.1483064),7027416494,0.014425287043596462,1715696609
4226751425,3,,,POINT (-77.0197998 -12.193216),512156980,0.0002618192363077319,4226751425
2022120386,4,,,POINT (-77.058404 -12.0806021),436270969,0.00336002782590206,1943098881
4442102721,3,,,POINT (-76.9457409 -12.1483334),7027416494,0.014106658019883537,1715696609
2022120385,3,,,POINT (-77.07959940000001 -12.0468025),435189148,0.009350534642502272,4263651409
5079899077,4,,,POINT (-76.84193740000001 -11.9728742),457362186,0.0426645625226566,4378173899
2166922184,3,,,POINT (-76.9608599 -12.1555414),4352901055,0.0011532529340980955,2166922184
824253389,4,,,POINT (-76.9932802 -11.9719208),4354767107,0.002933975304940569,824237896
4334525393,3,,,POINT (-77.03371780000001 -12.0891463),436465801,0.0020794522359595113,263113589
1273764819,4,,,POINT (-76.9241332 -12.2464922),4749883422,0.006732840141426236,1245526414
4226751444,3,,,POINT (-77.0234286 -12.1958443),512156980,0.004617740999922765,4226751425
4226751443,3,,,POINT (-77.0229968 -12.1956554),512156980,0.004164506642134022,4226751425
4332723158,4,,,POINT (-77.0560536 -12.055912),4332723152,0.0027027458630017077,679644542
4226751446,3,,,POINT (-77.0242722 -12.1962396),512156980,0.005527527714295843,4226751425
4226751447,4,,,POINT (-77.0246963 -12.1964441),512156980,0.005990798362683354,4226751425
824253398,3,,,POINT (-76.99224049999999 -11.9715524),4354767107,0.0030115037373438965,824237896
4226751455,4,,,POINT (-77.02729960000001 -12.1976774),512156980,0.008840265222960797,4226751425
