osmid,geometry,NN,NN_dist,bank_distance,bank_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
2380187296,POINT (-72.030038 -13.5619582),8051767627,0.0398654640251423,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2380187360,POINT (-72.0248729 -13.566183),8051767627,0.0355807692666979,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2380187456,POINT (-72.0257635 -13.5679751),8051767627,0.0369296396998313,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2380187476,POINT (-72.0261393 -13.5684695),8051767627,0.0374360197221794,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2380187679,POINT (-72.0204187 -13.5783121),8051767627,0.0366955682174193,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2988706779,POINT (-72.069174 -13.5721786),1703384891,0.0789501581506392,4558.582,0.0330016568144614,9780.311,0.0507948744816333,10043.368,0.0541457832818037,4585.053000000001,0.0338933111894587,4970.289000000002,0.0278254121387193,1893.071,0.0112689035123112,10267.755,0.0532000972108094,CCORCA
2988706793,POINT (-72.0694485 -13.5748047),8051767627,0.0809380040712518,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2988707181,POINT (-72.0596031 -13.58314),8051767627,0.0738727273586795,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
2988707196,POINT (-72.0589245 -13.5838521),8051767627,0.0734941534461054,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3001434193,POINT (-72.0783518 -13.5449569),2389897521,0.0601590970747538,,0.0494693192887257,,0.0682779321916578,,0.0713058817821569,,0.0503338085827799,,0.0443640992752014,7.563,0.0006005130223467,,0.0702418031819394,CCORCA
3001434200,POINT (-72.0768729 -13.5459777),2389897521,0.0602071935291782,,0.0494693192887257,,0.0682779321916578,,0.0713058817821569,,0.0503338085827799,,0.0443640992752014,7.563,0.0006005130223467,,0.0702418031819394,CCORCA
3001434205,POINT (-72.0765627 -13.5481102),2389897521,0.0618615912085184,,0.0494693192887257,,0.0682779321916578,,0.0713058817821569,,0.0503338085827799,,0.0443640992752014,7.563,0.0006005130223467,,0.0702418031819394,CCORCA
3001434711,POINT (-72.0693229 -13.60319),8051767627,0.0913314232868929,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3001434716,POINT (-72.0674826 -13.6037325),8051767627,0.0900270833016929,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3001434720,POINT (-72.0695813 -13.6044429),8051767627,0.0921915716288563,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3001434724,POINT (-72.0666625 -13.6049979),8051767627,0.0899934691550464,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3001434961,POINT (-72.064092 -13.6258693),8051767627,0.1007389192332812,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469145,POINT (-72.0438496 -13.5982852),8051767627,0.067416467629946,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469342,POINT (-72.0422594 -13.6007507),8051767627,0.0677262996202373,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469411,POINT (-72.0427385 -13.6026514),8051767627,0.0693268891239845,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469482,POINT (-72.0465632 -13.604862),8051767627,0.0736676090581121,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469487,POINT (-72.0456756 -13.6050189),8051767627,0.0730967475252413,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469497,POINT (-72.041014 -13.6055684),8051767627,0.0700222290380692,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469500,POINT (-72.0458019 -13.6059351),8051767627,0.0737951514052211,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469503,POINT (-72.0449782 -13.6060806),8051767627,0.073276708641285,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469508,POINT (-72.0436165 -13.6064191),8051767627,0.0724992865906923,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469714,POINT (-72.0361255 -13.6094245),8051767627,0.0694364520550929,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094469717,POINT (-72.035669 -13.6094328),8051767627,0.0691434228480155,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094616275,POINT (-71.9934513 -13.6023747),8051767627,0.0453633709823254,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094616289,POINT (-71.9889774 -13.6024773),8051767627,0.0453922973206922,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094616311,POINT (-71.9989615 -13.60265),8051767627,0.0463256752703066,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3094616579,POINT (-71.9928261 -13.6042628),8051767627,0.0472122015865615,5894.580999999998,0.0321638039884902,5454.724999999997,0.027701249592609,5389.531999999999,0.0296099886789016,4000.736,0.0226523259177558,5454.724999999997,0.0293743665145353,811.0249999999996,0.0062948059938365,5078.962,0.0311853247631052,CCORCA
3121101848,POINT (-72.0708164 -13.5657246),1703384891,0.074331006526821,4558.582,0.0330016568144614,9780.311,0.0507948744816333,10043.368,0.0541457832818037,4585.053000000001,0.0338933111894587,4970.289000000002,0.0278254121387193,1893.071,0.0112689035123112,10267.755,0.0532000972108094,CCORCA
3121102155,POINT (-72.1073359 -13.573304),2389897521,0.100196404630154,,0.0494693192887257,,0.0682779321916578,,0.0713058817821569,,0.0503338085827799,,0.0443640992752014,7.563,0.0006005130223467,,0.0702418031819394,CCORCA
3121102170,POINT (-72.1082551 -13.5739193),2389897521,0.1012515460592049,,0.0494693192887257,,0.0682779321916578,,0.0713058817821569,,0.0503338085827799,,0.0443640992752014,7.563,0.0006005130223467,,0.0702418031819394,CCORCA
4603928580,POINT (-72.0694712 -13.5688824),1703384891,0.0762693383651,4558.582,0.0330016568144614,9780.311,0.0507948744816333,10043.368,0.0541457832818037,4585.053000000001,0.0338933111894587,4970.289000000002,0.0278254121387193,1893.071,0.0112689035123112,10267.755,0.0532000972108094,CCORCA
4603928591,POINT (-72.0662462 -13.566626),1703384891,0.0726781469189331,4558.582,0.0330016568144614,9780.311,0.0507948744816333,10043.368,0.0541457832818037,4585.053000000001,0.0338933111894587,4970.289000000002,0.0278254121387193,1893.071,0.0112689035123112,10267.755,0.0532000972108094,CCORCA
4603928594,POINT (-72.0646791 -13.5658163),1703384891,0.071195806326573,4558.582,0.0330016568144614,9780.311,0.0507948744816333,10043.368,0.0541457832818037,4585.053000000001,0.0338933111894587,4970.289000000002,0.0278254121387193,1893.071,0.0112689035123112,10267.755,0.0532000972108094,CCORCA
