osmid,street_count,highway,ref,geometry,school_osmid,school_dist
1273790642,4,,,POINT (-76.9269166 -12.2000189),5597077433,0.0013604587351299983
1746075826,4,,,POINT (-76.94761219999999 -12.0257511),5596919708,0.00043974107155196244
4948000948,4,,,POINT (-76.9803177 -12.1705066),5597250679,0.003284372556517841
1746075828,4,,,POINT (-76.9500963 -12.0261323),5596916872,0.0009811118692649695
842596534,4,,,POINT (-77.0534396 -11.9981801),5577059653,0.0006733466566248042
3738206393,4,,,POINT (-76.9168152 -11.9778837),5596737384,0.002644367209750969
4329570490,4,,,POINT (-77.15457139999999 -11.7849227),5567212048,0.0011466656531095665
1273462969,3,,,POINT (-77.0917975 -11.9556031),5560474665,0.0017710169987877774
842596538,3,,,POINT (-77.0525428 -11.9981741),559577294,0.0008200321438059105
3740696772,3,,,POINT (-76.8735173 -12.2100957),445599682,0.0009200316619716495
842596549,4,,,POINT (-77.0525456 -11.9977205),559577295,0.001000471183282745
3740696777,3,,,POINT (-76.87491319999999 -12.2118586),5256642896,0.001999560954309133
4948000970,3,,,POINT (-76.9803313 -12.1709561),5597235347,0.003116644455180103
3740696779,3,,,POINT (-76.8755044 -12.2123817),445599681,0.0026724259043770086
1273921739,4,,,POINT (-77.09739639999999 -12.0591705),393073641,0.005306151395143173
3738206411,4,,,POINT (-76.9165983 -11.9785528),5596737384,0.0033444147350471178
263389391,4,traffic_signals,,POINT (-77.0527302 -12.0759211),436425621,0.0013643857410461332
263389392,4,traffic_signals,,POINT (-77.0519232 -12.0749363),495775878,0.0010329048600960775
263389393,4,traffic_signals,,POINT (-77.0511095 -12.0739505),495775878,0.0014845219095894167
263389394,4,traffic_signals,,POINT (-77.050257 -12.0729814),2068560840,0.0011717008833355216
821756112,4,,,POINT (-77.0047046 -12.0173985),5596792331,0.0006940583548956154
3738206418,3,,,POINT (-76.9038796 -11.9787371),5596737392,0.0006651603190235313
263389397,4,traffic_signals,,POINT (-77.04784770000001 -12.070033),2068560797,0.00026206579326494594
263389398,4,traffic_signals,,POINT (-77.04705800000001 -12.0690667),2068560808,0.000331068844801373
