distrito,osmid,bank,casino,courthouse,hospital,marketplace,police,school,university
ANCON,4149327027.9601655,113.26863301829405,12864.18556,12864.18556,660.0742862341696,142.2596011990901,123.37255459338819,227.01289880172092,12864.18556
ATE,4293120029.447898,79.2368701000271,315.1361305623307,524.9082263089463,264.86574266373924,126.05059163143947,80.25409245362688,60.96918685375784,842.5126430310212
BARRANCO,1712423316.76,303.41627272365713,226.68044338589175,12864.18556,0.007350549968921857,386.88524811238614,144.90713356045526,128.77930316397638,389.07820490823815
BELLAVISTA,1687773393.2817295,31.780734149480267,12864.18556,12864.18556,258.8074644366015,12864.18556,12864.18556,18.517244415117602,461.19280519102534
BREÑA,1509088596.1019523,497.93832574153373,898.1356059868104,1691.8653682431968,628.4379374796614,187.94887916295582,962.7919852081013,89.56933139204592,1271.5340571455854
CALLAO,2281237002.5708704,308.9868774252926,12864.18556,12864.18556,409.81513464723906,208.11277937122958,0.002074213351845543,183.6045212714363,167.8236520311542
CARABAYLLO,4790418878.943691,26.529428020266778,35.752773213109656,69.46293116150723,1761.605085142487,100.96989668235965,271.8753542017671,57.8743251443251,12864.18556
CARMEN_DE_LA_LEGUA_REYNOSO,1407801230.9349399,12864.18556,12864.18556,12864.18556,406.87829965128975,0.0023115290056004143,12864.18556,28.918201792993944,12864.18556
CHACLACAYO,3810789941.5843453,234.85405763609486,12864.18556,69.17929958313131,202.29200664432452,41.42393286350288,316.63020751205124,27.96054931091847,12864.18556
CHORRILLOS,2806871960.81965,224.6480191053,12864.18556,12864.18556,377.43657147605194,217.4589761699408,548.8563068255686,68.82915275550897,226.16971624164844
CIENEGUILLA,5357677503.670991,12864.18556,12864.18556,12864.18556,12864.18556,121.27715709100738,76.2474581565517,308.1611393107618,12864.18556
COMAS,2228165656.72662,145.9714045675352,341.9580251517979,12864.18556,231.99299817407388,105.65640163622831,110.02808284274177,29.26711167963793,4.3325897181857345
EL_AGUSTINO,2213138433.7308764,388.0239297854303,5335.965671104868,8719.122136604867,159.519145453693,263.8912834004209,482.95146797901714,39.472975235684764,532.4769137897669
INDEPENDENCIA,2133484904.4737883,283.9428208327421,91.73376739001577,225.3229036440581,74.9647599145467,134.68101192717592,342.22796146421933,68.78891687454238,243.64087299429522
JESUS_MARIA,1236308764.4624505,372.75922363778955,668.2213993827572,2659.8859448550998,957.3990755835007,679.8368301960072,554.4652639354506,185.9297268027965,393.9816982202419
LA_MOLINA,2369159776.794956,56.71371985296542,135.8525551670448,345.58503880348906,0.0031828122976120736,111.97537436390553,68.64420814124203,54.58095961085768,112.80774718347291
LA_PERLA,1121893908.4199347,0.00622966572342295,12864.18556,12864.18556,105.44522035517467,12864.18556,12864.18556,110.57341391842697,12864.18556
LA_PUNTA,1133028829.862745,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556
LA_VICTORIA,1665241068.5228531,421.0813461613753,1202.0302338815534,7415.755395866615,1352.4926910941333,848.9501558254119,531.6212747860344,238.40562331203236,1256.1091237944631
LIMA,2038714461.1069434,811.803914318414,2970.5084704711453,3999.620424572904,2374.786595675002,777.7225068584307,1094.704305835567,420.41951430718075,1334.6759875512
LINCE,735201896.922043,254.5942303787831,806.6177790098577,999.516466269536,986.2145914738715,619.7848776484225,1959.7707897910861,213.33381632368142,704.4833227067398
LOS_OLIVOS,1703492623.0344117,242.01387428955158,569.5359253859336,12864.18556,341.61531551829603,181.1679214487478,98.33064514622163,40.07119028215234,469.03908524694936
LURIGANCHO,4645680042.306976,333.433120859714,12864.18556,46.70124816516617,467.4905780667269,163.91126663435776,420.909674307153,99.85711486610568,611.2402056262147
LURIN,4248456384.5607896,143.15040500309456,12864.18556,93.13307133592626,223.18489268014687,211.9300391942761,318.8658658328154,109.19962207030427,3.189749202183331
MAGDALENA_DEL_MAR,1301544001.8089006,340.65215122923655,648.5055944808062,12864.18556,88.75770563159647,795.2239534359318,339.1326117087892,109.51468900805057,363.702988778029
MIRAFLORES,1159073170.4260535,138.4202144421681,609.8477170075302,395.11424999040247,324.4549007808447,799.1342609882314,967.5028575492219,147.66815107728797,492.04913661811617
MI_PERU,2094720087.0073607,12864.18556,12864.18556,12864.18556,3535.1262096665987,12864.18556,0.659010357332602,188.51576634454256,12864.18556
PACHACAMAC,4621351859.590441,315.3667875821215,12864.18556,12864.18556,246.34985051591568,363.3331040921515,478.6736996288076,123.02810443281096,120.64286314752108
PUCUSANA,4557200075.405064,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,53.75685384010669,6.776176984988848,12864.18556
PUEBLO_LIBRE,1367854288.7505445,299.6303265266786,510.7712690854555,3975.966327777993,683.6922507344069,237.8828861085594,551.4401839245727,61.25947686513631,519.7731642137412
PUENTE_PIEDRA,3991138872.3685536,378.8054275262029,528.2126427411557,12864.18556,1626.2895360771188,1242.0699414197488,765.6210427890342,358.4626473674124,12864.18556
PUNTA_HERMOSA,5177506262.962264,12864.18556,12864.18556,12864.18556,661.9282969258983,12864.18556,851.946492565638,543.2458535897034,12864.18556
PUNTA_NEGRA,3101874614.3612165,12864.18556,12864.18556,12864.18556,12864.18556,0.004339947557783157,0.006595859801641837,1.4823709812418833,12864.18556
RIMAC,2504530637.360333,2246.4510897194114,2980.563739440427,7991.7360849520255,561.907852670184,369.88810937051045,2329.9527361650034,232.3324233692524,3843.7623123406784
SANTA_ANITA,2393870857.0583334,156.1122373578054,322.7691108525884,93.96618477784534,70.09414667030264,275.6902552984383,538.80338679351,58.88105773316726,255.5483067330135
SANTA_MARIA_DEL_MAR,2002716814.71,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,40.81950479187168,3.28140681245954,12864.18556
SANTA_ROSA,4749544241.338482,12864.18556,12864.18556,12864.18556,225.75759444477103,195.42933745704624,112.86642137047177,128.8253668834913,12864.18556
SANTIAGO_DE_SURCO,2245021948.6106653,72.31399671492662,155.04573569065414,12864.18556,439.6964813472662,168.4682242579729,120.56567654594788,56.353362471946845,64.8485091127343
SAN_BARTOLO,3451649220.992771,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,95.93076711356652,22.64319602378622,12864.18556
SAN_BORJA,1454347865.8212702,98.95539788040954,278.06147415053255,12864.18556,512.661275616828,642.1310243927508,276.6116100960962,94.8148686211958,492.30003962704075
SAN_ISIDRO,1239327071.194508,76.56157590437238,519.0291627050212,258.0858290465789,542.8106798817132,511.52346938264475,337.4700615091701,76.69472353424582,224.7544638778627
SAN_JUAN_DE_LURIGANCHO,3094617028.1032357,135.26740412056571,178.80588971703986,23.401955188639047,203.14766839868693,104.44664730608534,251.91357253920748,24.717537492505585,273.45878931610724
SAN_JUAN_DE_MIRAFLORES,2936980167.4066877,285.22829573485404,95.74538971590567,12864.18556,388.32151382106684,159.75068511880775,324.0445875748077,47.4066713434019,450.7181475513983
SAN_LUIS,2626569801.662045,198.440529152197,754.1465707931393,12864.18556,613.0512687619524,206.6497901633091,119.931637234418,109.86531258311838,0.002700108046661661
SAN_MARTIN_DE_PORRES,2265212562.267052,613.2773229484602,1167.4060382166892,3108.4043983845118,700.9390129693893,155.47337169743264,2212.042291081591,67.54566730687569,1614.7070328679426
SAN_MIGUEL,1582921916.6213102,366.67023790114706,809.7115828546056,12864.18556,173.239005078584,962.3240572943566,1063.7328931595168,102.2629384377712,1106.766949732284
SURQUILLO,1431515147.8863637,236.4631948513477,406.95405464779816,33.97196177201933,0.0052417292678901915,198.08533873392085,188.0189892271631,54.25490801225221,751.1914514209811
VENTANILLA,3070426541.667422,12864.18556,12864.18556,12864.18556,355.4676923302518,1772.8926633852138,1762.1157259261297,522.7384579458509,12864.18556
VILLA_EL_SALVADOR,2881337091.5569935,139.10311729207126,27.337513683972215,121.04542808497021,230.3968357064448,128.58025621215356,51.747906477531785,35.19732195716187,108.05964578897922
VILLA_MARIA_DEL_TRIUNFO,3645051195.6952395,187.65736736557938,12864.18556,143.03171068373453,77.70120852572998,167.47955898933802,688.8178968198569,75.3842688432299,496.58824869163465
