osmid;police_distance;hospital_distance;bank_distance;casino_distance;courthouse_distance;school_distance;university_distance;marketplace_distance
4990633342;3.210978;1.411673;2.963309;7.458394999999998;4.355229000000001;1.7310950000000003;3.0456350000000003;1.3418690000000002
4990633343;3.1742730000000003;1.371641;2.926604;7.4950699999999975;4.391904;1.408154;3.0823100000000005;1.378544
4990633344;3.2116870000000004;1.331079;2.9640180000000003;7.535631999999998;4.432466000000001;1.367592;3.122872;1.419106
4990633345;3.2486010000000003;1.291928;3.000932;7.574782999999997;4.471617000000001;1.3284409999999998;3.162023;1.4582570000000001
4990633346;3.2856270000000003;1.254902;3.0379580000000006;7.611808999999997;4.508643000000001;1.291415;3.199049;1.4952830000000001
4990633347;3.2528;1.2143950000000001;3.0051310000000004;7.619485999999998;4.549150000000002;1.2509080000000001;3.2395560000000003;1.53579
4990633348;3.2753520000000003;1.1749260000000001;3.0276830000000006;7.6420379999999986;4.5886190000000004;1.2114390000000002;3.279025;1.575259
4990633350;3.4713450000000003;1.0504749999999998;3.2236760000000007;7.838030999999999;4.7861590000000005;1.0869879999999998;3.4765649999999995;1.772799
4990633351;3.4051769999999997;0.8805470000000001;3.1575080000000004;7.771862999999999;4.719991000000001;0.9170600000000001;3.410397;1.706631
4990633352;3.4950280000000005;0.970398;3.2473590000000008;7.861713999999999;4.809842000000001;1.0069110000000001;3.5002479999999996;1.7964820000000001
4990633353;3.453157;0.8325670000000001;3.2054880000000003;7.819842999999998;4.767971;0.8690800000000001;3.4583769999999996;1.7546110000000001
4990633354;3.5337220000000005;0.9131319999999999;3.286053000000001;7.900407999999999;4.848536000000001;0.949645;3.538942;1.8351760000000001
4990633360;4.038645;0.826397;3.3837990000000007;7.998153999999999;4.946282000000002;0.8629100000000001;4.827617;1.9329220000000003
5005507437;4.7959619999999985;7.842395;11.081281;16.327488999999993;10.502771;2.6638659999999996;6.229309999999997;4.909671999999999
5005507438;5.026012999999999;8.072446;11.311332;16.557539999999992;10.732822;2.8939169999999996;6.459360999999998;5.139722999999999
5006139448;17.990712999999996;20.29485899999999;11.398785;22.57228499999999;14.399685;19.488190000000003;16.38837300000001;17.863182
5057369767;3.4396890000000004;1.0188190000000001;3.1920200000000003;7.806374999999998;4.754503000000001;1.0553320000000002;3.4449089999999996;1.741143
5057369774;2.868724;1.417;2.6210550000000006;7.235409999999998;4.449222000000001;1.4535129999999998;3.016868999999999;1.577338
5057369775;3.0370220000000003;1.498451;2.7893530000000006;7.403707999999999;4.617520000000001;1.534964;3.185166999999999;1.704162
5057369776;2.9082359999999996;1.377488;2.6605670000000003;7.2749219999999974;4.488734;1.414001;3.0563809999999987;1.5753759999999999
5057369777;2.9478169999999997;1.3379070000000002;2.7001480000000004;7.3145029999999975;4.528315000000001;1.37442;3.0959619999999988;1.6149570000000002
5057369778;3.0744460000000005;1.45906;2.8267770000000003;7.441131999999999;4.654944000000001;1.4955729999999998;3.222590999999999;1.741586
5057369783;2.8291579999999996;1.456566;2.5814890000000004;7.195843999999998;4.409656000000001;1.493079;2.977302999999999;1.616904
5057369788;2.804597;1.496597;2.5569280000000005;7.171282999999997;4.3850950000000015;1.5524660000000001;2.9527419999999993;1.519134
5057369794;2.9098879999999996;1.391306;2.6622190000000003;7.276573999999997;4.490386;1.427819;3.0580329999999987;1.518772
5057369795;2.8894609999999994;1.3962629999999998;2.6417920000000006;7.256146999999998;4.469959000000001;1.4327759999999998;3.0376059999999985;1.5566010000000001
5057370130;3.1500209999999997;2.5845380000000007;2.876049;6.956265999999997;3.8121379999999996;1.064546;2.532261;0.67532
5057370131;3.176326;2.610843;2.9023540000000003;6.982570999999997;3.838443;1.090851;2.558566;0.7016250000000002
5057370132;3.5366030000000004;2.637905;2.9294160000000002;7.009632999999998;3.865505;1.117913;2.585628;0.728687
5057370133;3.1205119999999997;2.5550290000000007;2.84654;6.926756999999997;3.7826289999999996;1.035037;2.502752;0.645811
5057370134;3.5541670000000005;2.655469;2.9469800000000004;7.0271969999999975;3.883069;1.135477;2.603192;0.7462510000000001
5067062590;4.1552380000000015;1.1626740000000002;3.611031000000001;8.124516999999997;4.857441000000001;1.1991870000000002;4.944210000000001;1.7206230000000002
5882050894;3.2839420000000006;1.4794360000000002;3.0362730000000004;7.549758999999997;4.446593000000001;1.515949;3.136999;1.433233
5927693925;16.967257999999994;14.547001999999994;10.375329999999998;21.548829999999988;13.376229999999998;18.464735;15.364918000000003;16.839726999999996
6242087559;2.096524;2.5178240000000005;1.848855;6.328330999999999;3.5945369999999994;0.8443930000000001;2.002685;1.5642829999999996
6255047555;5.559074000000001;9.583171999999998;5.411500000000001;16.584999999999994;8.412400000000002;5.662622000000001;10.401088;11.677704000000004
6255047556;5.599361;9.623458999999997;5.451787;16.62528699999999;8.452687;5.702909;10.441375;11.717991000000003
6255047557;5.590376;9.614473999999996;5.442802;16.616301999999994;8.443702000000002;5.693924;10.432390000000002;11.709006000000002
6255047559;12.265757000000002;9.845500999999997;5.6738290000000005;16.847328999999988;8.674729000000001;5.924951;10.663416999999999;11.940033000000003
6255047562;5.669933;9.694030999999997;5.522359000000001;16.695858999999988;8.523259;5.773480999999999;10.511947;11.788563000000003
6255048714;13.188937000000003;10.768680999999997;6.597008999999999;17.770508999999986;9.597909;6.848130999999999;11.586597;12.863213000000004
6255048717;13.144075000000003;10.723818999999995;6.552146999999999;17.725646999999988;9.553047;6.803268999999999;11.541735;12.818351000000002
6255048719;13.256804000000002;10.836547999999995;6.664876;17.838375999999986;9.665776;6.915997999999998;11.654463999999997;12.931080000000001
6415394284;12.366330000000003;9.946073999999998;5.774402000000001;16.94790199999999;8.775302;6.025524000000001;10.76399;12.040606000000004
6415394490;12.952816;10.532559999999995;6.360887999999999;17.534387999999986;9.361787999999999;6.61201;11.350476;12.627092000000001
6415394491;12.960671000000003;10.540414999999998;6.368742999999999;17.54224299999999;9.369643;6.619864999999999;11.358331;12.634947000000004
6415394504;13.367911000000001;10.947654999999996;6.775982999999999;17.949482999999987;9.776883;7.027104999999999;11.765570999999998;13.042187000000002
6415394505;13.152078000000003;10.731821999999996;6.560149999999998;17.733649999999987;9.56105;6.811271999999999;11.549738;12.826354000000004
6415394506;13.469425000000001;11.049168999999994;6.877496999999999;18.05099699999999;9.878397000000001;7.128619;11.867085000000001;13.143701
