osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5056781486,-11.9683412,-77.0969883,,3,,POINT (-77.09698830000001 -11.9683412),5064371778,1384280789,708.7489999999999,465071802,1842073829,8797.647999999997,446209514,847686868,7149.762999999999,794565233,5056781488,13.51,4683999092,1385727694,979.753,5562777483,1385509220,99.41600000000001,68872592,827065984,10931.145999999995
5056781487,-11.96832,-77.0969613,,3,,POINT (-77.0969613 -11.96832),5064371778,1384280789,704.983,465071802,1842073829,8793.881999999998,446209514,847686868,7145.996999999999,794565233,5056781488,9.744,4683999092,1385727694,983.5189999999999,5562777483,1385509220,95.65,68872592,827065984,10927.379999999996
5056781488,-11.9682652,-77.0968914,,3,,POINT (-77.0968914 -11.9682652),5064371778,1384280789,695.2389999999999,465071802,1842073829,8784.137999999997,446209514,847686868,7136.252999999999,794565233,5056781488,0.0,4683999092,1385727694,993.263,5562777483,1385509220,105.394,68872592,827065984,10917.635999999993
5056882394,-11.9550258,-77.0966421,,3,,POINT (-77.0966421 -11.9550258),5064371778,1384280789,1542.831,465071802,1842073829,10346.738999999998,446209514,847686868,8698.854,794523522,4270001023,233.415,4683999092,1385727694,2552.113,5560462913,1384279663,505.93500000000006,68872592,827065984,12480.236999999996
5056882395,-11.955657,-77.0964722,,1,,POINT (-77.09647219999999 -11.955657),5064371778,1384280789,1499.3570000000002,465071802,1842073829,10303.265,446209514,847686868,8655.380000000001,794523522,4270001023,326.133,4683999092,1385727694,2508.6389999999997,5560462913,1384279663,462.461,68872592,827065984,12436.762999999997
5056882403,-11.9652798,-77.0916008,,3,,POINT (-77.09160079999999 -11.9652798),5064371778,1384280789,52.754,465071802,1842073829,8855.357999999998,446209514,847686868,7207.473,713804790,1384281008,259.99600000000004,4683999092,1385727694,1741.2559999999999,5565058145,1384280653,168.871,68872592,827065984,10988.855999999994
5056915244,-11.970043,-77.0929304,,3,,POINT (-77.0929304 -11.970043),5054741474,7782384927,728.1509999999998,465071802,1842073829,8355.55,446209514,847686868,6707.665000000001,605396418,1385509220,649.0730000000001,4683999092,1385727694,1536.9479999999996,5562789533,1384282120,135.217,68872592,827065984,10489.047999999997
5056915245,-11.9695293,-77.0933373,,3,,POINT (-77.0933373 -11.9695293),5054741474,7782384927,794.8929999999998,465071802,1842073829,8422.291999999998,446209514,847686868,6774.406999999999,605396418,1385509220,590.844,4683999092,1385727694,1478.7189999999998,5562789533,1384282120,203.026,68872592,827065984,10555.789999999995
5056928168,-11.9580776,-77.1005861,,3,,POINT (-77.1005861 -11.9580776),5064371778,1384280789,1367.432,465071802,1842073829,9925.869999999999,446209514,847686868,8277.984999999999,794525028,1384279764,670.9609999999999,4683999092,1385727694,2050.364,413205864,5474073482,206.956,68872592,827065984,12059.367999999997
5056928169,-11.9574035,-77.0997756,,1,,POINT (-77.0997756 -11.9574035),5064371778,1384280789,1483.1559999999997,465071802,1842073829,10041.594,446209514,847686868,8393.708999999999,794523522,4270001023,864.4929999999999,4683999092,1385727694,2166.0879999999997,413205864,5474073482,299.76899999999995,68872592,827065984,12175.091999999995
5056928171,-11.9555747,-77.0973468,,3,,POINT (-77.0973468 -11.9555747),5064371778,1384280789,1545.6940000000002,465071802,1842073829,10349.601999999999,446209514,847686868,8701.717,794523522,4270001023,253.071,4683999092,1385727694,2554.9759999999997,5560462913,1384279663,508.798,68872592,827065984,12483.099999999997
5056928172,-11.9549694,-77.0972697,,3,,POINT (-77.0972697 -11.9549694),5064371778,1384280789,1611.448,465071802,1842073829,10415.356,446209514,847686868,8767.471000000001,794523522,4270001023,185.244,4683999092,1385727694,2620.73,5560462913,1384279663,574.552,68872592,827065984,12548.853999999998
5057004101,-11.9556357,-77.0997052,,3,,POINT (-77.0997052 -11.9556357),5064371778,1384280789,1615.8370000000002,465071802,1842073829,10376.643999999998,446209514,847686868,8728.759,794523522,4270001023,356.496,4683999092,1385727694,2491.94,413205864,5474073482,243.81799999999998,68872592,827065984,12510.141999999994
5057029726,-11.9716504,-77.0921114,,3,,POINT (-77.09211139999999 -11.9716504),5054741474,7782384927,766.646,465071802,1842073829,8160.636999999999,446209514,847686868,6512.752,639823048,5054914132,400.277,4683999092,1385727694,1649.7209999999998,5562789530,1384282239,58.361000000000004,68872592,827065984,10294.134999999997
