osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5400232928,-11.9936726,-76.8284641,,3,POINT (-76.82846410000001 -11.9936726),1863374455,331604739,6283.715999999999,487183431,1524458694,6630.688999999999,483500696,4762470517,1879.6310000000003,483490600,1273537082,1259.353,4423758389,1273621776,1324.1470000000004,5596759267,5400190647,510.57400000000007,,,
5400232929,-11.9949368,-76.8279616,,3,POINT (-76.82796159999999 -11.9949368),1863374455,331604739,6386.822999999999,487183431,1524458694,6733.795999999999,483500696,4762470517,1982.7380000000003,483490600,1273537082,1258.201,4423758389,1273621776,1427.2540000000004,5596759267,5400190647,509.422,,,
5400232931,-11.9940895,-76.8294703,,3,POINT (-76.8294703 -11.9940895),1863374455,331604739,6402.571,487183431,1524458694,6749.544,483500696,4762470517,1998.4860000000003,483490600,1273537082,1378.2079999999999,4423758389,1273621776,1443.0020000000004,5596759267,5400190647,629.4290000000001,,,
5400232932,-11.9938823,-76.8289703,,3,POINT (-76.82897029999999 -11.9938823),1863374455,331604739,6343.508,487183431,1524458694,6690.481,483500696,4762470517,1939.4230000000002,483490600,1273537082,1319.145,4423758389,1273621776,1383.9390000000003,5596759267,5400190647,570.3660000000001,,,
5400232933,-11.9942325,-76.8300648,,3,POINT (-76.8300648 -11.9942325),1863374455,331604739,6365.228,487183431,1524458694,6712.201,483500696,4762470517,1961.1430000000005,483490600,1273537082,1447.782,4423758389,1273621776,1395.7150000000004,5596759267,5400190647,699.0030000000002,,,
5400232937,-11.9948558,-76.8173077,,3,POINT (-76.8173077 -11.9948558),1863374455,331604739,6040.486,487183431,1524458694,6387.459,483500696,4762470517,1636.401,483490600,1273537082,363.24899999999997,4423758389,1273621776,1080.9170000000001,5596759279,1570070705,173.04399999999998,,,
5401284588,-11.9725781,-76.7481012,,1,POINT (-76.74810119999999 -11.9725781),4749878325,1570070883,3492.837,487183431,1524458694,3191.887,483500696,4762470517,7901.313999999999,487183429,1273900349,3626.9230000000002,318959257,1273778804,2650.459,5596717501,1570071099,301.23699999999997,,,
5401301831,-11.9685283,-76.7463666,,4,POINT (-76.7463666 -11.9685283),4749878325,1570070883,3328.4519999999998,487183431,1524458694,3027.502,483500696,4762470517,7736.928999999999,487183429,1273900349,3462.538,318959257,1273778804,2486.0739999999996,4447028305,1570070563,266.29699999999997,,,
5401301832,-11.968456,-76.746263,,3,POINT (-76.746263 -11.968456),4749878325,1570070883,3334.6070000000004,487183431,1524458694,3033.657,483500696,4762470517,7743.084,487183429,1273900349,3468.6930000000007,318959257,1273778804,2492.229,4447028305,1570070563,272.452,,,
5409835730,-11.980623,-76.7923896,,3,POINT (-76.79238960000001 -11.980623),1863374455,331604739,2040.7000000000003,487183431,1524458694,2387.6730000000002,483500696,4762470517,2455.1349999999998,818103399,1745790482,977.386,318959257,1273778804,3240.7700000000004,5596732112,5409835730,0.0,,,
