osmid,highway,street_count,ref,geometry,NN,NN_dist
108042533,,4,,POINT (-77.03231340000001 -12.0996997),108056668,0.0012002975339481838
108043462,,3,,POINT (-77.02933659999999 -12.0979773),138846126,0.001354438407608237
108043475,,3,,POINT (-77.0296489 -12.0984566),262909304,0.0011386308664358966
108043490,,3,,POINT (-77.0288836 -12.0983524),262909418,0.001831075533668609
108056663,,4,,POINT (-77.02915659999999 -12.0991946),108056667,0.0015035799446653183
108056664,,3,,POINT (-77.029675 -12.0992755),108056667,0.0009789100877976812
108056665,,4,,POINT (-77.03017800000001 -12.0993649),108056667,0.0004681614251385853
108056667,,4,,POINT (-77.03064139999999 -12.0994315),108056667,0.0
108056668,traffic_signals,4,,POINT (-77.03112830000001 -12.0995093),108056668,0.0
108056669,,4,,POINT (-77.0321581 -12.0996692),108056668,0.0010421401297307986
108064557,,3,,POINT (-77.0319878 -12.1007046),108221784,0.001044591728861027
108064561,,3,,POINT (-77.0322931 -12.0988616),138846862,0.0010531460107798872
108064562,traffic_signals,4,,POINT (-77.03241970000001 -12.0980758),138846859,0.0010484107448947627
108064564,traffic_signals,4,,POINT (-77.0325634 -12.097052),138846858,0.0010564227042190355
108064570,,3,,POINT (-77.03269160000001 -12.096174),108064572,0.000656210857878327
108064572,traffic_signals,4,,POINT (-77.0327906 -12.0955253),108064572,0.0
108064581,,3,,POINT (-77.0329248 -12.0945815),108171129,0.0009522856819256974
108064590,,3,,POINT (-77.0335092 -12.0906866),263113589,0.001051842692603244
108064592,traffic_signals,4,,POINT (-77.0335248 -12.0905942),263113589,0.001050239824981639
108171116,,3,,POINT (-77.03378360000001 -12.0897849),4334525393,0.0006419809966039071
108171117,traffic_signals,4,,POINT (-77.03365669999999 -12.0906107),263111584,0.0010669676096381386
108171125,traffic_signals,4,,POINT (-77.0330958 -12.0944941),108171129,0.0010492148016493918
108171129,traffic_signals,4,,POINT (-77.0329519 -12.0955334),108171129,0.0
108171130,,3,,POINT (-77.0328482 -12.0961819),108171129,0.0006567388674333808
108171132,traffic_signals,4,,POINT (-77.03271340000001 -12.097077),138846858,0.001208399325554325
108171135,traffic_signals,4,,POINT (-77.032573 -12.098095),138846859,0.0012028147155725539
108171136,,3,,POINT (-77.0321388 -12.1007162),108221784,0.001195506921774858
108171139,,3,,POINT (-77.0317761 -12.102833),108220933,0.0012845409218823283
108172222,,4,,POINT (-77.0317 -12.1023636),108220933,0.0010526761372747465
108172224,,3,,POINT (-77.031796 -12.1017896),108220932,0.0011514714455819273
108215804,,3,,POINT (-77.04636170000001 -12.1028354),262727035,0.0004590072112639028
108215809,traffic_signals,4,,POINT (-77.0514192 -12.1029193),262728119,9.499010474851154e-05
108215811,,3,,POINT (-77.0511016 -12.100471),262728119,0.0025637368917269554
108215859,,3,,POINT (-77.03992839999999 -12.1043623),108215859,0.0
108215860,,3,,POINT (-77.0404948 -12.1042362),108215859,0.0005802673263352176
108215862,,4,,POINT (-77.0415953 -12.1039721),108215862,0.0
108215864,,4,,POINT (-77.0424338 -12.1037901),108215864,0.0
108215865,,4,,POINT (-77.0433075 -12.1035752),108215865,0.0
108215866,,3,,POINT (-77.0441376 -12.1033983),108215866,0.0
108215867,,4,,POINT (-77.04560960000001 -12.1030602),108215867,0.0
108217792,,3,,POINT (-77.04134999999999 -12.1029392),108215862,0.001061628230597695
108217795,,3,,POINT (-77.0422003 -12.1027559),108215864,0.0010602319981945485
108217796,,3,,POINT (-77.0430866 -12.1025596),108215865,0.0010393460299640855
108218710,,3,,POINT (-77.03503499999999 -12.0979104),134252760,0.001198007700319298
108218712,,3,,POINT (-77.0352748 -12.0986785),1760085349,0.0010419267008776713
108218713,traffic_signals,4,,POINT (-77.03540219999999 -12.0991312),108041417,0.0009688945556781313
108218714,,3,,POINT (-77.0354883 -12.0996428),134252761,0.0009394081753945311
108218715,,3,,POINT (-77.0356948 -12.1005877),108037776,0.0009633291493508966
108218716,,3,,POINT (-77.03607529999999 -12.1036318),134252767,0.0009004506927110869
108218717,,3,,POINT (-77.03613009999999 -12.1041543),134252768,0.0009130147698722503
108218719,,3,,POINT (-77.0362028 -12.104713),2383687279,0.0009212417977927305
108218720,,3,,POINT (-77.0362496 -12.105175),134252770,0.0009355850896515002
108218722,,4,,POINT (-77.0362672 -12.1062747),134252774,0.0009013927279542333
108218723,,4,,POINT (-77.036461 -12.1072173),134252775,0.0006487280555024923
108219936,,4,,POINT (-77.03379750000001 -12.1017975),108029955,0.0029778917659934677
108220306,,3,,POINT (-77.02971169999999 -12.1020383),108220568,0.0005708000087612385
108220567,,4,,POINT (-77.02989119999999 -12.1009869),108220567,0.0
108220568,,3,,POINT (-77.0297989 -12.1014742),108220568,0.0
108220932,,4,,POINT (-77.03085280000001 -12.1011291),108220932,0.0
108220933,,4,,POINT (-77.03066080000001 -12.1021957),108220933,0.0
108221127,,4,,POINT (-77.028885 -12.1008223),108220567,0.0010195742248525807
108221128,,3,,POINT (-77.03135519999999 -12.1012196),108220932,0.0005104860526869096
108221784,,4,,POINT (-77.03095759999999 -12.1005318),108221784,0.0
108234779,,3,,POINT (-77.03615910000001 -12.1093419),4332629633,0.0008332252816560827
108234781,,3,,POINT (-77.0355891 -12.108633),4332629633,0.0017393120076636946
108236183,,3,,POINT (-77.0369778 -12.1098953),108236183,0.0
108236185,,3,,POINT (-77.03721160000001 -12.110009),108236185,0.0
108236484,,3,,POINT (-77.0367396 -12.1099385),4332629633,0.0001847624420772086
134250228,,5,,POINT (-77.0348994 -12.0940389),134250228,0.0
134250229,,3,,POINT (-77.0350617 -12.0946042),134250228,0.000588137211881465
134250231,,3,,POINT (-77.0365932 -12.0979595),134250231,0.0
134252760,,4,,POINT (-77.0362276 -12.0980241),134252760,0.0
134252761,,3,,POINT (-77.0364197 -12.0995204),134252761,0.0
134252763,,3,,POINT (-77.0366793 -12.1004533),134252763,0.0
134252767,,3,,POINT (-77.0369705 -12.1035347),134252767,0.0
134252768,,4,,POINT (-77.0370375 -12.1040532),134252768,0.0
134252770,traffic_signals,4,,POINT (-77.03718069999999 -12.1050835),134252770,0.0
134252774,,3,,POINT (-77.0371681 -12.1062449),134252774,0.0
134252775,traffic_signals,4,,POINT (-77.0371095 -12.1072001),134252775,0.0
134252777,traffic_signals,4,,POINT (-77.03710580000001 -12.1073084),134252777,0.0
134252779,,3,,POINT (-77.0370444 -12.1084422),134252777,0.0011354613159419043
134254598,,3,,POINT (-77.038152 -12.1069496),134252775,0.0010721737265917326
134254600,,4,,POINT (-77.037898 -12.1049786),134252770,0.0007249298586808508
134254601,,4,,POINT (-77.037774 -12.1039608),134254601,0.0
134380222,,3,,POINT (-77.0394107 -12.1077589),134380222,0.0
134380224,traffic_signals,4,,POINT (-77.03894099999999 -12.1082598),134380224,0.0
134380226,,4,,POINT (-77.03824109999999 -12.1089646),134380226,0.0
134381825,,3,,POINT (-77.0427358 -12.1095185),4266659700,0.0014388996420880758
134384552,,4,,POINT (-77.0409574 -12.1078379),262725666,0.0013012311247355675
134384554,,4,,POINT (-77.04048179999999 -12.1083387),262725666,0.0011003105925075872
138837115,,4,,POINT (-77.03297999999999 -12.1019337),108220932,0.002274282524216519
138838889,,3,,POINT (-77.03464080000001 -12.1016944),108029955,0.0021501804691656324
138838890,,4,,POINT (-77.0345647 -12.1009331),108037776,0.002120727743008172
138838898,,3,,POINT (-77.0340293 -12.0975465),9316740267,0.001714574550729988
138838899,,4,,POINT (-77.0339476 -12.0969823),262908650,0.001468055778913771
138839064,,3,,POINT (-77.03195959999999 -12.1017692),108220932,0.0012785672645479642
138839065,,3,,POINT (-77.0333691 -12.1018814),108220932,0.0026263512674396944
138839724,,4,,POINT (-77.0327965 -12.1029961),108220933,0.0022807574728557324
138839725,,4,,POINT (-77.0338795 -12.1031761),108031677,0.00302961997781863
138839729,,3,,POINT (-77.0346515 -12.1031906),108031677,0.002259806863430613
138846126,,4,,POINT (-77.0295392 -12.0966381),138846126,0.0
138846127,,4,,POINT (-77.0293958 -12.0976332),138846126,0.001005379316477759
138846858,traffic_signals,4,,POINT (-77.03151560000001 -12.0969173),138846858,0.0
138846859,traffic_signals,4,,POINT (-77.031385 -12.0979068),138846859,0.0
138846862,traffic_signals,4,,POINT (-77.03125369999999 -12.098692),138846862,0.0
138847345,,4,,POINT (-77.030581 -12.0967829),138847345,0.0
138847346,,4,,POINT (-77.03044149999999 -12.0977771),262909403,0.00046879089156129784
138847350,,4,,POINT (-77.03030990000001 -12.0985558),262909304,0.00047024199088645973
138847529,,3,,POINT (-77.02796499999999 -12.1006693),108220567,0.0019522080319472983
138847789,,3,,POINT (-77.028812 -12.1013254),108220568,0.0009980546327740432
182472512,traffic_signals,4,,POINT (-77.0542964 -12.0952763),182472512,0.0
182472514,,4,,POINT (-77.0571678 -12.0939735),263384425,0.00020309923682879517
259996521,,3,,POINT (-77.0499671 -12.1089167),262724824,0.0017813172906659374
262571414,,3,,POINT (-77.03782990000001 -12.1071942),134252775,0.000720424159789501
262571417,,4,,POINT (-77.03856690000001 -12.1067457),5776224729,0.0008473452661102123
262571435,,3,,POINT (-77.03498089999999 -12.106203),134252774,0.002187601300520292
262571582,,3,,POINT (-77.038219 -12.1075791),134380224,0.0009922885114696546
262571651,,3,,POINT (-77.0357777 -12.1073862),134252777,0.0013303768075339695
262571658,,3,,POINT (-77.0384933 -12.1066806),5776224729,0.0008793582944466541
262571660,traffic_signals,4,,POINT (-77.0388864 -12.1062429),5776224729,0.00039699739294907433
262571728,,3,,POINT (-77.0352627 -12.1065974),134252774,0.0019377320273952826
262571730,,4,,POINT (-77.0345832 -12.1054256),134252770,0.0026199310410705643
262571732,,3,,POINT (-77.0357262 -12.1063792),134252774,0.0014481409116550237
262571733,,3,,POINT (-77.0375276 -12.1096917),262571733,0.0
262571797,,3,,POINT (-77.03461950000001 -12.1064957),134252774,0.002560910502142911
262571929,,2,,POINT (-77.03416799999999 -12.1054394),134252770,0.0030336489744194712
262572048,,3,,POINT (-77.0376691 -12.1085863),134380226,0.0006857804969445247
262572235,,3,,POINT (-77.038815 -12.1038149),262572235,0.0
262724729,,3,,POINT (-77.050608 -12.1095307),4331365979,0.0011106251617944032
262724820,,3,,POINT (-77.0467522 -12.1108774),262724820,0.0
262724821,,3,,POINT (-77.0472023 -12.1104222),262724821,0.0
262724822,,3,,POINT (-77.0473255 -12.1102888),262724822,0.0
262724823,,4,,POINT (-77.0479047 -12.1097261),262724823,0.0
262724824,traffic_signals,3,,POINT (-77.0482476 -12.1093819),262724824,0.0
262724825,,3,,POINT (-77.0484428 -12.1091837),262724824,0.00027818389601630715
262724826,,3,,POINT (-77.0486001 -12.1090252),262724824,0.0005014889231124896
262724827,,3,,POINT (-77.0493163 -12.1082844),262726084,0.0012842115908262238
262725530,traffic_signals,3,,POINT (-77.05135869999999 -12.1102297),4331365979,8.787855256528768e-05
262725645,,3,,POINT (-77.0418662 -12.1087122),262725666,0.002459122992041425
262725646,,4,,POINT (-77.0413684 -12.1091989),262725666,0.0023355660641430666
262725655,,3,,POINT (-77.0467774 -12.1097992),262724822,0.0007349297721574046
262725666,,4,,POINT (-77.0396812 -12.1075839),262725666,0.0
262725754,,3,,POINT (-77.0444127 -12.1104477),4266670681,0.0005070568015579495
262725758,,3,,POINT (-77.0436484 -12.1105965),4266659700,0.0005694570923186522
262725965,,3,,POINT (-77.0412998 -12.1081499),262725666,0.0017147075435777965
262725972,,3,,POINT (-77.0421405 -12.1063798),960199540,0.0014098217369575157
262725976,,3,,POINT (-77.0432847 -12.1065396),960199540,0.0021112878178946247
262725977,,3,,POINT (-77.0436038 -12.1069396),960199540,0.0026215786579820086
262725978,,3,,POINT (-77.043909 -12.1081835),4266670681,0.0025028787445654497
262725979,,3,,POINT (-77.04405490000001 -12.1087877),4266670681,0.0018944031461090424
262725984,,4,,POINT (-77.0433683 -12.1096269),4266659700,0.0012825838179227429
262726064,,3,,POINT (-77.04019700000001 -12.1070838),262726742,0.0006703154854242585
262726075,,4,,POINT (-77.04419489999999 -12.1094187),4266670681,0.0012794798474411505
262726081,,3,,POINT (-77.0449605 -12.1092482),4266670681,0.0012259992047303583
262726082,,4,,POINT (-77.0465437 -12.1088997),4266659727,0.00153506956519886
262726083,,4,,POINT (-77.0473133 -12.1087321),262726084,0.0007683134776867641
